Year,Series,Industry sector,Unit measure,Unit multiplier,Observation status,Value
2013,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,9.7
2014,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,10.0
2015,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.4
2016,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.2
2017,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.8
2018,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.0
2019,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,12.0
1990,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,8.3
1991,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,8.2
1992,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,7.8
1993,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,7.1
1994,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,7.6
1995,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,7.4
1996,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,8.2
1997,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,8.4
1998,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,8.1
1999,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,8.3
2000,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,9.1
2001,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,9.3
2002,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,9.6
2003,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,10.0
2004,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,10.7
2005,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,11.1
2006,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,10.6
2007,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,10.5
2008,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,11.6
2009,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,11.7
2010,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,13.6
2011,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,13.6
2012,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,13.3
2013,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,12.8
2014,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,12.5
2015,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,14.2
2016,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,13.8
2017,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,13.1
2018,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,13.3
2019,Energy intensity level of primary energy,Mining and quarrying,TJ per £ million,Normal,Undefined,15.0
1990,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,16.1
1991,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,16.1
1992,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,15.2
1993,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,14.5
1994,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,14.2
1995,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,14.2
1996,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,14.1
1997,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,14.0
1998,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,13.8
1999,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,13.7
2000,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,13.7
2001,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,13.5
2002,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,13.1
2003,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,13.1
2004,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,12.8
2005,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,12.6
2006,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,12.4
2007,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,12.5
2008,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,13.1
2009,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,11.0
2010,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,11.1
2011,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,10.9
2012,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,10.5
2013,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,10.3
2014,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,9.9
2015,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,9.6
2016,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,9.0
2017,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,8.8
2018,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,8.9
2019,Energy intensity level of primary energy,Manufacturing,TJ per £ million,Normal,Undefined,9.6
1990,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,13.1
1991,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,10.9
1992,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,10.7
1993,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.7
1994,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.6
1995,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,10.8
1996,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.5
1997,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,9.7
1998,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.1
1999,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.0
2000,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.7
2001,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.6
2002,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.6
2003,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.4
2004,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.9
2005,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.4
2006,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.3
2007,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.5
2008,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.3
2009,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.3
2010,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.9
2011,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.2
2012,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,10.6
2013,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.2
2014,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,10.7
2015,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.4
2016,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.0
2017,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.3
2018,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,11.5
2019,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",TJ per £ million,Normal,Undefined,12.6
1990,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,7.8
1991,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,9.0
1992,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,7.8
1993,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,7.4
1994,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,7.4
1995,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,7.3
1996,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,7.2
1997,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,6.8
1998,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,7.9
1999,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,6.5
2000,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,7.0
2001,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,7.9
2002,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,6.3
2003,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,4.1
2004,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,5.7
2005,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,6.5
2006,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,6.0
2007,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,5.6
2008,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,5.9
2009,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,5.2
2010,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,5.4
2011,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,5.3
2012,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,5.2
2013,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,5.1
2014,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,4.8
2015,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,4.7
2016,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,4.7
2017,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,4.9
2018,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,4.9
2019,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",TJ per £ million,Normal,Undefined,4.8
1990,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,1.9
1991,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.1
1992,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.3
1993,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.3
1994,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.4
1995,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.4
1996,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.5
1997,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.4
1998,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.4
1999,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.4
2000,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.4
2001,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.4
2002,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.3
2003,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.2
2004,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.4
2005,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.4
2006,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.3
2007,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.5
2008,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,3.1
2009,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.6
2010,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.6
2011,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.7
2012,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.7
2013,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.3
2014,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.3
2015,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.3
2016,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.1
2017,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.2
2018,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.2
2019,Energy intensity level of primary energy,Construction,TJ per £ million,Normal,Undefined,2.5
1990,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,3.3
1991,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,3.2
1992,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.9
1993,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.9
1994,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.9
1995,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.9
1996,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.9
1997,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.9
1998,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.9
1999,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,3.2
2000,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,3.1
2001,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.9
2002,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.8
2003,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.8
2004,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.9
2005,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.8
2006,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.7
2007,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.6
2008,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.8
2009,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.7
2010,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.7
2011,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.6
2012,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.6
2013,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.4
2014,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.2
2015,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.3
2016,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.2
2017,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.2
2018,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.1
2019,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,TJ per £ million,Normal,Undefined,2.2
1990,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,23.2
1991,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,22.6
1992,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,22.4
1993,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,21.9
1994,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,20.8
1995,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,20.7
1996,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,20.1
1997,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,19.4
1998,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,19.1
1999,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,17.9
2000,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,18.4
2001,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,18.8
2002,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,18.5
2003,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,18.2
2004,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,18.6
2005,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,19.1
2006,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,17.6
2007,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,17.9
2008,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,19.7
2009,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,18.2
2010,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,17.7
2011,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,18.3
2012,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,16.8
2013,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,15.5
2014,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,15.8
2015,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,16.4
2016,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,16.4
2017,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,15.4
2018,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,16.2
2019,Energy intensity level of primary energy,Transport and storage,TJ per £ million,Normal,Undefined,17.8
1990,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.9
1991,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,4.3
1992,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,4.1
1993,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,4.3
1994,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,4.2
1995,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,4.5
1996,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,4.6
1997,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,4.5
1998,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,4.2
1999,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.7
2000,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.7
2001,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.6
2002,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.3
