Year,Region,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2018,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98
2011,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,96
2012,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97
2013,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97
2014,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,98
2015,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97
2016,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97
2017,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97
2018,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97
2015,East Midlands,2,Undefined,Units,Percentage (%),E12000004,56
2016,East Midlands,2,Undefined,Units,Percentage (%),E12000004,65
2017,East Midlands,2,Undefined,Units,Percentage (%),E12000004,68
2018,East Midlands,2,Undefined,Units,Percentage (%),E12000004,67
2011,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95
2012,East Midlands,3,Undefined,Units,Percentage (%),E12000004,96
2013,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95
2014,East Midlands,3,Undefined,Units,Percentage (%),E12000004,96
2015,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95
2016,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95
2017,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95
2018,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95
2011,East Midlands,4,Undefined,Units,Percentage (%),E12000004,97
2012,East Midlands,4,Undefined,Units,Percentage (%),E12000004,98
2013,East Midlands,4,Undefined,Units,Percentage (%),E12000004,99
2014,East Midlands,4,Undefined,Units,Percentage (%),E12000004,99
2015,East Midlands,4,Undefined,Units,Percentage (%),E12000004,99
2016,East Midlands,4,Undefined,Units,Percentage (%),E12000004,98
2017,East Midlands,4,Undefined,Units,Percentage (%),E12000004,98
2018,East Midlands,4,Undefined,Units,Percentage (%),E12000004,97
2011,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,96
2012,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97
2013,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97
2014,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,98
2015,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97
2016,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97
2017,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97
2018,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,96
2015,West Midlands,2,Undefined,Units,Percentage (%),E12000005,56
2016,West Midlands,2,Undefined,Units,Percentage (%),E12000005,65
2017,West Midlands,2,Undefined,Units,Percentage (%),E12000005,67
2018,West Midlands,2,Undefined,Units,Percentage (%),E12000005,68
2011,West Midlands,3,Undefined,Units,Percentage (%),E12000005,91
2012,West Midlands,3,Undefined,Units,Percentage (%),E12000005,92
2013,West Midlands,3,Undefined,Units,Percentage (%),E12000005,92
2014,West Midlands,3,Undefined,Units,Percentage (%),E12000005,92
2015,West Midlands,3,Undefined,Units,Percentage (%),E12000005,94
2016,West Midlands,3,Undefined,Units,Percentage (%),E12000005,94
2017,West Midlands,3,Undefined,Units,Percentage (%),E12000005,95
2018,West Midlands,3,Undefined,Units,Percentage (%),E12000005,93
2011,West Midlands,4,Undefined,Units,Percentage (%),E12000005,97
2012,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98
2013,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98
2014,West Midlands,4,Undefined,Units,Percentage (%),E12000005,99
2015,West Midlands,4,Undefined,Units,Percentage (%),E12000005,99
2016,West Midlands,4,Undefined,Units,Percentage (%),E12000005,99
2017,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98
2018,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98
2011,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,94
2012,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,95
2013,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,95
2014,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,96
2015,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,96
2016,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,97
2017,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,96
2018,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,96
2015,East of England,2,Undefined,Units,Percentage (%),E12000006,62
2016,East of England,2,Undefined,Units,Percentage (%),E12000006,71
2017,East of England,2,Undefined,Units,Percentage (%),E12000006,73
2018,East of England,2,Undefined,Units,Percentage (%),E12000006,70
2011,East of England,3,Undefined,Units,Percentage (%),E12000006,95
2012,East of England,3,Undefined,Units,Percentage (%),E12000006,95
2013,East of England,3,Undefined,Units,Percentage (%),E12000006,95
2014,East of England,3,Undefined,Units,Percentage (%),E12000006,95
2015,East of England,3,Undefined,Units,Percentage (%),E12000006,94
2016,East of England,3,Undefined,Units,Percentage (%),E12000006,95
2017,East of England,3,Undefined,Units,Percentage (%),E12000006,93
2018,East of England,3,Undefined,Units,Percentage (%),E12000006,94
2011,East of England,4,Undefined,Units,Percentage (%),E12000006,97
2012,East of England,4,Undefined,Units,Percentage (%),E12000006,97
2013,East of England,4,Undefined,Units,Percentage (%),E12000006,98
2014,East of England,4,Undefined,Units,Percentage (%),E12000006,97
2015,East of England,4,Undefined,Units,Percentage (%),E12000006,97
2016,East of England,4,Undefined,Units,Percentage (%),E12000006,96
2017,East of England,4,Undefined,Units,Percentage (%),E12000006,96
2018,East of England,4,Undefined,Units,Percentage (%),E12000006,95
2011,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96
2012,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96
2013,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96
2014,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96
2015,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96
2016,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96
2017,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,95
2018,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,95
2015,London,2,Undefined,Units,Percentage (%),E12000007,46
2016,London,2,Undefined,Units,Percentage (%),E12000007,57
2017,London,2,Undefined,Units,Percentage (%),E12000007,58
2018,London,2,Undefined,Units,Percentage (%),E12000007,61
2011,London,3,Undefined,Units,Percentage (%),E12000007,85
2012,London,3,Undefined,Units,Percentage (%),E12000007,86
2013,London,3,Undefined,Units,Percentage (%),E12000007,87
2014,London,3,Undefined,Units,Percentage (%),E12000007,86
2015,London,3,Undefined,Units,Percentage (%),E12000007,83
2016,London,3,Undefined,Units,Percentage (%),E12000007,82
2017,London,3,Undefined,Units,Percentage (%),E12000007,82
2018,London,3,Undefined,Units,Percentage (%),E12000007,83
2011,London,4,Undefined,Units,Percentage (%),E12000007,92
2012,London,4,Undefined,Units,Percentage (%),E12000007,93
2013,London,4,Undefined,Units,Percentage (%),E12000007,94
2014,London,4,Undefined,Units,Percentage (%),E12000007,94
2015,London,4,Undefined,Units,Percentage (%),E12000007,93
2016,London,4,Undefined,Units,Percentage (%),E12000007,89
2017,London,4,Undefined,Units,Percentage (%),E12000007,87
2018,London,4,Undefined,Units,Percentage (%),E12000007,87
2011,London,3 to 4,Undefined,Units,Percentage (%),E12000007,88
2012,London,3 to 4,Undefined,Units,Percentage (%),E12000007,89
2013,London,3 to 4,Undefined,Units,Percentage (%),E12000007,90
2014,London,3 to 4,Undefined,Units,Percentage (%),E12000007,90
2015,London,3 to 4,Undefined,Units,Percentage (%),E12000007,88
2016,London,3 to 4,Undefined,Units,Percentage (%),E12000007,86
2017,London,3 to 4,Undefined,Units,Percentage (%),E12000007,84
2018,London,3 to 4,Undefined,Units,Percentage (%),E12000007,85
2015,South East,2,Undefined,Units,Percentage (%),E12000008,60
2016,South East,2,Undefined,Units,Percentage (%),E12000008,68
2017,South East,2,Undefined,Units,Percentage (%),E12000008,71
2018,South East,2,Undefined,Units,Percentage (%),E12000008,70
2011,South East,3,Undefined,Units,Percentage (%),E12000008,93
2012,South East,3,Undefined,Units,Percentage (%),E12000008,94
2013,South East,3,Undefined,Units,Percentage (%),E12000008,94
2014,South East,3,Undefined,Units,Percentage (%),E12000008,94
2015,South East,3,Undefined,Units,Percentage (%),E12000008,93
2016,South East,3,Undefined,Units,Percentage (%),E12000008,95
2017,South East,3,Undefined,Units,Percentage (%),E12000008,94
2018,South East,3,Undefined,Units,Percentage (%),E12000008,94
2011,South East,4,Undefined,Units,Percentage (%),E12000008,96
2012,South East,4,Undefined,Units,Percentage (%),E12000008,96
2013,South East,4,Undefined,Units,Percentage (%),E12000008,97
2014,South East,4,Undefined,Units,Percentage (%),E12000008,96
2015,South East,4,Undefined,Units,Percentage (%),E12000008,96
2016,South East,4,Undefined,Units,Percentage (%),E12000008,96
2017,South East,4,Undefined,Units,Percentage (%),E12000008,96
2018,South East,4,Undefined,Units,Percentage (%),E12000008,95
2011,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95
2012,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95
2013,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95
2014,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95
2015,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,94
2016,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,96
2017,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95
2018,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,96
2015,South West,2,Undefined,Units,Percentage (%),E12000009,64
2016,South West,2,Undefined,Units,Percentage (%),E12000009,75
2017,South West,2,Undefined,Units,Percentage (%),E12000009,80
2018,South West,2,Undefined,Units,Percentage (%),E12000009,83
2011,South West,3,Undefined,Units,Percentage (%),E12000009,95
2012,South West,3,Undefined,Units,Percentage (%),E12000009,97
2013,South West,3,Undefined,Units,Percentage (%),E12000009,96
2014,South West,3,Undefined,Units,Percentage (%),E12000009,96
2015,South West,3,Undefined,Units,Percentage (%),E12000009,96
2016,South West,3,Undefined,Units,Percentage (%),E12000009,95
2017,South West,3,Undefined,Units,Percentage (%),E12000009,96
2018,South West,3,Undefined,Units,Percentage (%),E12000009,96
2011,South West,4,Undefined,Units,Percentage (%),E12000009,98
2012,South West,4,Undefined,Units,Percentage (%),E12000009,98
2013,South West,4,Undefined,Units,Percentage (%),E12000009,99
2014,South West,4,Undefined,Units,Percentage (%),E12000009,99
2015,South West,4,Undefined,Units,Percentage (%),E12000009,98
2016,South West,4,Undefined,Units,Percentage (%),E12000009,98
2017,South West,4,Undefined,Units,Percentage (%),E12000009,97
2018,South West,4,Undefined,Units,Percentage (%),E12000009,98
2011,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97
2012,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,98
2013,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97
2014,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97
2015,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97
2016,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97
2017,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,96
2018,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97
2019,,2,Undefined,Units,Percentage (%),,68
2019,North East,2,Undefined,Units,Percentage (%),E12000001,82
2019,North West,2,Undefined,Units,Percentage (%),E12000002,74
2019,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,71
2019,East Midlands,2,Undefined,Units,Percentage (%),E12000004,64
2019,West Midlands,2,Undefined,Units,Percentage (%),E12000005,66
2019,East of England,2,Undefined,Units,Percentage (%),E12000006,69
2019,London,2,Undefined,Units,Percentage (%),E12000007,56
2019,South East,2,Undefined,Units,Percentage (%),E12000008,68
2019,South West,2,Undefined,Units,Percentage (%),E12000009,75
2019,,3,Undefined,Units,Percentage (%),,92
2019,North East,3,Undefined,Units,Percentage (%),E12000001,98
2019,North West,3,Undefined,Units,Percentage (%),E12000002,95
2019,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,95
2019,East Midlands,3,Undefined,Units,Percentage (%),E12000004,94
2019,West Midlands,3,Undefined,Units,Percentage (%),E12000005,93
2019,East of England,3,Undefined,Units,Percentage (%),E12000006,93
2019,London,3,Undefined,Units,Percentage (%),E12000007,82
2019,South East,3,Undefined,Units,Percentage (%),E12000008,93
2019,South West,3,Undefined,Units,Percentage (%),E12000009,95
2019,,4,Undefined,Units,Percentage (%),,95
2019,North East,4,Undefined,Units,Percentage (%),E12000001,99
2019,North West,4,Undefined,Units,Percentage (%),E12000002,98
2019,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,97
2019,East Midlands,4,Undefined,Units,Percentage (%),E12000004,98
2019,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98
2019,East of England,4,Undefined,Units,Percentage (%),E12000006,95
2019,London,4,Undefined,Units,Percentage (%),E12000007,86
2019,South East,4,Undefined,Units,Percentage (%),E12000008,95
2019,South West,4,Undefined,Units,Percentage (%),E12000009,98
2019,,3 to 4,Undefined,Units,Percentage (%),,94
2019,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,99
2019,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97
2019,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,96
2019,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,96
2019,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,95
2019,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,94
2019,London,3 to 4,Undefined,Units,Percentage (%),E12000007,84
2019,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,94
2019,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,96
