Year,Sex,Age,Bank account category,Unit measure,Unit multiplier,Observation status,Value
2015,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2016,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2017,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2013,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,93.0
2014,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2015,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2016,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2017,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2013,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,92.0
2014,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2015,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2016,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2017,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2013,,16 to 24,Current account,Percentage (%),Units,Undefined,83.0
2014,,16 to 24,Current account,Percentage (%),Units,Undefined,84.0
2015,,16 to 24,Current account,Percentage (%),Units,Undefined,85.0
2016,,16 to 24,Current account,Percentage (%),Units,Undefined,86.0
2017,,16 to 24,Current account,Percentage (%),Units,Undefined,84.0
2013,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2014,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2015,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2016,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2017,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2013,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,5.0
2014,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,6.0
2015,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,6.0
2016,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,5.0
2017,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,5.0
2013,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2014,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2015,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2016,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2017,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,
2013,,16 to 24,ISA,Percentage (%),Units,Undefined,13.0
2014,,16 to 24,ISA,Percentage (%),Units,Undefined,13.0
2015,,16 to 24,ISA,Percentage (%),Units,Undefined,14.0
2016,,16 to 24,ISA,Percentage (%),Units,Undefined,12.0
2017,,16 to 24,ISA,Percentage (%),Units,Undefined,12.0
2013,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,18.0
2014,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,23.0
2015,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,23.0
2016,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,18.0
2017,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,21.0
2013,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,1.0
2014,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,1.0
2015,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,2.0
2016,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,1.0
2017,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,1.0
2013,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2014,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2015,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2016,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2017,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2013,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2014,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2015,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2016,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2017,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2013,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,4.0
2014,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,3.0
2015,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,4.0
2016,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,3.0
2017,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,2.0
2013,,16 to 24,National Savings Bonds,Percentage (%),Units,Undefined,
2014,,16 to 24,National Savings Bonds,Percentage (%),Units,Undefined,
2015,,16 to 24,National Savings Bonds,Percentage (%),Units,Undefined,
2016,,16 to 24,National Savings Bonds,Percentage (%),Units,Undefined,
2017,,16 to 24,National Savings Bonds,Percentage (%),Units,Undefined,
2013,,16 to 24,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,
2014,,16 to 24,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,1.0
2015,,16 to 24,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,1.0
2016,,16 to 24,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,
2017,,16 to 24,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,
2013,,16 to 24,Credit Unions,Percentage (%),Units,Undefined,
2014,,16 to 24,Credit Unions,Percentage (%),Units,Undefined,
2015,,16 to 24,Credit Unions,Percentage (%),Units,Undefined,
2016,,16 to 24,Credit Unions,Percentage (%),Units,Undefined,
2017,,16 to 24,Credit Unions,Percentage (%),Units,Undefined,
2013,,16 to 24,Any other type of asset,Percentage (%),Units,Undefined,
2014,,16 to 24,Any other type of asset,Percentage (%),Units,Undefined,
2015,,16 to 24,Any other type of asset,Percentage (%),Units,Undefined,
2016,,16 to 24,Any other type of asset,Percentage (%),Units,Undefined,
2017,,16 to 24,Any other type of asset,Percentage (%),Units,Undefined,
2013,,16 to 24,Any type of account (including POCAs),Percentage (%),Units,Undefined,88.0
2014,,16 to 24,Any type of account (including POCAs),Percentage (%),Units,Undefined,90.0
2015,,16 to 24,Any type of account (including POCAs),Percentage (%),Units,Undefined,90.0
2016,,16 to 24,Any type of account (including POCAs),Percentage (%),Units,Undefined,90.0
2017,,16 to 24,Any type of account (including POCAs),Percentage (%),Units,Undefined,88.0
2013,,16 to 24,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,88.0
2014,,16 to 24,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,89.0
2015,,16 to 24,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,90.0
2016,,16 to 24,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,90.0
2017,,16 to 24,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,88.0
2013,,16 to 24,No accounts (including POCAs),Percentage (%),Units,Undefined,12.0
2014,,16 to 24,No accounts (including POCAs),Percentage (%),Units,Undefined,10.0
2015,,16 to 24,No accounts (including POCAs),Percentage (%),Units,Undefined,10.0
2016,,16 to 24,No accounts (including POCAs),Percentage (%),Units,Undefined,10.0
2017,,16 to 24,No accounts (including POCAs),Percentage (%),Units,Undefined,12.0
2013,,16 to 24,No accounts (excluding POCAs),Percentage (%),Units,Undefined,12.0
2014,,16 to 24,No accounts (excluding POCAs),Percentage (%),Units,Undefined,11.0
2015,,16 to 24,No accounts (excluding POCAs),Percentage (%),Units,Undefined,10.0
2016,,16 to 24,No accounts (excluding POCAs),Percentage (%),Units,Undefined,10.0
2017,,16 to 24,No accounts (excluding POCAs),Percentage (%),Units,Undefined,12.0
2013,,16 to 24,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,88.0
2014,,16 to 24,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,90.0
2015,,16 to 24,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,90.0
2016,,16 to 24,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,90.0
2017,,16 to 24,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,88.0
2013,,16 to 24,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,88.0
2014,,16 to 24,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,89.0
2015,,16 to 24,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,89.0
2016,,16 to 24,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,90.0
2017,,16 to 24,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,88.0
2013,,25 to 34,Current account,Percentage (%),Units,Undefined,89.0
2014,,25 to 34,Current account,Percentage (%),Units,Undefined,90.0
2015,,25 to 34,Current account,Percentage (%),Units,Undefined,91.0
2016,,25 to 34,Current account,Percentage (%),Units,Undefined,90.0
2017,,25 to 34,Current account,Percentage (%),Units,Undefined,90.0
2013,,25 to 34,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2014,,25 to 34,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2015,,25 to 34,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2016,,25 to 34,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2017,,25 to 34,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2013,,25 to 34,Basic Bank account,Percentage (%),Units,Undefined,6.0
2014,,25 to 34,Basic Bank account,Percentage (%),Units,Undefined,6.0
2015,,25 to 34,Basic Bank account,Percentage (%),Units,Undefined,6.0
2016,,25 to 34,Basic Bank account,Percentage (%),Units,Undefined,5.0
2017,,25 to 34,Basic Bank account,Percentage (%),Units,Undefined,5.0
2013,,25 to 34,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2014,,25 to 34,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2015,,25 to 34,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2016,,25 to 34,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2017,,25 to 34,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2013,,25 to 34,ISA,Percentage (%),Units,Undefined,25.0
2014,,25 to 34,ISA,Percentage (%),Units,Undefined,25.0
2015,,25 to 34,ISA,Percentage (%),Units,Undefined,24.0
2016,,25 to 34,ISA,Percentage (%),Units,Undefined,23.0
2017,,25 to 34,ISA,Percentage (%),Units,Undefined,22.0
2013,,25 to 34,Other Bank / Building Society account,Percentage (%),Units,Undefined,32.0
2014,,25 to 34,Other Bank / Building Society account,Percentage (%),Units,Undefined,32.0
2015,,25 to 34,Other Bank / Building Society account,Percentage (%),Units,Undefined,31.0
2016,,25 to 34,Other Bank / Building Society account,Percentage (%),Units,Undefined,31.0
2017,,25 to 34,Other Bank / Building Society account,Percentage (%),Units,Undefined,31.0
2013,,25 to 34,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,4.0
2014,,25 to 34,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,5.0
2015,,25 to 34,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,4.0
2016,,25 to 34,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,4.0
2017,,25 to 34,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,3.0
2013,,25 to 34,Unit trusts,Percentage (%),Units,Undefined,
2014,,25 to 34,Unit trusts,Percentage (%),Units,Undefined,
2015,,25 to 34,Unit trusts,Percentage (%),Units,Undefined,1.0
2016,,25 to 34,Unit trusts,Percentage (%),Units,Undefined,
2017,,25 to 34,Unit trusts,Percentage (%),Units,Undefined,
2013,,25 to 34,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2014,,25 to 34,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2015,,25 to 34,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2016,,25 to 34,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2017,,25 to 34,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2013,,25 to 34,Premium Bonds,Percentage (%),Units,Undefined,5.0
2014,,25 to 34,Premium Bonds,Percentage (%),Units,Undefined,5.0
2015,,25 to 34,Premium Bonds,Percentage (%),Units,Undefined,5.0
2016,,25 to 34,Premium Bonds,Percentage (%),Units,Undefined,4.0
2017,,25 to 34,Premium Bonds,Percentage (%),Units,Undefined,4.0
2013,,25 to 34,National Savings Bonds,Percentage (%),Units,Undefined,
2014,,25 to 34,National Savings Bonds,Percentage (%),Units,Undefined,
2015,,25 to 34,National Savings Bonds,Percentage (%),Units,Undefined,
2016,,25 to 34,National Savings Bonds,Percentage (%),Units,Undefined,
2017,,25 to 34,National Savings Bonds,Percentage (%),Units,Undefined,
2013,,25 to 34,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2014,,25 to 34,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2015,,25 to 34,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2016,,25 to 34,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2017,,25 to 34,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2013,,25 to 34,Credit Unions,Percentage (%),Units,Undefined,1.0
2014,,25 to 34,Credit Unions,Percentage (%),Units,Undefined,1.0
2015,,25 to 34,Credit Unions,Percentage (%),Units,Undefined,1.0
2016,,25 to 34,Credit Unions,Percentage (%),Units,Undefined,1.0
2017,,25 to 34,Credit Unions,Percentage (%),Units,Undefined,1.0
2013,,25 to 34,Any other type of asset,Percentage (%),Units,Undefined,
2014,,25 to 34,Any other type of asset,Percentage (%),Units,Undefined,
2015,,25 to 34,Any other type of asset,Percentage (%),Units,Undefined,
2016,,25 to 34,Any other type of asset,Percentage (%),Units,Undefined,
2017,,25 to 34,Any other type of asset,Percentage (%),Units,Undefined,
2013,,25 to 34,Any type of account (including POCAs),Percentage (%),Units,Undefined,93.0
2014,,25 to 34,Any type of account (including POCAs),Percentage (%),Units,Undefined,94.0
2015,,25 to 34,Any type of account (including POCAs),Percentage (%),Units,Undefined,95.0
2016,,25 to 34,Any type of account (including POCAs),Percentage (%),Units,Undefined,94.0
2017,,25 to 34,Any type of account (including POCAs),Percentage (%),Units,Undefined,94.0
2013,,25 to 34,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,92.0
2014,,25 to 34,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2015,,25 to 34,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2016,,25 to 34,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2017,,25 to 34,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2013,,25 to 34,No accounts (including POCAs),Percentage (%),Units,Undefined,7.0
2014,,25 to 34,No accounts (including POCAs),Percentage (%),Units,Undefined,6.0
2015,,25 to 34,No accounts (including POCAs),Percentage (%),Units,Undefined,5.0
2016,,25 to 34,No accounts (including POCAs),Percentage (%),Units,Undefined,6.0
2017,,25 to 34,No accounts (including POCAs),Percentage (%),Units,Undefined,6.0
2013,,25 to 34,No accounts (excluding POCAs),Percentage (%),Units,Undefined,8.0
2014,,25 to 34,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2015,,25 to 34,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2016,,25 to 34,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2017,,25 to 34,No accounts (excluding POCAs),Percentage (%),Units,Undefined,7.0
2013,,25 to 34,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,92.0
2014,,25 to 34,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2015,,25 to 34,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,95.0
2016,,25 to 34,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2017,,25 to 34,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,93.0
2013,,25 to 34,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,92.0
2014,,25 to 34,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2015,,25 to 34,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2016,,25 to 34,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2017,,25 to 34,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2013,,35 to 44,Current account,Percentage (%),Units,Undefined,91.0
2014,,35 to 44,Current account,Percentage (%),Units,Undefined,91.0
2015,,35 to 44,Current account,Percentage (%),Units,Undefined,92.0
2016,,35 to 44,Current account,Percentage (%),Units,Undefined,90.0
2017,,35 to 44,Current account,Percentage (%),Units,Undefined,92.0
2013,,35 to 44,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2014,,35 to 44,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2015,,35 to 44,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2016,,35 to 44,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2017,,35 to 44,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2013,,35 to 44,Basic Bank account,Percentage (%),Units,Undefined,6.0
2014,,35 to 44,Basic Bank account,Percentage (%),Units,Undefined,5.0
2015,,35 to 44,Basic Bank account,Percentage (%),Units,Undefined,7.0
2016,,35 to 44,Basic Bank account,Percentage (%),Units,Undefined,5.0
2017,,35 to 44,Basic Bank account,Percentage (%),Units,Undefined,6.0
2013,,35 to 44,Post Office Card Account (POCA),Percentage (%),Units,Undefined,2.0
2014,,35 to 44,Post Office Card Account (POCA),Percentage (%),Units,Undefined,2.0
2015,,35 to 44,Post Office Card Account (POCA),Percentage (%),Units,Undefined,2.0
2016,,35 to 44,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2017,,35 to 44,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2013,,35 to 44,ISA,Percentage (%),Units,Undefined,27.0
2014,,35 to 44,ISA,Percentage (%),Units,Undefined,27.0
2015,,35 to 44,ISA,Percentage (%),Units,Undefined,28.0
2016,,35 to 44,ISA,Percentage (%),Units,Undefined,26.0
2017,,35 to 44,ISA,Percentage (%),Units,Undefined,25.0
2013,,35 to 44,Other Bank / Building Society account,Percentage (%),Units,Undefined,35.0
2014,,35 to 44,Other Bank / Building Society account,Percentage (%),Units,Undefined,35.0
2015,,35 to 44,Other Bank / Building Society account,Percentage (%),Units,Undefined,36.0
2016,,35 to 44,Other Bank / Building Society account,Percentage (%),Units,Undefined,34.0
2017,,35 to 44,Other Bank / Building Society account,Percentage (%),Units,Undefined,34.0
2013,,35 to 44,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,9.0
2014,,35 to 44,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,8.0
2015,,35 to 44,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,7.0
2016,,35 to 44,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,7.0
2017,,35 to 44,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,6.0
2013,,35 to 44,Unit trusts,Percentage (%),Units,Undefined,1.0
2014,,35 to 44,Unit trusts,Percentage (%),Units,Undefined,1.0
2015,,35 to 44,Unit trusts,Percentage (%),Units,Undefined,1.0
2016,,35 to 44,Unit trusts,Percentage (%),Units,Undefined,1.0
2017,,35 to 44,Unit trusts,Percentage (%),Units,Undefined,1.0
2013,,35 to 44,Endowment Policy (not linked),Percentage (%),Units,Undefined,1.0
2014,,35 to 44,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2015,,35 to 44,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2016,,35 to 44,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2017,,35 to 44,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2013,,35 to 44,Premium Bonds,Percentage (%),Units,Undefined,9.0
2014,,35 to 44,Premium Bonds,Percentage (%),Units,Undefined,8.0
2015,,35 to 44,Premium Bonds,Percentage (%),Units,Undefined,8.0
2016,,35 to 44,Premium Bonds,Percentage (%),Units,Undefined,7.0
2017,,35 to 44,Premium Bonds,Percentage (%),Units,Undefined,7.0
2013,,35 to 44,National Savings Bonds,Percentage (%),Units,Undefined,1.0
2014,,35 to 44,National Savings Bonds,Percentage (%),Units,Undefined,
2015,,35 to 44,National Savings Bonds,Percentage (%),Units,Undefined,1.0
2016,,35 to 44,National Savings Bonds,Percentage (%),Units,Undefined,
2017,,35 to 44,National Savings Bonds,Percentage (%),Units,Undefined,
2013,,35 to 44,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,3.0
2014,,35 to 44,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,3.0
2015,,35 to 44,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,3.0
2016,,35 to 44,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,3.0
2017,,35 to 44,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,3.0
2013,,35 to 44,Credit Unions,Percentage (%),Units,Undefined,1.0
2014,,35 to 44,Credit Unions,Percentage (%),Units,Undefined,1.0
2015,,35 to 44,Credit Unions,Percentage (%),Units,Undefined,2.0
2016,,35 to 44,Credit Unions,Percentage (%),Units,Undefined,1.0
2017,,35 to 44,Credit Unions,Percentage (%),Units,Undefined,1.0
2013,,35 to 44,Any other type of asset,Percentage (%),Units,Undefined,
2014,,35 to 44,Any other type of asset,Percentage (%),Units,Undefined,1.0
