Year,Series,City or Locality,Urbanisation,Unit,Value
2010,PM2.5,Glasgow,,Microgram per m3,17.74
2013,PM2.5,Glasgow,,Microgram per m3,16.04
2014,PM2.5,Glasgow,,Microgram per m3,7.5
2015,PM2.5,Glasgow,,Microgram per m3,7.52
2016,PM2.5,Glasgow,,Microgram per m3,7.44
2017,PM2.5,Glasgow,,Microgram per m3,7.38
2018,PM2.5,Glasgow,,Microgram per m3,7.15
2019,PM2.5,Glasgow,,Microgram per m3,6.5
2010,PM2.5,Grangemouth,,Microgram per m3,11.01
2014,PM2.5,Grangemouth,,Microgram per m3,7.96
2015,PM2.5,Grangemouth,,Microgram per m3,9.27
2016,PM2.5,Grangemouth,,Microgram per m3,6.42
2017,PM2.5,Grangemouth,,Microgram per m3,6.38
2018,PM2.5,Grangemouth,,Microgram per m3,7.22
2019,PM2.5,Grangemouth,,Microgram per m3,7.81
2017,PM2.5,Greenock,,Microgram per m3,5.26
2018,PM2.5,Greenock,,Microgram per m3,6.18
2019,PM2.5,Greenock,,Microgram per m3,6.56
2013,PM2.5,Harlington,,Microgram per m3,13.7
2014,PM2.5,Harlington,,Microgram per m3,13.94
2015,PM2.5,Harlington,,Microgram per m3,10.44
2016,PM2.5,Harlington,,Microgram per m3,9.63
2018,PM2.5,Harlington,,Microgram per m3,9.56
2019,PM2.5,Harlington,,Microgram per m3,9.54
2010,PM2.5,Hull,,Microgram per m3,9.79
2013,PM2.5,Hull,,Microgram per m3,12.36
2014,PM2.5,Hull,,Microgram per m3,12.35
2015,PM2.5,Hull,,Microgram per m3,10.88
2016,PM2.5,Hull,,Microgram per m3,11.24
2017,PM2.5,Hull,,Microgram per m3,10.22
2018,PM2.5,Hull,,Microgram per m3,10.68
2019,PM2.5,Hull,,Microgram per m3,10.76
2010,PM2.5,Inverness,,Microgram per m3,6.88
2013,PM2.5,Inverness,,Microgram per m3,6.06
2014,PM2.5,Inverness,,Microgram per m3,5.86
2015,PM2.5,Inverness,,Microgram per m3,4.78
2016,PM2.5,Inverness,,Microgram per m3,4.74
2017,PM2.5,Inverness,,Microgram per m3,4.28
2019,PM2.5,Inverness,,Microgram per m3,5.43
2010,PM2.5,Leamington Spa,,Microgram per m3,16.03
2010,PM2.5,Leeds,,Microgram per m3,16.76
2014,PM2.5,Leeds,,Microgram per m3,13.69
2015,PM2.5,Leeds,,Microgram per m3,11.97
2016,PM2.5,Leeds,,Microgram per m3,10.39
2017,PM2.5,Leeds,,Microgram per m3,9.94
2018,PM2.5,Leeds,,Microgram per m3,11.36
2019,PM2.5,Leeds,,Microgram per m3,12.32
2014,PM2.5,Leicester,,Microgram per m3,13.31
2015,PM2.5,Leicester,,Microgram per m3,12.02
2016,PM2.5,Leicester,,Microgram per m3,11.55
2017,PM2.5,Leicester,,Microgram per m3,10.59
2018,PM2.5,Leicester,,Microgram per m3,10.42
2019,PM2.5,Leicester,,Microgram per m3,11.22
2010,PM2.5,Liverpool,,Microgram per m3,11.74
2010,PM2.5,London,,Microgram per m3,14.39
2013,PM2.5,London,,Microgram per m3,15.59
2014,PM2.5,London,,Microgram per m3,14.38
2015,PM2.5,London,,Microgram per m3,11.72
2016,PM2.5,London,,Microgram per m3,12.27
2017,PM2.5,London,,Microgram per m3,12.45
2018,PM2.5,London,,Microgram per m3,11.47
2019,PM2.5,London,,Microgram per m3,11.41
2013,PM2.5,Londonderry,,Microgram per m3,11.49
2014,PM2.5,Londonderry,,Microgram per m3,11.97
2015,PM2.5,Londonderry,,Microgram per m3,11.75
2017,PM2.5,Londonderry,,Microgram per m3,8.02
2018,PM2.5,Londonderry,,Microgram per m3,9.67
2019,PM2.5,Londonderry,,Microgram per m3,9.36
2013,PM2.5,Manchester,,Microgram per m3,12.5
2014,PM2.5,Manchester,,Microgram per m3,11.86
2015,PM2.5,Manchester,,Microgram per m3,10.48
2016,PM2.5,Manchester,,Microgram per m3,10.21
2017,PM2.5,Manchester,,Microgram per m3,8.37
2018,PM2.5,Manchester,,Microgram per m3,10.86
2019,PM2.5,Manchester,,Microgram per m3,11.5
2010,PM2.5,Middlesbrough,,Microgram per m3,9.43
2014,PM2.5,Middlesbrough,,Microgram per m3,12.94
2015,PM2.5,Middlesbrough,,Microgram per m3,10.59
2016,PM2.5,Middlesbrough,,Microgram per m3,10.18
2017,PM2.5,Middlesbrough,,Microgram per m3,7.46
2018,PM2.5,Middlesbrough,,Microgram per m3,8.9
2019,PM2.5,Middlesbrough,,Microgram per m3,10.26
2019,PM2.5,Narberth,,Microgram per m3,6.54
2010,PM2.5,Newcastle Upon Tyne,,Microgram per m3,10.39
2013,PM2.5,Newcastle Upon Tyne,,Microgram per m3,10.38
2014,PM2.5,Newcastle Upon Tyne,,Microgram per m3,9.55
2016,PM2.5,Newcastle Upon Tyne,,Microgram per m3,8.93
2017,PM2.5,Newcastle Upon Tyne,,Microgram per m3,7.0
2018,PM2.5,Newcastle Upon Tyne,,Microgram per m3,8.97
2019,PM2.5,Newcastle Upon Tyne,,Microgram per m3,8.83
2010,PM2.5,Newport,,Microgram per m3,15.19
2013,PM2.5,Newport,,Microgram per m3,12.95
2014,PM2.5,Newport,,Microgram per m3,12.02
2015,PM2.5,Newport,,Microgram per m3,9.57
2016,PM2.5,Newport,,Microgram per m3,10.18
2019,PM2.5,Newport,,Microgram per m3,9.51
2010,PM2.5,Northampton,,Microgram per m3,8.97
2013,PM2.5,Northampton,,Microgram per m3,8.73
2014,PM2.5,Northampton,,Microgram per m3,8.05
2015,PM2.5,Northampton,,Microgram per m3,6.79
2016,PM2.5,Northampton,,Microgram per m3,7.09
2018,PM2.5,Northampton,,Microgram per m3,11.0
2019,PM2.5,Northampton,,Microgram per m3,11.55
2010,PM2.5,Norwich,,Microgram per m3,12.65
2013,PM2.5,Norwich,,Microgram per m3,13.23
2014,PM2.5,Norwich,,Microgram per m3,12.02
2015,PM2.5,Norwich,,Microgram per m3,11.95
2016,PM2.5,Norwich,,Microgram per m3,10.88
2017,PM2.5,Norwich,,Microgram per m3,12.03
2018,PM2.5,Norwich,,Microgram per m3,10.24
2019,PM2.5,Norwich,,Microgram per m3,10.33
2010,PM2.5,Nottingham,,Microgram per m3,15.86
2013,PM2.5,Nottingham,,Microgram per m3,12.23
2014,PM2.5,Nottingham,,Microgram per m3,12.21
2015,PM2.5,Nottingham,,Microgram per m3,11.5
2016,PM2.5,Nottingham,,Microgram per m3,11.92
2017,PM2.5,Nottingham,,Microgram per m3,11.57
2018,PM2.5,Nottingham,,Microgram per m3,9.99
2019,PM2.5,Nottingham,,Microgram per m3,10.83
2010,PM2.5,Oxford,,Microgram per m3,14.35
2013,PM2.5,Oxford,,Microgram per m3,13.74
2015,PM2.5,Oxford,,Microgram per m3,10.11
2018,PM2.5,Oxford,,Microgram per m3,9.66
2019,PM2.5,Oxford,,Microgram per m3,8.91
2010,PM2.5,Penicuik,,Microgram per m3,4.27
2013,PM2.5,Penicuik,,Microgram per m3,4.22
2014,PM2.5,Penicuik,,Microgram per m3,5.56
2015,PM2.5,Penicuik,,Microgram per m3,3.18
2016,PM2.5,Penicuik,,Microgram per m3,2.55
2017,PM2.5,Penicuik,,Microgram per m3,4.53
2018,PM2.5,Penicuik,,Microgram per m3,4.98
2019,PM2.5,Penicuik,,Microgram per m3,4.36
2010,PM2.5,Plymouth,,Microgram per m3,11.02
2013,PM2.5,Plymouth,,Microgram per m3,12.01
2016,PM2.5,Plymouth,,Microgram per m3,10.7
2017,PM2.5,Plymouth,,Microgram per m3,9.16
2018,PM2.5,Plymouth,,Microgram per m3,9.92
2019,PM2.5,Plymouth,,Microgram per m3,11.12
2010,PM2.5,Port Talbot,,Microgram per m3,9.77
2013,PM2.5,Port Talbot,,Microgram per m3,14.34
2015,PM2.5,Port Talbot,,Microgram per m3,9.69
2016,PM2.5,Port Talbot,,Microgram per m3,9.37
2017,PM2.5,Port Talbot,,Microgram per m3,10.3
2018,PM2.5,Port Talbot,,Microgram per m3,10.8
2019,PM2.5,Port Talbot,,Microgram per m3,10.83
2013,PM2.5,Portsmouth,,Microgram per m3,13.94
2014,PM2.5,Portsmouth,,Microgram per m3,14.14
2015,PM2.5,Portsmouth,,Microgram per m3,10.4
2016,PM2.5,Portsmouth,,Microgram per m3,11.62
2019,PM2.5,Portsmouth,,Microgram per m3,8.88
2013,PM2.5,Preston,,Microgram per m3,11.63
2014,PM2.5,Preston,,Microgram per m3,12.12
2015,PM2.5,Preston,,Microgram per m3,9.95
2016,PM2.5,Preston,,Microgram per m3,9.76
2017,PM2.5,Preston,,Microgram per m3,8.65
2018,PM2.5,Preston,,Microgram per m3,9.28
2019,PM2.5,Preston,,Microgram per m3,9.38
2010,PM2.5,Reading,,Microgram per m3,13.37
2013,PM2.5,Reading,,Microgram per m3,9.92
2015,PM2.5,Reading,,Microgram per m3,7.42
2017,PM2.5,Reading,,Microgram per m3,9.67
2018,PM2.5,Reading,,Microgram per m3,9.11
2013,PM2.5,Rochester,,Microgram per m3,16.34
2014,PM2.5,Rochester,,Microgram per m3,14.96
2015,PM2.5,Rochester,,Microgram per m3,8.73
2017,PM2.5,Rochester,,Microgram per m3,9.69
2018,PM2.5,Rochester,,Microgram per m3,10.09
2019,PM2.5,Rochester,,Microgram per m3,10.84
2013,PM2.5,Royal Leamington Spa,,Microgram per m3,12.52
2014,PM2.5,Royal Leamington Spa,,Microgram per m3,12.05
2015,PM2.5,Royal Leamington Spa,,Microgram per m3,11.82
2016,PM2.5,Royal Leamington Spa,,Microgram per m3,10.1
2017,PM2.5,Royal Leamington Spa,,Microgram per m3,10.83
2018,PM2.5,Royal Leamington Spa,,Microgram per m3,9.8
2019,PM2.5,Royal Leamington Spa,,Microgram per m3,9.49
2010,PM2.5,Salford,,Microgram per m3,14.99
2013,PM2.5,Saltash,,Microgram per m3,10.71
2015,PM2.5,Saltash,,Microgram per m3,9.73
2016,PM2.5,Saltash,,Microgram per m3,8.35
2017,PM2.5,Saltash,,Microgram per m3,7.76
2018,PM2.5,Saltash,,Microgram per m3,8.4
2019,PM2.5,Saltash,,Microgram per m3,9.5
2013,PM2.5,Sandy,,Microgram per m3,13.0
2014,PM2.5,Sandy,,Microgram per m3,12.77
2015,PM2.5,Sandy,,Microgram per m3,11.8
2016,PM2.5,Sandy,,Microgram per m3,11.97
2019,PM2.5,Sandy,,Microgram per m3,9.7
2010,PM2.5,Sheffield,,Microgram per m3,15.72
2014,PM2.5,Sheffield,,Microgram per m3,12.33
2017,PM2.5,Sheffield,,Microgram per m3,8.94
2018,PM2.5,Sheffield,,Microgram per m3,12.77
2019,PM2.5,Sheffield,,Microgram per m3,12.49
2010,PM2.5,Southampton,,Microgram per m3,13.29
2013,PM2.5,Southampton,,Microgram per m3,15.01
2014,PM2.5,Southampton,,Microgram per m3,14.67
2015,PM2.5,Southampton,,Microgram per m3,9.96
2017,PM2.5,Southampton,,Microgram per m3,11.15
2018,PM2.5,Southampton,,Microgram per m3,11.88
2019,PM2.5,Southampton,,Microgram per m3,9.6
2010,PM2.5,Southend - On - Sea,,Microgram per m3,14.23
2013,PM2.5,Southend-On-Sea,,Microgram per m3,10.64
2015,PM2.5,Southend-On-Sea,,Microgram per m3,10.62
2016,PM2.5,Southend-On-Sea,,Microgram per m3,11.72
2019,PM2.5,Southend-On-Sea,,Microgram per m3,10.64
2013,PM2.5,Speke,,Microgram per m3,11.62
2014,PM2.5,Speke,,Microgram per m3,10.81
2015,PM2.5,Speke,,Microgram per m3,9.15
2016,PM2.5,Speke,,Microgram per m3,10.05
2017,PM2.5,Speke,,Microgram per m3,8.49
2018,PM2.5,Speke,,Microgram per m3,8.8
2019,PM2.5,Speke,,Microgram per m3,9.09
2013,PM2.5,Stanford-Le-Hope,,Microgram per m3,14.24
2014,PM2.5,Stanford-Le-Hope,,Microgram per m3,14.23
2015,PM2.5,Stanford-Le-Hope,,Microgram per m3,9.84
2016,PM2.5,Stanford-Le-Hope,,Microgram per m3,13.4
2017,PM2.5,Stanford-Le-Hope,,Microgram per m3,11.06
2018,PM2.5,Stanford-Le-Hope,,Microgram per m3,10.06
2019,PM2.5,Stanford-Le-Hope,,Microgram per m3,11.54
2013,PM2.5,Stanmore,,Microgram per m3,13.47
2014,PM2.5,Stanmore,,Microgram per m3,12.67
2015,PM2.5,Stanmore,,Microgram per m3,10.83
2016,PM2.5,Stanmore,,Microgram per m3,11.17
2016,PM2.5,Stockbridge,,Microgram per m3,9.45
2017,PM2.5,Stockbridge,,Microgram per m3,7.38
2018,PM2.5,Stockbridge,,Microgram per m3,8.62
2019,PM2.5,Stockbridge,,Microgram per m3,8.06
2010,PM2.5,Stockton-On-Tees,,Microgram per m3,9.37
2013,PM2.5,Stockton-On-Tees,,Microgram per m3,10.05
2014,PM2.5,Stockton-On-Tees,,Microgram per m3,11.0
2015,PM2.5,Stockton-On-Tees,,Microgram per m3,10.81
2016,PM2.5,Stockton-On-Tees,,Microgram per m3,9.28
2017,PM2.5,Stockton-On-Tees,,Microgram per m3,8.27
2018,PM2.5,Stockton-On-Tees,,Microgram per m3,9.79
2019,PM2.5,Stockton-On-Tees,,Microgram per m3,8.21
2010,PM2.5,Stoke - On - Trent,,Microgram per m3,16.52
2013,PM2.5,Stoke-On-Trent,,Microgram per m3,13.78
2014,PM2.5,Stoke-On-Trent,,Microgram per m3,13.35
2015,PM2.5,Stoke-On-Trent,,Microgram per m3,11.69
2016,PM2.5,Stoke-On-Trent,,Microgram per m3,11.67
2017,PM2.5,Stoke-On-Trent,,Microgram per m3,8.66
2018,PM2.5,Stoke-On-Trent,,Microgram per m3,9.45
2019,PM2.5,Stoke-On-Trent,,Microgram per m3,9.47
2010,PM2.5,Storrington,,Microgram per m3,14.45
2013,PM2.5,Storrington,,Microgram per m3,16.62
2014,PM2.5,Storrington,,Microgram per m3,11.32
2015,PM2.5,Storrington,,Microgram per m3,11.18
2016,PM2.5,Storrington,,Microgram per m3,13.24
2010,PM2.5,Sunderland,,Microgram per m3,10.79
2013,PM2.5,Sunderland,,Microgram per m3,9.08
2014,PM2.5,Sunderland,,Microgram per m3,10.25
2015,PM2.5,Sunderland,,Microgram per m3,7.1
2016,PM2.5,Sunderland,,Microgram per m3,8.03
2017,PM2.5,Sunderland,,Microgram per m3,7.18
2018,PM2.5,Sunderland,,Microgram per m3,8.44
2019,PM2.5,Sunderland,,Microgram per m3,9.4
2010,PM2.5,Swansea,,Microgram per m3,8.99
2013,PM2.5,Swansea,,Microgram per m3,11.93
2014,PM2.5,Swansea,,Microgram per m3,12.71
2015,PM2.5,Swansea,,Microgram per m3,12.78
2016,PM2.5,Swansea,,Microgram per m3,13.36
2017,PM2.5,Swansea,,Microgram per m3,14.66
2018,PM2.5,Swansea,,Microgram per m3,12.82
2019,PM2.5,Swansea,,Microgram per m3,9.86
2010,PM2.5,Warrington,,Microgram per m3,13.96
2013,PM2.5,Warrington,,Microgram per m3,13.61
2014,PM2.5,Warrington,,Microgram per m3,14.45
2015,PM2.5,Warrington,,Microgram per m3,9.27
2016,PM2.5,Warrington,,Microgram per m3,10.59
2017,PM2.5,Warrington,,Microgram per m3,9.71
2018,PM2.5,Warrington,,Microgram per m3,8.97
2013,PM2.5,Wigan,,Microgram per m3,12.81
2014,PM2.5,Wigan,,Microgram per m3,14.25
2015,PM2.5,Wigan,,Microgram per m3,10.76
2017,PM2.5,Wigan,,Microgram per m3,10.13
2018,PM2.5,Wigan,,Microgram per m3,11.63
2019,PM2.5,Wigan,,Microgram per m3,9.56
2018,PM2.5,Worthing,,Microgram per m3,10.42
2019,PM2.5,Worthing,,Microgram per m3,10.04
2010,PM2.5,Wrexham,,Microgram per m3,9.84
2013,PM2.5,Wrexham,,Microgram per m3,10.39
2014,PM2.5,Wrexham,,Microgram per m3,9.34
2015,PM2.5,Wrexham,,Microgram per m3,8.04
2016,PM2.5,Wrexham,,Microgram per m3,7.83
2017,PM2.5,Wrexham,,Microgram per m3,6.56
2019,PM2.5,Wrexham,,Microgram per m3,7.87
2010,PM2.5,York,,Microgram per m3,13.59
2013,PM2.5,York,,Microgram per m3,12.38
2014,PM2.5,York,,Microgram per m3,13.0
2015,PM2.5,York,,Microgram per m3,11.11
2016,PM2.5,York,,Microgram per m3,10.88
2017,PM2.5,York,,Microgram per m3,10.08
2018,PM2.5,York,,Microgram per m3,10.62
2019,PM2.5,York,,Microgram per m3,11.09
2010,PM10,Aberdeen,,Microgram per m3,13.3
2013,PM10,Aberdeen,,Microgram per m3,13.48
2014,PM10,Aberdeen,,Microgram per m3,14.54
2015,PM10,Aberdeen,,Microgram per m3,11.71
2016,PM10,Aberdeen,,Microgram per m3,11.76
2017,PM10,Aberdeen,,Microgram per m3,11.41
2018,PM10,Aberdeen,,Microgram per m3,14.28
2019,PM10,Aberdeen,,Microgram per m3,13.71
2013,PM10,Armagh,,Microgram per m3,19.02
2017,PM10,Armagh,,Microgram per m3,14.46
2018,PM10,Armagh,,Microgram per m3,18.59
2019,PM10,Armagh,,Microgram per m3,17.17
2014,PM10,Barnstaple,,Microgram per m3,16.01
2015,PM10,Barnstaple,,Microgram per m3,17.72
2016,PM10,Barnstaple,,Microgram per m3,16.95
2019,PM10,Barnstaple,,Microgram per m3,16.61
2014,PM10,Belfast,,Microgram per m3,16.38
2015,PM10,Belfast,,Microgram per m3,17.63
2016,PM10,Belfast,,Microgram per m3,18.81
2017,PM10,Belfast,,Microgram per m3,16.4
2018,PM10,Belfast,,Microgram per m3,15.53
2019,PM10,Belfast,,Microgram per m3,16.75
2010,PM10,Biandrate,,Microgram per m3,21.46
2010,PM10,Birmingham,,Microgram per m3,20.48
2013,PM10,Birmingham,,Microgram per m3,18.54
2014,PM10,Birmingham,,Microgram per m3,19.41
2015,PM10,Birmingham,,Microgram per m3,15.95
2016,PM10,Birmingham,,Microgram per m3,16.19
2018,PM10,Birmingham,,Microgram per m3,17.51
2019,PM10,Birmingham,,Microgram per m3,15.27
2010,PM10,Bristol,,Microgram per m3,20.33
2013,PM10,Bristol,,Microgram per m3,17.7
2014,PM10,Bristol,,Microgram per m3,16.86
2015,PM10,Bristol,,Microgram per m3,14.91
2016,PM10,Bristol,,Microgram per m3,15.42
2017,PM10,Bristol,,Microgram per m3,14.73
2018,PM10,Bristol,,Microgram per m3,19.26
2019,PM10,Bristol,,Microgram per m3,18.44
2015,PM10,Bury,,Microgram per m3,17.1
2016,PM10,Bury,,Microgram per m3,15.24
2017,PM10,Bury,,Microgram per m3,14.85
2018,PM10,Bury,,Microgram per m3,15.92
2019,PM10,Bury,,Microgram per m3,17.73
2013,PM10,Cardiff,,Microgram per m3,18.95
2014,PM10,Cardiff,,Microgram per m3,15.92
2015,PM10,Cardiff,,Microgram per m3,16.01
2017,PM10,Cardiff,,Microgram per m3,15.91
2018,PM10,Cardiff,,Microgram per m3,17.43
2019,PM10,Cardiff,,Microgram per m3,18.77
2010,PM10,Carlisle,,Microgram per m3,22.47
2015,PM10,Carlisle,,Microgram per m3,17.28
2017,PM10,Carlisle,,Microgram per m3,14.59
2018,PM10,Carlisle,,Microgram per m3,16.19
2019,PM10,Carlisle,,Microgram per m3,18.59
2013,PM10,Chepstow,,Microgram per m3,19.39
2014,PM10,Chepstow,,Microgram per m3,17.56
2015,PM10,Chepstow,,Microgram per m3,16.86
2016,PM10,Chepstow,,Microgram per m3,17.74
2017,PM10,Chepstow,,Microgram per m3,15.31
2018,PM10,Chepstow,,Microgram per m3,17.63
2019,PM10,Chepstow,,Microgram per m3,19.6
2010,PM10,Chesterfield,,Microgram per m3,19.87
2013,PM10,Chesterfield,,Microgram per m3,16.62
2014,PM10,Chesterfield,,Microgram per m3,19.03
2015,PM10,Chesterfield,,Microgram per m3,15.44
2016,PM10,Chesterfield,,Microgram per m3,16.21
2017,PM10,Chesterfield,,Microgram per m3,13.15
2018,PM10,Chesterfield,,Microgram per m3,15.6
2019,PM10,Chesterfield,,Microgram per m3,13.41
2018,PM10,Coventry,,Microgram per m3,19.39
2019,PM10,Coventry,,Microgram per m3,19.5
