Year,Sex,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Household income,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2017/18,,,White,,,,,,Undefined,Units,Percentage (%),,76.03719811
2017/18,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Undefined,Units,Percentage (%),,76.19900083
2017/18,,,White,Irish,,,,,Undefined,Units,Percentage (%),,73.07632794
2017/18,,,White,Any other white background,,,,,Undefined,Units,Percentage (%),,74.64943342
2017/18,,,Mixed/Multiple,,,,,,Undefined,Units,Percentage (%),,79.20927779
2017/18,,,Asian/Asian British,,,,,,Undefined,Units,Percentage (%),,65.10010961
2017/18,,,Asian/Asian British,Indian,,,,,Undefined,Units,Percentage (%),,61.39216943
2017/18,,,Asian/Asian British,Pakistani,,,,,Undefined,Units,Percentage (%),,62.53960311
2017/18,,,Asian/Asian British,Any other Asian background,,,,,Undefined,Units,Percentage (%),,70.12885334
2017/18,,,Black/African/Caribbean/Black British,,,,,,Undefined,Units,Percentage (%),,76.49473249
2017/18,,,Black/African/Caribbean/Black British,African,,,,,Undefined,Units,Percentage (%),,74.92607511
2017/18,,,Black/African/Caribbean/Black British,Caribbean,,,,,Undefined,Units,Percentage (%),,85.23406325
2017/18,,,Other ethnic group,,,,,,Undefined,Units,Percentage (%),,77.59134016
2017/18,,,Other ethnic group,Any other ethnic group,,,,,Undefined,Units,Percentage (%),,76.27382714
2006/07,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,59.18043240670261
2007/08,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,58.81574469053116
2008/09,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,59.15299507743361
2009/10,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,61.31780184376776
2010/11,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,64.38068193249727
2011/12,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,66.01397572234818
2012/13,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,60.76845650535277
2013/14,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,59.139281667550314
2014/15,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,63.232666281353
2015/16,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,64.40416678043235
2017/18,,,,,Long-standing illness or disability,,,,Undefined,Units,Percentage (%),,64.68025717
2006/07,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,53.84335961484494
2007/08,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,53.8800063389281
2008/09,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,54.24566614302238
2009/10,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,55.92456921172297
2010/11,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,59.87800632324995
2011/12,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,61.30686305082053
2012/13,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,55.93552515211268
2013/14,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,55.26029829927352
2014/15,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,60.57113740243728
2015/16,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,61.78316612826896
2017/18,,,,,Long-standing illness or disability - Limits activities,,,,Undefined,Units,Percentage (%),,62.13722545
2006/07,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,69.9251640339533
2007/08,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,69.0717887570887
2008/09,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,68.84502562680413
2009/10,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,72.83915546409476
2010/11,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,74.52678447810692
2011/12,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,76.55689736130816
2012/13,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,75.59476825091338
2013/14,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,71.0384756720582
2014/15,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,72.37721464594539
2015/16,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,73.78294077328177
2017/18,,,,,Long-standing illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),,74.53234938
2006/07,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,72.31935735456351
2007/08,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,72.70393087243879
2008/09,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,73.34775617468469
2009/10,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,76.13969946909819
2010/11,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,77.81760294870213
2011/12,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,78.97204677141562
2012/13,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,73.20591833655114
2013/14,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,74.7650779604266
2014/15,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,76.52159763966002
2015/16,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,77.56858243745945
2017/18,,,,,No long-standing illness or disability,,,,Undefined,Units,Percentage (%),,78.06596286
2017/18,,,,,,UK,,,Undefined,Units,Percentage (%),,76.15675162
2017/18,,,,,,Non-UK,,,Undefined,Units,Percentage (%),,70.84039142
2017/18,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,72.13568101
2017/18,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,76.47150371
2017/18,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,77.00300553
2017/18,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,73.37057158
2017/18,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,68.48863783
2017/18,,,,,,,East of England,,Undefined,Units,Percentage (%),E12000006,73.21421362
2017/18,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,72.2907938
2017/18,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,77.71695550000001
2017/18,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,80.77707118
2017/18,,,,,,,Wales,,Undefined,Units,Percentage (%),W92000004,81.43447067
2017/18,,,,,,,,"Less than £10,000",Undefined,Units,Percentage (%),,64.02917865
2017/18,,,,,,,,"£10,000 to less than £20,000",Undefined,Units,Percentage (%),,68.3370455
2017/18,,,,,,,,"£20,000 to less than £30,000",Undefined,Units,Percentage (%),,75.49064361
2017/18,,,,,,,,"£30,000 to less than £40,000",Undefined,Units,Percentage (%),,77.81187157
2017/18,,,,,,,,"£40,000 to less than £50,000",Undefined,Units,Percentage (%),,77.74074978
2017/18,,,,,,,,"£50,000 or more",Undefined,Units,Percentage (%),,85.34316591
2017/18,,,,,,,,No income stated or not enough information provided,Undefined,Units,Percentage (%),,69.07494721
