Year,Main method of contraception,Age,Observation status,Unit measure,Value
2014/15,Female condom,25 to 34,Undefined,Percentage (%),0.143386842016826
2015/16,Female condom,25 to 34,Undefined,Percentage (%),0.119816628464263
2016/17,Female condom,25 to 34,Undefined,Percentage (%),0.124595251950998
2017/18,Female condom,25 to 34,Undefined,Percentage (%),0.442959701945289
2014/15,Female condom,35 to 44,Undefined,Percentage (%),0.151460932233716
2015/16,Female condom,35 to 44,Undefined,Percentage (%),0.146259234163513
2016/17,Female condom,35 to 44,Undefined,Percentage (%),0.140499365213711
2017/18,Female condom,35 to 44,Undefined,Percentage (%),0.673980637410784
2014/15,Female condom,45 and over,Undefined,Percentage (%),0.246689427877879
2015/16,Female condom,45 and over,Undefined,Percentage (%),0.182431637176821
2016/17,Female condom,45 and over,Undefined,Percentage (%),0.224998995540199
2017/18,Female condom,45 and over,Undefined,Percentage (%),0.9021409965905
2017/18,Implant,,Undefined,Percentage (%),15.8821470273605
2018/19,Implant,,Undefined,Percentage (%),17.1050720100188
2014/15,Implant,Under 16,Undefined,Percentage (%),22.194238942232
2015/16,Implant,Under 16,Undefined,Percentage (%),23.408632353523
2016/17,Implant,Under 16,Undefined,Percentage (%),23.2474893109277
2017/18,Implant,Under 16,Undefined,Percentage (%),24.0021662604928
2018/19,Implant,Under 16,Undefined,Percentage (%),28.8154578549426
2014/15,Implant,16 to 17,Undefined,Percentage (%),18.1328204497423
2015/16,Implant,16 to 17,Undefined,Percentage (%),19.0016822626433
2016/17,Implant,16 to 17,Undefined,Percentage (%),18.1371508295169
2017/18,Implant,16 to 17,Undefined,Percentage (%),18.7909047972472
2018/19,Implant,16 to 17,Undefined,Percentage (%),20.9732019592639
2014/15,Implant,18 to 19,Undefined,Percentage (%),15.958424060969
2015/16,Implant,18 to 19,Undefined,Percentage (%),16.3239892630822
2016/17,Implant,18 to 19,Undefined,Percentage (%),15.61040429182
2017/18,Implant,18 to 19,Undefined,Percentage (%),15.7691014951589
2018/19,Implant,18 to 19,Undefined,Percentage (%),17.0824021339485
2014/15,Implant,20 to 24,Undefined,Percentage (%),15.0761296194467
2015/16,Implant,20 to 24,Undefined,Percentage (%),15.6105076227699
2016/17,Implant,20 to 24,Undefined,Percentage (%),15.4441681735986
2017/18,Implant,20 to 24,Undefined,Percentage (%),15.5590717299578
2018/19,Implant,20 to 24,Undefined,Percentage (%),16.4342995879929
2014/15,Implant,25 to 34,Undefined,Percentage (%),14.7568958242316
2015/16,Implant,25 to 34,Undefined,Percentage (%),15.7863989521626
2016/17,Implant,25 to 34,Undefined,Percentage (%),16.0847247713267
2017/18,Implant,25 to 34,Undefined,Percentage (%),16.6640739847706
2018/19,Implant,25 to 34,Undefined,Percentage (%),17.7312830466244
2014/15,Implant,35 to 44,Undefined,Percentage (%),11.9504339938251
2015/16,Implant,35 to 44,Undefined,Percentage (%),13.0079822836272
2016/17,Implant,35 to 44,Undefined,Percentage (%),13.8831993228946
2017/18,Implant,35 to 44,Undefined,Percentage (%),14.627941488234
2018/19,Implant,35 to 44,Undefined,Percentage (%),16.0350740847117
2014/15,Implant,45 and over,Undefined,Percentage (%),6.44747488701624
2015/16,Implant,45 and over,Undefined,Percentage (%),7.68370669700655
2016/17,Implant,45 and over,Undefined,Percentage (%),8.9336654747077
2017/18,Implant,45 and over,Undefined,Percentage (%),9.60377798013596
2018/19,Implant,45 and over,Undefined,Percentage (%),10.9445828398742
2017/18,Injectable contraceptive,,Undefined,Percentage (%),9.14937002611937
2018/19,Injectable contraceptive,,Undefined,Percentage (%),8.89643080776456
2014/15,Injectable contraceptive,Under 16,Undefined,Percentage (%),7.27215488745475
2015/16,Injectable contraceptive,Under 16,Undefined,Percentage (%),7.28330102464691
2016/17,Injectable contraceptive,Under 16,Undefined,Percentage (%),7.7607636472109
2017/18,Injectable contraceptive,Under 16,Undefined,Percentage (%),7.71730300568643
2018/19,Injectable contraceptive,Under 16,Undefined,Percentage (%),7.49929991598992
2014/15,Injectable contraceptive,16 to 17,Undefined,Percentage (%),9.8234353509488
2015/16,Injectable contraceptive,16 to 17,Undefined,Percentage (%),9.69535274944801
2016/17,Injectable contraceptive,16 to 17,Undefined,Percentage (%),9.90567468381305
2017/18,Injectable contraceptive,16 to 17,Undefined,Percentage (%),9.61304905202078
2018/19,Injectable contraceptive,16 to 17,Undefined,Percentage (%),9.49562191501031
2014/15,Injectable contraceptive,18 to 19,Undefined,Percentage (%),10.6227885138813
2015/16,Injectable contraceptive,18 to 19,Undefined,Percentage (%),10.8310042338877
2016/17,Injectable contraceptive,18 to 19,Undefined,Percentage (%),10.7424412205111
2017/18,Injectable contraceptive,18 to 19,Undefined,Percentage (%),10.6742852186358
2018/19,Injectable contraceptive,18 to 19,Undefined,Percentage (%),10.3441232307212
2014/15,Injectable contraceptive,20 to 24,Undefined,Percentage (%),10.047213636967
2015/16,Injectable contraceptive,20 to 24,Undefined,Percentage (%),10.4221630712177
2016/17,Injectable contraceptive,20 to 24,Undefined,Percentage (%),10.3994445879618
2017/18,Injectable contraceptive,20 to 24,Undefined,Percentage (%),10.4613453290093
2018/19,Injectable contraceptive,20 to 24,Undefined,Percentage (%),10.2118893466745
2014/15,Injectable contraceptive,25 to 34,Undefined,Percentage (%),8.51471395445227
2015/16,Injectable contraceptive,25 to 34,Undefined,Percentage (%),8.79945226684131
2016/17,Injectable contraceptive,25 to 34,Undefined,Percentage (%),8.73845442201233
2017/18,Injectable contraceptive,25 to 34,Undefined,Percentage (%),8.54807221137617
2018/19,Injectable contraceptive,25 to 34,Undefined,Percentage (%),8.51230980741015
2014/15,Injectable contraceptive,35 to 44,Undefined,Percentage (%),8.55754267120495
2015/16,Injectable contraceptive,35 to 44,Undefined,Percentage (%),8.77142243302649
2016/17,Injectable contraceptive,35 to 44,Undefined,Percentage (%),8.78205670757512
2017/18,Injectable contraceptive,35 to 44,Undefined,Percentage (%),8.4622994841354
2018/19,Injectable contraceptive,35 to 44,Undefined,Percentage (%),8.06906688742841
2014/15,Injectable contraceptive,45 and over,Undefined,Percentage (%),4.12070020327209
2015/16,Injectable contraceptive,45 and over,Undefined,Percentage (%),4.63533288869708
2016/17,Injectable contraceptive,45 and over,Undefined,Percentage (%),4.70288079071076
2017/18,Injectable contraceptive,45 and over,Undefined,Percentage (%),4.69282734376655
2018/19,Injectable contraceptive,45 and over,Undefined,Percentage (%),4.49422142361253
2017/18,IU device,,Undefined,Percentage (%),6.92677517508794
2018/19,IU device,,Undefined,Percentage (%),7.62943018159048
2014/15,IU device,Under 16,Undefined,Percentage (%),0.346293089878797
2015/16,IU device,Under 16,Undefined,Percentage (%),0.478696047790481
2016/17,IU device,Under 16,Undefined,Percentage (%),0.452421199164761
2017/18,IU device,Under 16,Undefined,Percentage (%),0.687787706471703
2018/19,IU device,Under 16,Undefined,Percentage (%),1.00252030243629
2014/15,IU device,16 to 17,Undefined,Percentage (%),0.732424604993906
2015/16,IU device,16 to 17,Undefined,Percentage (%),0.789874881715908
2016/17,IU device,16 to 17,Undefined,Percentage (%),0.944769646052592
2017/18,IU device,16 to 17,Undefined,Percentage (%),1.35449699750354
2018/19,IU device,16 to 17,Undefined,Percentage (%),1.59048357508936
2014/15,IU device,18 to 19,Undefined,Percentage (%),1.46213255307567
2015/16,IU device,18 to 19,Undefined,Percentage (%),1.63083081975076
2016/17,IU device,18 to 19,Undefined,Percentage (%),1.84742619715796
2017/18,IU device,18 to 19,Undefined,Percentage (%),2.6748056510284
2018/19,IU device,18 to 19,Undefined,Percentage (%),3.11681445702064
2014/15,IU device,20 to 24,Undefined,Percentage (%),3.50821972354425
2015/16,IU device,20 to 24,Undefined,Percentage (%),3.55990607273483
2016/17,IU device,20 to 24,Undefined,Percentage (%),4.00009687419271
2017/18,IU device,20 to 24,Undefined,Percentage (%),4.99965128848903
2018/19,IU device,20 to 24,Undefined,Percentage (%),5.86236389052384
2014/15,IU device,25 to 34,Undefined,Percentage (%),9.1065580810061
2015/16,IU device,25 to 34,Undefined,Percentage (%),8.80056857083321
2016/17,IU device,25 to 34,Undefined,Percentage (%),9.03576704418282
2017/18,IU device,25 to 34,Undefined,Percentage (%),9.64438775113365
2018/19,IU device,25 to 34,Undefined,Percentage (%),10.1439898949055
2014/15,IU device,35 to 44,Undefined,Percentage (%),11.9695746610854
2015/16,IU device,35 to 44,Undefined,Percentage (%),11.6288486010346
2016/17,IU device,35 to 44,Undefined,Percentage (%),11.9356749894202
2017/18,IU device,35 to 44,Undefined,Percentage (%),12.1104515581938
2018/19,IU device,35 to 44,Undefined,Percentage (%),12.6070722600483
2014/15,IU device,45 and over,Undefined,Percentage (%),7.31384815772335
2015/16,IU device,45 and over,Undefined,Percentage (%),6.96378830083565
2016/17,IU device,45 and over,Undefined,Percentage (%),6.80019285628189
2017/18,IU device,45 and over,Undefined,Percentage (%),6.80841151182737
2018/19,IU device,45 and over,Undefined,Percentage (%),6.72397598725855
2017/18,IU system,,Undefined,Percentage (%),9.17127896815003
2018/19,IU system,,Undefined,Percentage (%),10.4407013149656
2014/15,IU system,Under 16,Undefined,Percentage (%),0.129072878954824
2015/16,IU system,Under 16,Undefined,Percentage (%),0.265063100842663
2016/17,IU system,Under 16,Undefined,Percentage (%),0.263498061052004
2017/18,IU system,Under 16,Undefined,Percentage (%),0.324939073923639
2018/19,IU system,Under 16,Undefined,Percentage (%),0.537664519742369
2014/15,IU system,16 to 17,Undefined,Percentage (%),0.571403012445627
2015/16,IU system,16 to 17,Undefined,Percentage (%),0.709704552623278
2016/17,IU system,16 to 17,Undefined,Percentage (%),0.843165205786904
2017/18,IU system,16 to 17,Undefined,Percentage (%),1.05930773901896
2018/19,IU system,16 to 17,Undefined,Percentage (%),1.51672749966904
2014/15,IU system,18 to 19,Undefined,Percentage (%),1.30222509526402
2015/16,IU system,18 to 19,Undefined,Percentage (%),1.44265803285644
2016/17,IU system,18 to 19,Undefined,Percentage (%),1.64612318157929
2017/18,IU system,18 to 19,Undefined,Percentage (%),2.09907731673732
2018/19,IU system,18 to 19,Undefined,Percentage (%),2.7996058923894
2014/15,IU system,20 to 24,Undefined,Percentage (%),2.92686626595119
2015/16,IU system,20 to 24,Undefined,Percentage (%),3.25491687280226
2016/17,IU system,20 to 24,Undefined,Percentage (%),3.70705244122966
2017/18,IU system,20 to 24,Undefined,Percentage (%),4.55112110750776
2018/19,IU system,20 to 24,Undefined,Percentage (%),5.64164582107122
2014/15,IU system,25 to 34,Undefined,Percentage (%),7.2432759412562
2015/16,IU system,25 to 34,Undefined,Percentage (%),7.59682076623106
2016/17,IU system,25 to 34,Undefined,Percentage (%),8.03229031439784
2017/18,IU system,25 to 34,Undefined,Percentage (%),9.0960355301127
2018/19,IU system,25 to 34,Undefined,Percentage (%),10.1124114745197
2014/15,IU system,35 to 44,Undefined,Percentage (%),19.1556469129433
2015/16,IU system,35 to 44,Undefined,Percentage (%),19.4095093291907
2016/17,IU system,35 to 44,Undefined,Percentage (%),19.4887854422344
2017/18,IU system,35 to 44,Undefined,Percentage (%),19.939403575719
2018/19,IU system,35 to 44,Undefined,Percentage (%),20.60349051344
2014/15,IU system,45 and over,Undefined,Percentage (%),30.4829192240137
2015/16,IU system,45 and over,Undefined,Percentage (%),31.8294166110871
2016/17,IU system,45 and over,Undefined,Percentage (%),32.5746313632528
2017/18,IU system,45 and over,Undefined,Percentage (%),33.6778128375087
2018/19,IU system,45 and over,Undefined,Percentage (%),35.1574304733124
2016/17,Male condom,,Undefined,Percentage (%),13.5657436863322
2017/18,Male condom,,Undefined,Percentage (%),13.5382574190532
2018/19,Male condom,,Undefined,Percentage (%),13.7271133375078
2014/15,Male condom,Under 16,Undefined,Percentage (%),23.4345978277979
2015/16,Male condom,Under 16,Undefined,Percentage (%),20.8212999960438
2016/17,Male condom,Under 16,Undefined,Percentage (%),18.3553743661132
2017/18,Male condom,Under 16,Undefined,Percentage (%),16.8535066341728
2018/19,Male condom,Under 16,Undefined,Percentage (%),15.1442173060767
2014/15,Male condom,16 to 17,Undefined,Percentage (%),18.0098178443234
2015/16,Male condom,16 to 17,Undefined,Percentage (%),15.6805278099043
2016/17,Male condom,16 to 17,Undefined,Percentage (%),14.738709775257
2017/18,Male condom,16 to 17,Undefined,Percentage (%),14.0695634572566
2018/19,Male condom,16 to 17,Undefined,Percentage (%),14.1384723036481
2014/15,Male condom,18 to 19,Undefined,Percentage (%),14.1671203048449
2015/16,Male condom,18 to 19,Undefined,Percentage (%),12.6684561529734
2016/17,Male condom,18 to 19,Undefined,Percentage (%),12.6890314647521
2017/18,Male condom,18 to 19,Undefined,Percentage (%),12.7798679402804
2018/19,Male condom,18 to 19,Undefined,Percentage (%),13.4128757840098
2014/15,Male condom,20 to 24,Undefined,Percentage (%),12.2266254574414
2015/16,Male condom,20 to 24,Undefined,Percentage (%),11.4233744036442
2016/17,Male condom,20 to 24,Undefined,Percentage (%),11.3500226039783
2017/18,Male condom,20 to 24,Undefined,Percentage (%),11.7498343620323
2018/19,Male condom,20 to 24,Undefined,Percentage (%),12.1247792819305
2014/15,Male condom,25 to 34,Undefined,Percentage (%),14.5026082215924
2015/16,Male condom,25 to 34,Undefined,Percentage (%),14.0948263030989
2016/17,Male condom,25 to 34,Undefined,Percentage (%),13.9035617828312
2017/18,Male condom,25 to 34,Undefined,Percentage (%),13.9351466550515
2018/19,Male condom,25 to 34,Undefined,Percentage (%),14.0158123163542
2014/15,Male condom,35 to 44,Undefined,Percentage (%),16.9353295107479
2015/16,Male condom,35 to 44,Undefined,Percentage (%),16.2165958782991
2016/17,Male condom,35 to 44,Undefined,Percentage (%),15.4743969530258
2017/18,Male condom,35 to 44,Undefined,Percentage (%),15.2153558052434
2018/19,Male condom,35 to 44,Undefined,Percentage (%),14.9622396053321
2014/15,Male condom,45 and over,Undefined,Percentage (%),18.7503700341418
2015/16,Male condom,45 and over,Undefined,Percentage (%),18.2078543685511
2016/17,Male condom,45 and over,Undefined,Percentage (%),16.5153280565712
2017/18,Male condom,45 and over,Undefined,Percentage (%),15.5312255140721
2018/19,Male condom,45 and over,Undefined,Percentage (%),15.8778127169519
2016/17,Natural family planning,,Undefined,Percentage (%),0.746385217001826
2017/18,Natural family planning,,Undefined,Percentage (%),0.848940904606753
2018/19,Natural family planning,,Undefined,Percentage (%),0.993738259236068
2014/15,Natural family planning,Under 16,Undefined,Percentage (%),0.270738233905242
2015/16,Natural family planning,Under 16,Undefined,Percentage (%),0.213632946947818
2016/17,Natural family planning,Under 16,Undefined,Percentage (%),0.203838122700607
2017/18,Natural family planning,Under 16,Undefined,Percentage (%),0.24911995667479
2018/19,Natural family planning,Under 16,Undefined,Percentage (%),0.330439652758331
2014/15,Natural family planning,16 to 17,Undefined,Percentage (%),0.338816267653669
2015/16,Natural family planning,16 to 17,Undefined,Percentage (%),0.201082956576596
2016/17,Natural family planning,16 to 17,Undefined,Percentage (%),0.204725364714446
2017/18,Natural family planning,16 to 17,Undefined,Percentage (%),0.276634505094123
2018/19,Natural family planning,16 to 17,Undefined,Percentage (%),0.29502430168126
2014/15,Natural family planning,18 to 19,Undefined,Percentage (%),0.426986935220468
2015/16,Natural family planning,18 to 19,Undefined,Percentage (%),0.32192305208881
2016/17,Natural family planning,18 to 19,Undefined,Percentage (%),0.281625893715974
2017/18,Natural family planning,18 to 19,Undefined,Percentage (%),0.357797269898407
2018/19,Natural family planning,18 to 19,Undefined,Percentage (%),0.398913800975657
2014/15,Natural family planning,20 to 24,Undefined,Percentage (%),0.600693983579514
2015/16,Natural family planning,20 to 24,Undefined,Percentage (%),0.477084648223575
2016/17,Natural family planning,20 to 24,Undefined,Percentage (%),0.459345130457246
2017/18,Natural family planning,20 to 24,Undefined,Percentage (%),0.509990584789204
2018/19,Natural family planning,20 to 24,Undefined,Percentage (%),0.584902884049441
2014/15,Natural family planning,25 to 34,Undefined,Percentage (%),0.994372813257308
2015/16,Natural family planning,25 to 34,Undefined,Percentage (%),0.899368916143244
2016/17,Natural family planning,25 to 34,Undefined,Percentage (%),1.01951743587448
2017/18,Natural family planning,25 to 34,Undefined,Percentage (%),1.10214907402366
2018/19,Natural family planning,25 to 34,Undefined,Percentage (%),1.30357259763316
2014/15,Natural family planning,35 to 44,Undefined,Percentage (%),1.15925867363498
2015/16,Natural family planning,35 to 44,Undefined,Percentage (%),1.02464096250145
2016/17,Natural family planning,35 to 44,Undefined,Percentage (%),1.06136267456623
2017/18,Natural family planning,35 to 44,Undefined,Percentage (%),1.23489506041976
2018/19,Natural family planning,35 to 44,Undefined,Percentage (%),1.36258426396797
2014/15,Natural family planning,45 and over,Undefined,Percentage (%),2.20836375836277
2015/16,Natural family planning,45 and over,Undefined,Percentage (%),1.75369767350622
2016/17,Natural family planning,45 and over,Undefined,Percentage (%),1.83615251717626
2017/18,Natural family planning,45 and over,Undefined,Percentage (%),2.10287795684124
2018/19,Natural family planning,45 and over,Undefined,Percentage (%),2.28284395801854
2016/17,Oral contraceptives,,Undefined,Percentage (%),44.1813191230347
2017/18,Oral contraceptives,,Undefined,Percentage (%),41.8278422262423
2018/19,Oral contraceptives,,Undefined,Percentage (%),38.9665623043206
2014/15,Oral contraceptives,Under 16,Undefined,Percentage (%),44.6466236423737
2015/16,Oral contraceptives,Under 16,Undefined,Percentage (%),45.8123986232543
2016/17,Oral contraceptives,Under 16,Undefined,Percentage (%),48.0013920652282
2017/18,Oral contraceptives,Under 16,Undefined,Percentage (%),48.1343081505551
2018/19,Oral contraceptives,Under 16,Undefined,Percentage (%),45.1134136096331
2014/15,Oral contraceptives,16 to 17,Undefined,Percentage (%),50.4031130841226
2015/16,Oral contraceptives,16 to 17,Undefined,Percentage (%),51.8702029229313
2016/17,Oral contraceptives,16 to 17,Undefined,Percentage (%),52.946528767705
2017/18,Oral contraceptives,16 to 17,Undefined,Percentage (%),52.4677822009311
2018/19,Oral contraceptives,16 to 17,Undefined,Percentage (%),49.8496510770278
2014/15,Oral contraceptives,18 to 19,Undefined,Percentage (%),53.930491290147
2015/16,Oral contraceptives,18 to 19,Undefined,Percentage (%),54.4631079871969
2016/17,Oral contraceptives,18 to 19,Undefined,Percentage (%),54.840692958361
2017/18,Oral contraceptives,18 to 19,Undefined,Percentage (%),52.9258058570329
2018/19,Oral contraceptives,18 to 19,Undefined,Percentage (%),50.6260062961094
2014/15,Oral contraceptives,20 to 24,Undefined,Percentage (%),53.2850452227005
2015/16,Oral contraceptives,20 to 24,Undefined,Percentage (%),52.8180139636443
2016/17,Oral contraceptives,20 to 24,Undefined,Percentage (%),52.0880424954792
2017/18,Oral contraceptives,20 to 24,Undefined,Percentage (%),49.1927328521114
2018/19,Oral contraceptives,20 to 24,Undefined,Percentage (%),46.485064743967
2014/15,Oral contraceptives,25 to 34,Undefined,Percentage (%),42.5436975135079
2015/16,Oral contraceptives,25 to 34,Undefined,Percentage (%),41.5905099276635
2016/17,Oral contraceptives,25 to 34,Undefined,Percentage (%),40.6296163659967
2017/18,Oral contraceptives,25 to 34,Undefined,Percentage (%),38.0525329205784
2018/19,Oral contraceptives,25 to 34,Undefined,Percentage (%),35.5630778947206
2014/15,Oral contraceptives,35 to 44,Undefined,Percentage (%),28.9614939706898
2015/16,Oral contraceptives,35 to 44,Undefined,Percentage (%),28.606488290998
2016/17,Oral contraceptives,35 to 44,Undefined,Percentage (%),28.049090139653
2017/18,Oral contraceptives,35 to 44,Undefined,Percentage (%),26.4937106918239
2018/19,Oral contraceptives,35 to 44,Undefined,Percentage (%),25.0316781834462
2014/15,Oral contraceptives,45 and over,Undefined,Percentage (%),29.2435515383553
2015/16,Oral contraceptives,45 and over,Undefined,Percentage (%),27.794342657617
2016/17,Oral contraceptives,45 and over,Undefined,Percentage (%),27.5001004459802
2017/18,Oral contraceptives,45 and over,Undefined,Percentage (%),25.8825522542936
2018/19,Oral contraceptives,45 and over,Undefined,Percentage (%),23.5165598072447
2016/17,Other methods,,Undefined,Percentage (%),0.523468813524284
2017/18,Other methods,,Undefined,Percentage (%),0.601333140763117
2018/19,Other methods,,Undefined,Percentage (%),0.624796493425172
2014/15,Other methods,Under 16,Undefined,Percentage (%),0.0440736659845742
2015/16,Other methods,Under 16,Undefined,Percentage (%),0.0435178225264074
2016/17,Other methods,Under 16,Undefined,Percentage (%),0.0845182459978125
2017/18,Other methods,Under 16,Undefined,Percentage (%),0.0920660709450312
2018/19,Other methods,Under 16,Undefined,Percentage (%),0.162419490338841
2014/15,Other methods,16 to 17,Undefined,Percentage (%),0.0682105357322569
2015/16,Other methods,16 to 17,Undefined,Percentage (%),0.0998843444432762
2016/17,Other methods,16 to 17,Undefined,Percentage (%),0.0879560826180583
2017/18,Other methods,16 to 17,Undefined,Percentage (%),0.165305984751366
2018/19,Other methods,16 to 17,Undefined,Percentage (%),0.206138774892675
2014/15,Other methods,18 to 19,Undefined,Percentage (%),0.125034022863364
2015/16,Other methods,18 to 19,Undefined,Percentage (%),0.155888240123235
2016/17,Other methods,18 to 19,Undefined,Percentage (%),0.150729351566296
2017/18,Other methods,18 to 19,Undefined,Percentage (%),0.362134206503237
2018/19,Other methods,18 to 19,Undefined,Percentage (%),0.227092495133732
2014/15,Other methods,20 to 24,Undefined,Percentage (%),0.390982005726313
2015/16,Other methods,20 to 24,Undefined,Percentage (%),0.390840915594827
2016/17,Other methods,20 to 24,Undefined,Percentage (%),0.422210023249806
2017/18,Other methods,20 to 24,Undefined,Percentage (%),0.540938731387523
2018/19,Other methods,20 to 24,Undefined,Percentage (%),0.533861830488523
2014/15,Other methods,25 to 34,Undefined,Percentage (%),0.729629920054367
2015/16,Other methods,25 to 34,Undefined,Percentage (%),0.760947221147263
2016/17,Other methods,25 to 34,Undefined,Percentage (%),0.830386319888983
2017/18,Other methods,25 to 34,Undefined,Percentage (%),0.87658574906469
2018/19,Other methods,25 to 34,Undefined,Percentage (%),0.883810668114653
2014/15,Other methods,35 to 44,Undefined,Percentage (%),0.602514917237419
