Year,Industry sector,Observation status,Unit multiplier,Unit measure,Value
1992,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.2
1992,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.08
1992,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.08
1992,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.41
1992,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1992,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1992,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1992,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.01
1992,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1992,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1992,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1992,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1992,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1992,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.08
1992,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1992,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1993,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.94
1993,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.44
1993,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.09
1993,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),8.48
1993,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.18
1993,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.08
1993,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1993,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.39
1993,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
1993,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.12
1993,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1993,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.01
1993,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1993,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1993,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1993,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1993,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1993,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.08
1993,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1993,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1994,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),1.03
1994,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.4
1994,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.06
1994,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),8.56
1994,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.16
1994,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1994,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1994,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.33
1994,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1994,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1994,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1994,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1994,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1994,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1994,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1994,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
1994,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1994,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1994,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1994,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1995,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),1.06
1995,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.4
1995,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.03
1995,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),8.23
1995,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.15
1995,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1995,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1995,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.31
1995,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1995,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1995,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1995,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1995,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1995,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1995,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1995,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
1995,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1995,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1995,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1995,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1996,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),1.13
1996,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.4
1996,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.03
1996,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),7.72
1996,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.16
1996,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1996,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1996,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.34
1996,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
1996,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1996,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1996,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1996,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1996,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1996,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.13
1996,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1996,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1996,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1996,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1996,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1997,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),1.01
1997,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.35
1997,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.99
1997,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.9
1997,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.12
1997,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1997,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1997,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.38
1997,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1997,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.1
1997,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1997,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1997,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1997,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1997,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1997,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1997,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1997,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.06
1997,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1997,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1998,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.91
1998,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.37
1998,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.93
1998,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.24
1998,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.19
1998,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1998,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1998,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.34
1998,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
1998,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.08
1998,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1998,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1998,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1998,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1998,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1998,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1998,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1998,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1998,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1998,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1999,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.81
1999,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.35
1999,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.9
1999,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.11
1999,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
1999,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1999,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.08
1999,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.24
1999,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
1999,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.07
1999,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1999,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1999,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1999,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1999,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1999,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
1999,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1999,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1999,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1999,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
2000,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.67
2000,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.38
2000,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.84
2000,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.97
2000,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
2000,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2000,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2000,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.25
2000,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
2000,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.06
2000,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2000,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.01
2000,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
2000,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2000,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
2000,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
2000,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2000,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.06
2000,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2000,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
2001,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.65
2001,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.42
2001,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.79
2001,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.22
2001,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
2001,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2001,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2001,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.32
2001,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
2001,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.05
2001,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2001,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2001,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2001,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2001,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.11
2001,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
2001,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2001,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.06
2001,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2001,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2002,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.52
2002,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.42
2002,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.72
2002,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.9
2002,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.13
2002,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2002,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2002,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.35
2002,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
2002,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.04
2002,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2002,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2002,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2002,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2002,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.11
2002,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2002,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2002,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.05
2002,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2002,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2003,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.6
2003,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.43
2003,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.72
2003,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.3
2003,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.12
2003,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2003,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2003,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.31
2003,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
2003,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.03
2003,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2003,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2003,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2003,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2003,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
2003,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2003,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2003,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.04
2003,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2003,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2004,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.67
2004,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.44
2004,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.7
2004,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.75
2004,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
2004,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2004,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2004,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.3
2004,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
2004,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.03
2004,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2004,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2004,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2004,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2004,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.11
2004,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2004,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2004,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.04
2004,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2004,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2005,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.6
2005,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.48
2005,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.69
2005,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),8.29
2005,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.15
2005,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2005,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2005,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.33
2005,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2005,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.03
2005,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2005,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2005,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2005,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2005,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.09
2005,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2005,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2005,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.04
2005,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2005,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2006,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.59
2006,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.51
2006,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.63
2006,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),7.7
2006,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.15
2006,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2006,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2006,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.16
2006,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2006,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.02
