Year,Developing country participation,Institution,Observation status,Unit multiplier,Unit measure,Value
2015,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.25
2015,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85
2015,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.17
2015,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),2.08
2015,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.53
2015,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54
2015,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.53
2015,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52
2015,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.67
2015,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.63
2015,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.93
2015,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.75
2015,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85
2015,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),5.26
2015,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0.96
2015,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),3.93
2015,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),4.49
2015,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),4.29
2015,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52
2015,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.67
2015,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.63
