Year,Sex,Age,Country,Region,GeoCode,Value
1984,Female,,England,,,9.5
1984,Male,,Wales,,,18.0
1984,Female,,Wales,,,9.2
1984,Male,,Scotland,,,23.9
1984,Female,,Scotland,,,10.0
1984,Male,,Northern Ireland,,,15.0
1984,Female,,Northern Ireland,,,6.6
1985,Male,,,,,20.1
1985,Female,,,,,9.8
1985,Male,,England,,,19.6
1985,Female,,England,,,9.8
1985,Male,,Wales,,,17.5
1985,Female,,Wales,,,8.0
1985,Male,,Scotland,,,25.3
1985,Female,,Scotland,,,11.2
1985,Male,,Northern Ireland,,,18.3
1985,Female,,Northern Ireland,,,7.6
1986,Male,,,,,20.4
1986,Female,,,,,8.9
1986,Male,,England,,,19.6
1986,Female,,England,,,8.8
1986,Male,,Wales,,,21.3
1986,Female,,Wales,,,7.2
1986,Male,,Scotland,,,27.0
1986,Female,,Scotland,,,10.2
1986,Male,,Northern Ireland,,,21.7
1986,Female,,Northern Ireland,,,8.2
1987,Male,,,,,19.6
1987,Female,,,,,8.2
1987,Male,,England,,,19.2
1987,Female,,England,,,8.1
1987,Male,,Wales,,,20.6
1987,Female,,Wales,,,7.5
1987,Male,,Scotland,,,24.3
1987,Female,,Scotland,,,9.3
1987,Male,,Northern Ireland,,,13.2
1987,Female,,Northern Ireland,,,6.6
1988,Male,,,,,21.4
1988,Female,,,,,8.3
1988,Male,,England,,,20.8
1988,Female,,England,,,8.2
1988,Male,,Wales,,,22.1
1988,Female,,Wales,,,6.1
1988,Male,,Scotland,,,26.6
1988,Female,,Scotland,,,9.8
1988,Male,,Northern Ireland,,,21.6
1988,Female,,Northern Ireland,,,7.1
1989,Male,,,,,19.0
1989,Female,,,,,7.2
1989,Male,,England,,,18.5
1989,Female,,England,,,7.0
1989,Male,,Wales,,,16.3
1989,Female,,Wales,,,6.2
1989,Male,,Scotland,,,24.4
1989,Female,,Scotland,,,9.4
1989,Male,,Northern Ireland,,,17.3
1989,Female,,Northern Ireland,,,4.8
1990,Male,,,,,20.2
1990,Female,,,,,6.9
1990,Male,,England,,,19.4
1990,Female,,England,,,6.8
1990,Male,,Wales,,,19.2
1990,Female,,Wales,,,6.1
1990,Male,,Scotland,,,26.7
1990,Female,,Scotland,,,8.1
1990,Male,,Northern Ireland,,,19.8
1990,Female,,Northern Ireland,,,7.7
1991,Male,,,,,19.7
1991,Female,,,,,6.6
1991,Male,,England,,,19.1
1991,Female,,England,,,6.4
1991,Male,,Wales,,,21.1
1991,Female,,Wales,,,5.7
1991,Male,,Scotland,,,24.7
1991,Female,,Scotland,,,8.0
1991,Male,,Northern Ireland,,,16.2
1991,Female,,Northern Ireland,,,6.7
1992,Male,,,,,19.9
1992,Female,,,,,6.6
1992,Male,,England,,,19.1
1992,Female,,England,,,6.4
1992,Male,,Wales,,,23.3
1992,Female,,Wales,,,6.0
1992,Male,,Scotland,,,26.4
1992,Female,,Scotland,,,9.4
1992,Male,,Northern Ireland,,,16.1
1992,Female,,Northern Ireland,,,3.8
1993,Male,,,,,19.2
1993,Female,,,,,6.4
1993,Male,,England,,,18.0
1993,Female,,England,,,6.1
1993,Male,,Wales,,,18.7
1993,Female,,Wales,,,5.0
1993,Male,,Scotland,,,30.5
1993,Female,,Scotland,,,9.9
1993,Male,,Northern Ireland,,,17.0
1993,Female,,Northern Ireland,,,4.7
1994,Male,,,,,18.8
1994,Female,,,,,6.1
1994,Male,,England,,,17.7
1994,Female,,England,,,5.7
1994,Male,,Wales,,,20.1
1994,Female,,Wales,,,5.8
1994,Male,,Scotland,,,28.2
1994,Female,,Scotland,,,9.7
1994,Male,,Northern Ireland,,,16.7
1994,Female,,Northern Ireland,,,4.9
1995,Male,,,,,18.9
1995,Female,,,,,6.0
1995,Male,,England,,,17.7
1995,Female,,England,,,5.7
1995,Male,,Wales,,,21.5
1995,Female,,Wales,,,4.8
1995,Male,,Scotland,,,29.2
1995,Female,,Scotland,,,9.1
1995,Male,,Northern Ireland,,,15.6
1995,Female,,Northern Ireland,,,6.2
1996,Male,,,,,18.1
1996,Female,,,,,5.8
1996,Male,,England,,,16.9
1996,Female,,England,,,5.5
1996,Male,,Wales,,,18.5
1996,Female,,Wales,,,4.2
1996,Male,,Scotland,,,28.9
1996,Female,,Scotland,,,9.7
1996,Male,,Northern Ireland,,,16.3
1996,Female,,Northern Ireland,,,4.2
1997,Male,,,,,17.6
1997,Female,,,,,5.8
1997,Male,,England,,,16.4
1997,Female,,England,,,5.5
1997,Male,,Wales,,,17.4
1997,Female,,Wales,,,5.8
1997,Male,,Scotland,,,29.8
1997,Female,,Scotland,,,9.4
1997,Male,,Northern Ireland,,,15.6
1997,Female,,Northern Ireland,,,4.3
1998,Male,,,,,19.3
1998,Female,,,,,6.0
1998,Male,,England,,,18.2
1998,Female,,England,,,5.6
1998,Male,,Wales,,,19.4
1998,Female,,Wales,,,6.4
1998,Male,,Scotland,,,29.8
1998,Female,,Scotland,,,9.7
1998,Male,,Northern Ireland,,,15.2
1998,Female,,Northern Ireland,,,4.9
1999,Male,,,,,19.3
1999,Female,,,,,5.8
1999,Male,,England,,,17.8
1999,Female,,England,,,5.5
1999,Male,,Wales,,,22.4
1999,Female,,Wales,,,5.0
1999,Male,,Scotland,,,30.6
1999,Female,,Scotland,,,8.9
1999,Male,,Northern Ireland,,,17.4
1999,Female,,Northern Ireland,,,3.5
2000,Male,,,,,18.4
2000,Female,,,,,5.9
2000,,,England,,E92000001,11.0
2000,Male,,England,,E92000001,16.9
2000,Female,,England,,E92000001,5.6
2000,,,Wales,,W92000004,12.6
2000,Male,,Wales,,W92000004,20.6
2000,Female,,Wales,,W92000004,5.2
2000,,,Scotland,,S92000003,19.2
2000,Male,,Scotland,,S92000003,31.2
2000,Female,,Scotland,,S92000003,8.6
2000,,,Northern Ireland,,N92000002,12.3
2000,Male,,Northern Ireland,,N92000002,18.6
2000,Female,,Northern Ireland,,N92000002,6.1
2000,,,England,North East,E12000001,12.4
2000,,,England,North West,E12000002,12.5
2000,,,England,Yorkshire and The Humber,E12000003,10.6
2000,,,England,East Midlands,E12000004,11.0
2000,,,England,West Midlands,E12000005,11.9
2000,,,England,East of England,E12000006,9.4
2000,,,England,London,E12000007,10.1
2000,,,England,South East,E12000008,10.6
2000,,,England,South West,E12000009,11.8
2000,Male,,England,North East,E12000001,20.0
2000,Male,,England,North West,E12000002,19.7
2000,Male,,England,Yorkshire and The Humber,E12000003,16.1
2000,Male,,England,East Midlands,E12000004,17.6
2000,Male,,England,West Midlands,E12000005,18.8
2000,Male,,England,East of England,E12000006,14.5
2000,Male,,England,London,E12000007,14.8
2000,Male,,England,South East,E12000008,15.9
2000,Male,,England,South West,E12000009,17.6
2000,Female,,England,North East,E12000001,5.4
2000,Female,,England,North West,E12000002,6.0
2000,Female,,England,Yorkshire and The Humber,E12000003,5.6
2000,Female,,England,East Midlands,E12000004,4.9
2000,Female,,England,West Midlands,E12000005,5.9
2000,Female,,England,East of England,E12000006,4.8
2000,Female,,England,London,E12000007,5.8
2000,Female,,England,South East,E12000008,5.8
2000,Female,,England,South West,E12000009,6.3
2000,,10 to 14,,,,0.2
2000,,15 to 19,,,,6.7
2000,,20 to 24,,,,14.2
2000,,25 to 29,,,,16.5
2000,,30 to 34,,,,15.3
2000,,35 to 39,,,,16.0
2000,,40 to 44,,,,14.6
2000,,45 to 49,,,,15.0
2000,,50 to 54,,,,12.9
2000,,55 to 59,,,,11.9
2000,,60 to 64,,,,9.2
2000,,65 to 69,,,,9.3
2000,,70 to 74,,,,9.7
2000,,75 to 79,,,,9.7
2000,,80 to 84,,,,10.5
2000,,85 and over,,,,13.4
2000,Male,10 to 14,,,,0.2
2000,Male,15 to 19,,,,9.6
2000,Male,20 to 24,,,,23.3
2000,Male,25 to 29,,,,26.7
2000,Male,30 to 34,,,,24.8
2000,Male,35 to 39,,,,25.9
2000,Male,40 to 44,,,,22.3
2000,Male,45 to 49,,,,22.1
2000,Male,50 to 54,,,,18.6
2000,Male,55 to 59,,,,16.8
2000,Male,60 to 64,,,,13.5
2000,Male,65 to 69,,,,13.0
2000,Male,70 to 74,,,,14.4
2000,Male,75 to 79,,,,15.3
2000,Male,80 to 84,,,,18.1
2000,Male,85 and over,,,,28.8
2000,Female,10 to 14,,,,0.2
2000,Female,15 to 19,,,,3.8
2000,Female,20 to 24,,,,5.0
2000,Female,25 to 29,,,,6.4
2000,Female,30 to 34,,,,5.9
2000,Female,35 to 39,,,,6.4
2000,Female,40 to 44,,,,7.0
2000,Female,45 to 49,,,,8.1
2000,Female,50 to 54,,,,7.3
2000,Female,55 to 59,,,,7.0
2000,Female,60 to 64,,,,5.1
2000,Female,65 to 69,,,,5.9
2000,Female,70 to 74,,,,5.8
2000,Female,75 to 79,,,,5.9
2000,Female,80 to 84,,,,6.2
2000,Female,85 and over,,,,7.6
2000,,15 to 19,England,,E92000001,4.8
2000,,20 to 24,England,,E92000001,12.2
2000,,25 to 29,England,,E92000001,14.5
2000,,30 to 34,England,,E92000001,14.1
2000,,35 to 39,England,,E92000001,14.6
2000,,40 to 44,England,,E92000001,13.4
2000,,45 to 49,England,,E92000001,14.5
2000,,50 to 54,England,,E92000001,12.0
2000,,55 to 59,England,,E92000001,11.6
2000,,60 to 64,England,,E92000001,8.4
2000,,65 to 69,England,,E92000001,9.0
2000,,70 to 74,England,,E92000001,9.6
2000,,75 to 79,England,,E92000001,9.8
2000,,80 to 84,England,,E92000001,10.2
2000,,85 to 89,England,,E92000001,15.5
2000,,90 and over,England,,E92000001,10.0
2000,Male,15 to 19,England,,E92000001,6.8
2000,Male,20 to 24,England,,E92000001,19.4
2000,Male,25 to 29,England,,E92000001,23.0
2000,Male,30 to 34,England,,E92000001,23.1
2000,Male,35 to 39,England,,E92000001,23.1
2000,Male,40 to 44,England,,E92000001,20.9
2000,Male,45 to 49,England,,E92000001,21.7
2000,Male,50 to 54,England,,E92000001,17.4
2000,Male,55 to 59,England,,E92000001,15.9
2000,Male,60 to 64,England,,E92000001,11.6
2000,Male,65 to 69,England,,E92000001,12.2
2000,Male,70 to 74,England,,E92000001,14.2
2000,Male,75 to 79,England,,E92000001,15.1
2000,Male,80 to 84,England,,E92000001,17.5
2000,Male,85 to 89,England,,E92000001,30.1
2000,Male,90 and over,England,,E92000001,26.1
2000,Female,15 to 19,England,,E92000001,2.8
2000,Female,20 to 24,England,,E92000001,4.9
2000,Female,25 to 29,England,,E92000001,6.1
2000,Female,30 to 34,England,,E92000001,5.2
2000,Female,35 to 39,England,,E92000001,6.3
2000,Female,40 to 44,England,,E92000001,6.0
2000,Female,45 to 49,England,,E92000001,7.5
2000,Female,50 to 54,England,,E92000001,6.8
2000,Female,55 to 59,England,,E92000001,7.4
2000,Female,60 to 64,England,,E92000001,5.4
2000,Female,65 to 69,England,,E92000001,6.1
2000,Female,70 to 74,England,,E92000001,5.7
2000,Female,75 to 79,England,,E92000001,6.1
2000,Female,80 to 84,England,,E92000001,6.0
2000,Female,85 to 89,England,,E92000001,9.1
2000,Female,90 and over,England,,E92000001,5.4
2000,,15 to 19,Wales,,W92000004,12.5
2000,,20 to 24,Wales,,W92000004,16.1
2000,,25 to 29,Wales,,W92000004,19.3
2000,,30 to 34,Wales,,W92000004,18.3
2000,,35 to 39,Wales,,W92000004,20.8
2000,,40 to 44,Wales,,W92000004,10.9
2000,,45 to 49,Wales,,W92000004,14.5
2000,,50 to 54,Wales,,W92000004,11.1
2000,,55 to 59,Wales,,W92000004,12.7
2000,,60 to 64,Wales,,W92000004,10.5
2000,,65 to 69,Wales,,W92000004,7.2
2000,,70 to 74,Wales,,W92000004,11.8
2000,,75 to 79,Wales,,W92000004,9.0
2000,,80 to 84,Wales,,W92000004,7.3
2000,,85 to 89,Wales,,W92000004,7.7
2000,,90 and over,Wales,,W92000004,15.8
2000,Male,15 to 19,Wales,,W92000004,18.3
2000,Male,20 to 24,Wales,,W92000004,26.1
2000,Male,25 to 29,Wales,,W92000004,36.9
2000,Male,30 to 34,Wales,,W92000004,28.4
2000,Male,35 to 39,Wales,,W92000004,36.7
2000,Male,40 to 44,Wales,,W92000004,18.0
2000,Male,45 to 49,Wales,,W92000004,17.4
2000,Male,50 to 54,Wales,,W92000004,16.6
2000,Male,55 to 59,Wales,,W92000004,22.2
2000,Male,60 to 64,Wales,,W92000004,20.0
2000,Male,65 to 69,Wales,,W92000004,10.6
2000,Male,70 to 74,Wales,,W92000004,15.7
2000,Male,75 to 79,Wales,,W92000004,17.4
2000,Male,80 to 84,Wales,,W92000004,16.3
2000,Female,15 to 19,Wales,,W92000004,6.5
2000,Female,20 to 24,Wales,,W92000004,6.0
2000,Female,30 to 34,Wales,,W92000004,8.7
2000,Female,35 to 39,Wales,,W92000004,5.6
2000,Female,40 to 44,Wales,,W92000004,4.1
2000,Female,45 to 49,Wales,,W92000004,11.7
2000,Female,50 to 54,Wales,,W92000004,5.8
2000,Female,55 to 59,Wales,,W92000004,3.4
2000,Female,65 to 69,Wales,,W92000004,4.1
2000,Female,70 to 74,Wales,,W92000004,8.6
2001,Male,,,,,17.9
2001,Female,,,,,5.5
2001,,,England,,E92000001,10.5
2001,Male,,England,,E92000001,16.5
2001,Female,,England,,E92000001,5.1
2001,,,Wales,,W92000004,12.4
2001,Male,,Wales,,W92000004,21.0
2001,Female,,Wales,,W92000004,4.6
2001,,,Scotland,,S92000003,19.4
2001,Male,,Scotland,,S92000003,29.6
2001,Female,,Scotland,,S92000003,10.2
2001,,,Northern Ireland,,N92000002,10.6
2001,Male,,Northern Ireland,,N92000002,18.1
2001,Female,,Northern Ireland,,N92000002,3.5
2001,,,England,North East,E12000001,11.2
2001,,,England,North West,E12000002,12.2
2001,,,England,Yorkshire and The Humber,E12000003,10.2
2001,,,England,East Midlands,E12000004,10.7
2001,,,England,West Midlands,E12000005,11.4
2001,,,England,East of England,E12000006,9.4
2001,,,England,London,E12000007,10.2
2001,,,England,South East,E12000008,10.0
2001,,,England,South West,E12000009,10.6
2001,Male,,England,North East,E12000001,18.3
2001,Male,,England,North West,E12000002,18.9
2001,Male,,England,Yorkshire and The Humber,E12000003,16.1
2001,Male,,England,East Midlands,E12000004,16.9
2001,Male,,England,West Midlands,E12000005,18.3
2001,Male,,England,East of England,E12000006,14.1
2001,Male,,England,London,E12000007,15.4
2001,Male,,England,South East,E12000008,15.4
2001,Male,,England,South West,E12000009,17.2
2001,Female,,England,North East,E12000001,4.8
2001,Female,,England,North West,E12000002,6.1
2001,Female,,England,Yorkshire and The Humber,E12000003,4.9
2001,Female,,England,East Midlands,E12000004,4.9
2001,Female,,England,West Midlands,E12000005,5.1
2001,Female,,England,East of England,E12000006,5.0
2001,Female,,England,London,E12000007,5.5
2001,Female,,England,South East,E12000008,5.0
2001,Female,,England,South West,E12000009,4.5
2001,,10 to 14,,,,0.2
2001,,15 to 19,,,,6.3
2001,,20 to 24,,,,12.1
2001,,25 to 29,,,,13.9
2001,,30 to 34,,,,15.4
2001,,35 to 39,,,,15.0
2001,,40 to 44,,,,14.5
2001,,45 to 49,,,,14.9
2001,,50 to 54,,,,13.2
2001,,55 to 59,,,,12.2
2001,,60 to 64,,,,10.0
2001,,65 to 69,,,,8.6
2001,,70 to 74,,,,9.6
2001,,75 to 79,,,,10.2
2001,,80 to 84,,,,9.8
2001,,85 and over,,,,12.1
2001,Male,10 to 14,,,,0.2
2001,Male,15 to 19,,,,10.2
2001,Male,20 to 24,,,,19.3
2001,Male,25 to 29,,,,23.1
2001,Male,30 to 34,,,,24.6
2001,Male,35 to 39,,,,23.1
2001,Male,40 to 44,,,,22.4
2001,Male,45 to 49,,,,23.7
2001,Male,50 to 54,,,,19.4
2001,Male,55 to 59,,,,17.9
2001,Male,60 to 64,,,,13.4
2001,Male,65 to 69,,,,13.0
2001,Male,70 to 74,,,,14.3
2001,Male,75 to 79,,,,16.1
2001,Male,80 to 84,,,,15.9
2001,Male,85 and over,,,,26.9
2001,Female,10 to 14,,,,0.2
2001,Female,15 to 19,,,,2.3
2001,Female,20 to 24,,,,4.9
2001,Female,25 to 29,,,,4.9
2001,Female,30 to 34,,,,6.3
2001,Female,35 to 39,,,,7.0
2001,Female,40 to 44,,,,6.7
2001,Female,45 to 49,,,,6.3
2001,Female,50 to 54,,,,7.2
2001,Female,55 to 59,,,,6.6
2001,Female,60 to 64,,,,6.7
2001,Female,65 to 69,,,,4.6
2001,Female,70 to 74,,,,5.8
2001,Female,75 to 79,,,,5.9
2001,Female,80 to 84,,,,6.2
2001,Female,85 and over,,,,6.5
2001,,10 to 14,England,,E92000001,0.2
2001,,15 to 19,England,,E92000001,5.5
2001,,20 to 24,England,,E92000001,9.9
2001,,25 to 29,England,,E92000001,12.5
2001,,30 to 34,England,,E92000001,14.2
2001,,35 to 39,England,,E92000001,13.4
2001,,40 to 44,England,,E92000001,12.8
2001,,45 to 49,England,,E92000001,13.7
2001,,50 to 54,England,,E92000001,12.6
2001,,55 to 59,England,,E92000001,11.8
2001,,60 to 64,England,,E92000001,9.3
2001,,65 to 69,England,,E92000001,7.8
2001,,70 to 74,England,,E92000001,9.3
2001,,75 to 79,England,,E92000001,10.2
2001,,80 to 84,England,,E92000001,9.8
2001,,85 to 89,England,,E92000001,12.7
2001,,90 and over,England,,E92000001,12.8
2001,Male,10 to 14,England,,E92000001,0.2
2001,Male,15 to 19,England,,E92000001,8.7
2001,Male,20 to 24,England,,E92000001,16.0
2001,Male,25 to 29,England,,E92000001,20.5
2001,Male,30 to 34,England,,E92000001,22.8
2001,Male,35 to 39,England,,E92000001,20.2
2001,Male,40 to 44,England,,E92000001,19.8
2001,Male,45 to 49,England,,E92000001,21.9
2001,Male,50 to 54,England,,E92000001,18.5
2001,Male,55 to 59,England,,E92000001,17.2
2001,Male,60 to 64,England,,E92000001,12.5
2001,Male,65 to 69,England,,E92000001,11.6
2001,Male,70 to 74,England,,E92000001,13.7
2001,Male,75 to 79,England,,E92000001,16.1
2001,Male,80 to 84,England,,E92000001,16.2
2001,Male,85 to 89,England,,E92000001,26.8
2001,Male,90 and over,England,,E92000001,28.8
2001,Female,15 to 19,England,,E92000001,2.0
2001,Female,20 to 24,England,,E92000001,3.9
2001,Female,25 to 29,England,,E92000001,4.4
2001,Female,30 to 34,England,,E92000001,5.6
2001,Female,35 to 39,England,,E92000001,6.7
2001,Female,40 to 44,England,,E92000001,5.8
2001,Female,45 to 49,England,,E92000001,5.6
2001,Female,50 to 54,England,,E92000001,6.9
2001,Female,55 to 59,England,,E92000001,6.4
2001,Female,60 to 64,England,,E92000001,6.2
2001,Female,65 to 69,England,,E92000001,4.3
2001,Female,70 to 74,England,,E92000001,5.5
2001,Female,75 to 79,England,,E92000001,5.9
2001,Female,80 to 84,England,,E92000001,6.1
2001,Female,85 to 89,England,,E92000001,6.5
2001,Female,90 and over,England,,E92000001,8.1
2001,,15 to 19,Wales,,W92000004,7.0
2001,,20 to 24,Wales,,W92000004,14.7
2001,,25 to 29,Wales,,W92000004,19.9
2001,,30 to 34,Wales,,W92000004,16.6
2001,,35 to 39,Wales,,W92000004,17.9
2001,,40 to 44,Wales,,W92000004,15.3
2001,,45 to 49,Wales,,W92000004,16.2
2001,,50 to 54,Wales,,W92000004,12.5
2001,,55 to 59,Wales,,W92000004,11.2
2001,,60 to 64,Wales,,W92000004,11.1
2001,,65 to 69,Wales,,W92000004,11.5
2001,,70 to 74,Wales,,W92000004,8.0
2001,,75 to 79,Wales,,W92000004,10.0
2001,,80 to 84,Wales,,W92000004,4.1
2001,,85 to 89,Wales,,W92000004,15.4
2001,Male,15 to 19,Wales,,W92000004,12.8
2001,Male,20 to 24,Wales,,W92000004,22.4
2001,Male,25 to 29,Wales,,W92000004,31.9
2001,Male,30 to 34,Wales,,W92000004,31.1
2001,Male,35 to 39,Wales,,W92000004,35.5
2001,Male,40 to 44,Wales,,W92000004,23.9
2001,Male,45 to 49,Wales,,W92000004,30.7
2001,Male,50 to 54,Wales,,W92000004,18.5
2001,Male,55 to 59,Wales,,W92000004,14.7
2001,Male,60 to 64,Wales,,W92000004,15.9
2001,Male,65 to 69,Wales,,W92000004,18.0
2001,Male,70 to 74,Wales,,W92000004,12.2
2001,Male,75 to 79,Wales,,W92000004,15.2
2001,Male,85 to 89,Wales,,W92000004,43.0
2001,Female,20 to 24,Wales,,W92000004,7.0
2001,Female,25 to 29,Wales,,W92000004,8.3
2001,Female,30 to 34,Wales,,W92000004,2.9
2001,Female,40 to 44,Wales,,W92000004,7.0
2001,Female,50 to 54,Wales,,W92000004,6.7
2001,Female,55 to 59,Wales,,W92000004,7.7
2001,Female,60 to 64,Wales,,W92000004,6.4
2001,Female,65 to 69,Wales,,W92000004,5.5
2001,Female,70 to 74,Wales,,W92000004,4.4
2001,Female,75 to 79,Wales,,W92000004,6.3
2002,Male,,,,,17.1
2002,Female,,,,,5.6
2002,,,England,,E92000001,10.2
2002,Male,,England,,E92000001,15.6
2002,Female,,England,,E92000001,5.1
2002,,,Wales,,W92000004,12.0
2002,Male,,Wales,,W92000004,18.5
2002,Female,,Wales,,W92000004,5.7
2002,,,Scotland,,S92000003,19.6
2002,Male,,Scotland,,S92000003,30.6
2002,Female,,Scotland,,S92000003,9.5
2002,,,Northern Ireland,,N92000002,12.1
2002,Male,,Northern Ireland,,N92000002,19.2
2002,Female,,Northern Ireland,,N92000002,5.3
2002,,,England,North East,E12000001,10.6
2002,,,England,North West,E12000002,10.8
2002,,,England,Yorkshire and The Humber,E12000003,10.4
2002,,,England,East Midlands,E12000004,9.8
2002,,,England,West Midlands,E12000005,10.0
2002,,,England,East of England,E12000006,9.9
2002,,,England,London,E12000007,9.9
2002,,,England,South East,E12000008,10.4
2002,,,England,South West,E12000009,10.3
2002,Male,,England,North East,E12000001,17.5
2002,Male,,England,North West,E12000002,16.3
2002,Male,,England,Yorkshire and The Humber,E12000003,16.3
2002,Male,,England,East Midlands,E12000004,15.0
2002,Male,,England,West Midlands,E12000005,16.3
2002,Male,,England,East of England,E12000006,15.8
2002,Male,,England,London,E12000007,14.7
2002,Male,,England,South East,E12000008,15.4
2002,Male,,England,South West,E12000009,15.0
2002,Female,,England,North East,E12000001,4.4
2002,Female,,England,North West,E12000002,5.7
2002,Female,,England,Yorkshire and The Humber,E12000003,4.8
2002,Female,,England,East Midlands,E12000004,4.8
2002,Female,,England,West Midlands,E12000005,4.1
2002,Female,,England,East of England,E12000006,4.5
2002,Female,,England,London,E12000007,5.4
2002,Female,,England,South East,E12000008,5.8
2002,Female,,England,South West,E12000009,5.9
2002,,10 to 14,,,,0.3
2002,,15 to 19,,,,5.7
2002,,20 to 24,,,,11.2
2002,,25 to 29,,,,15.5
2002,,30 to 34,,,,15.4
2002,,35 to 39,,,,15.2
2002,,40 to 44,,,,14.5
2002,,45 to 49,,,,14.1
2002,,50 to 54,,,,12.8
2002,,55 to 59,,,,11.4
2002,,60 to 64,,,,9.1
2002,,65 to 69,,,,9.3
2002,,70 to 74,,,,8.4
2002,,75 to 79,,,,8.1
2002,,80 to 84,,,,9.4
2002,,85 and over,,,,12.2
2002,Male,10 to 14,,,,0.2
2002,Male,15 to 19,,,,8.5
2002,Male,20 to 24,,,,17.9
2002,Male,25 to 29,,,,23.7
2002,Male,30 to 34,,,,25.8
2002,Male,35 to 39,,,,23.8
2002,Male,40 to 44,,,,22.9
2002,Male,45 to 49,,,,21.6
2002,Male,50 to 54,,,,18.9
2002,Male,55 to 59,,,,16.6
2002,Male,60 to 64,,,,13.0
2002,Male,65 to 69,,,,13.4
2002,Male,70 to 74,,,,12.4
2002,Male,75 to 79,,,,11.6
2002,Male,80 to 84,,,,14.0
2002,Male,85 and over,,,,21.4
2002,Female,10 to 14,,,,0.3
2002,Female,15 to 19,,,,2.7
2002,Female,20 to 24,,,,4.6
2002,Female,25 to 29,,,,7.3
2002,Female,30 to 34,,,,5.2
2002,Female,35 to 39,,,,6.8
2002,Female,40 to 44,,,,6.2
2002,Female,45 to 49,,,,6.7
2002,Female,50 to 54,,,,6.7
2002,Female,55 to 59,,,,6.4
2002,Female,60 to 64,,,,5.4
2002,Female,65 to 69,,,,5.6
2002,Female,70 to 74,,,,5.1
2002,Female,75 to 79,,,,5.6
2002,Female,80 to 84,,,,6.7
2002,Female,85 and over,,,,8.7
2002,,10 to 14,England,,E92000001,0.2
2002,,15 to 19,England,,E92000001,4.7
2002,,20 to 24,England,,E92000001,9.5
2002,,25 to 29,England,,E92000001,13.3
2002,,30 to 34,England,,E92000001,13.6
2002,,35 to 39,England,,E92000001,14.0
2002,,40 to 44,England,,E92000001,13.0
2002,,45 to 49,England,,E92000001,13.2
2002,,50 to 54,England,,E92000001,11.9
2002,,55 to 59,England,,E92000001,10.8
2002,,60 to 64,England,,E92000001,8.1
2002,,65 to 69,England,,E92000001,8.7
2002,,70 to 74,England,,E92000001,8.0
2002,,75 to 79,England,,E92000001,7.9
2002,,80 to 84,England,,E92000001,9.2
2002,,85 to 89,England,,E92000001,13.1
2002,,90 and over,England,,E92000001,12.1
2002,Male,10 to 14,England,,E92000001,0.2
2002,Male,15 to 19,England,,E92000001,7.2
2002,Male,20 to 24,England,,E92000001,14.8
2002,Male,25 to 29,England,,E92000001,19.6
2002,Male,30 to 34,England,,E92000001,22.7
2002,Male,35 to 39,England,,E92000001,22.1
2002,Male,40 to 44,England,,E92000001,20.5
2002,Male,45 to 49,England,,E92000001,20.6
2002,Male,50 to 54,England,,E92000001,17.4
2002,Male,55 to 59,England,,E92000001,15.4
2002,Male,60 to 64,England,,E92000001,11.2
2002,Male,65 to 69,England,,E92000001,12.8
2002,Male,70 to 74,England,,E92000001,11.7
2002,Male,75 to 79,England,,E92000001,11.5
2002,Male,80 to 84,England,,E92000001,13.9
