Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2012,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),19160.42
2013,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),2532.43
2014,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),14467.59
2015,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),5869.18
2016,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),3537.2
2017,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),4652.922411
2018,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),6360.192498
2019,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),528.632
2009,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),249.18
2010,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),181.43
2011,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),1013.65
2012,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),167.31
2013,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),124.98
2014,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),226.71
2015,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),557.52
2016,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),10843.19
2017,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),3593.468593
2018,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),2484.399002
2019,Net official development assistance for water supply and sanitation,UMICs,Normal value,Thousands,GBP (£),5876.912236
2009,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),18607.95
2010,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),24233.49
2011,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),23965.29
2012,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),13327.06
2013,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),38986.31
2014,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),37244.15
2015,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),66725.72
2016,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),36420.67
2017,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),52439.0984126
2018,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),59198.0051238
2019,Net official development assistance for water supply and sanitation,Unspecified,Normal value,Thousands,GBP (£),51466.9289436
