Year,Type of partner abuse,Abuse sub-category,Age,Ethnicity,Ethnic group,Disability status,Household income,Region,Highest qualification,GeoCode,Value,Units
2016/17,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.3,Percentage (%)
2017/18,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.2,Percentage (%)
2004/05,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.5,Percentage (%)
2005/06,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.6,Percentage (%)
2006/07,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.5,Percentage (%)
2007/08,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.5,Percentage (%)
2008/09,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.3,Percentage (%)
2009/10,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.4,Percentage (%)
2010/11,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.4,Percentage (%)
2011/12,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.4,Percentage (%)
2012/13,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.2,Percentage (%)
2013/14,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.2,Percentage (%)
2014/15,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.3,Percentage (%)
2015/16,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.4,Percentage (%)
2016/17,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.3,Percentage (%)
2017/18,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,0.3,Percentage (%)
2016/17,Non-sexual,,16 to 19,,,,,,,,5.7,Percentage (%)
2016/17,Non-sexual,,20 to 24,,,,,,,,7.3,Percentage (%)
2016/17,Non-sexual,,25 to 34,,,,,,,,5.2,Percentage (%)
2016/17,Non-sexual,,35 to 44,,,,,,,,5.1,Percentage (%)
2016/17,Non-sexual,,45 to 54,,,,,,,,4.8,Percentage (%)
2016/17,Non-sexual,,55 to 59,,,,,,,,3.8,Percentage (%)
2016/17,Non-sexual,,,White,,,,,,,5.5,Percentage (%)
2016/17,Non-sexual,,,White,White - English/Welsh/Scottish/Northern Irish/British,,,,,,5.8,Percentage (%)
2016/17,Non-sexual,,,White,White - Irish,,,,,,1.8,Percentage (%)
2016/17,Non-sexual,,,White,White - Any other white background,,,,,,2.3,Percentage (%)
2016/17,Non-sexual,,,Mixed/multiple ethnic groups,,,,,,,8.5,Percentage (%)
2016/17,Non-sexual,,,Mixed/multiple ethnic groups,Mixed - White and Black Caribbean,,,,,,3.0,Percentage (%)
2016/17,Non-sexual,,,Asian/Asian British,,,,,,,2.4,Percentage (%)
2016/17,Non-sexual,,,Asian/Asian British,Asian - Indian,,,,,,2.9,Percentage (%)
2016/17,Non-sexual,,,Asian/Asian British,Asian - Pakistani,,,,,,2.9,Percentage (%)
2016/17,Non-sexual,,,Asian/Asian British,Asian - Bangladeshi,,,,,,2.7,Percentage (%)
2016/17,Non-sexual,,,Asian/Asian British,Asian - Chinese,,,,,,1.2,Percentage (%)
2016/17,Non-sexual,,,Asian/Asian British,Asian - Any other Asian background,,,,,,0.7,Percentage (%)
2016/17,Non-sexual,,,Black/African/Caribbean/Black British,,,,,,,4.4,Percentage (%)
2016/17,Non-sexual,,,Black/African/Caribbean/Black British,Black - African,,,,,,2.4,Percentage (%)
2016/17,Non-sexual,,,Black/African/Caribbean/Black British,Black - Caribbean,,,,,,6.9,Percentage (%)
2016/17,Non-sexual,,,Other ethnic group,,,,,,,5.2,Percentage (%)
2016/17,Non-sexual,,,Other ethnic group,Other ethnic group - Any other ethnic group,,,,,,11.6,Percentage (%)
2016/17,Non-sexual,,,,,,,,Degree or diploma,,4.3,Percentage (%)
2016/17,Non-sexual,,,,,,,,Apprenticeship or A/AS level,,6.4,Percentage (%)
2016/17,Non-sexual,,,,,,,,O level/GCSE,,6.0,Percentage (%)
2016/17,Non-sexual,,,,,,,,Other,,4.5,Percentage (%)
2016/17,Non-sexual,,,,,,,,No qualifications,,5.8,Percentage (%)
2016/17,Non-sexual,,,,,Long-standing illness or disability,,,,,11.2,Percentage (%)
2016/17,Non-sexual,,,,,Limits activities,,,,,11.4,Percentage (%)
2016/17,Non-sexual,,,,,Does not limit activities,,,,,10.7,Percentage (%)
2016/17,Non-sexual,,,,,No long-standing illness or disability,,,,,4.1,Percentage (%)
2016/17,Non-sexual,,,,,,"Less than £10,000 ",,,,13.5,Percentage (%)
2016/17,Non-sexual,,,,,,"£10,000 to less than £20,000",,,,7.5,Percentage (%)
2016/17,Non-sexual,,,,,,"£20,000 to less than £30,000",,,,5.8,Percentage (%)
2016/17,Non-sexual,,,,,,"£30,000 to less than £40,000",,,,5.0,Percentage (%)
2016/17,Non-sexual,,,,,,"£40,000 to less than £50,000",,,,4.2,Percentage (%)
2016/17,Non-sexual,,,,,,"£50,000 or more",,,,2.7,Percentage (%)
2016/17,Non-sexual,,,,,,No income stated or not enough information provided,,,,4.8,Percentage (%)
2016/17,Non-sexual,,,,,,,North East,,E12000001,5.5,Percentage (%)
2016/17,Non-sexual,,,,,,,North West,,E12000002,5.5,Percentage (%)
2016/17,Non-sexual,,,,,,,Yorkshire and the Humber,,E12000003,6.1,Percentage (%)
2016/17,Non-sexual,,,,,,,East Midlands,,E12000004,5.6,Percentage (%)
2016/17,Non-sexual,,,,,,,West Midlands,,E12000005,4.3,Percentage (%)
2016/17,Non-sexual,,,,,,,East of England,,E12000006,5.6,Percentage (%)
2016/17,Non-sexual,,,,,,,London,,E12000007,2.5,Percentage (%)
2016/17,Non-sexual,,,,,,,South East,,E12000008,5.7,Percentage (%)
2016/17,Non-sexual,,,,,,,South West,,E12000009,6.9,Percentage (%)
2016/17,Non-sexual,,,,,,,Wales,,W92000004,6.8,Percentage (%)
2017/18,Non-sexual,,16 to 19,,,,,,,,5.5,Percentage (%)
2017/18,Non-sexual,,20 to 24,,,,,,,,9.1,Percentage (%)
2017/18,Non-sexual,,25 to 34,,,,,,,,6.0,Percentage (%)
2017/18,Non-sexual,,35 to 44,,,,,,,,5.1,Percentage (%)
2017/18,Non-sexual,,45 to 54,,,,,,,,4.4,Percentage (%)
2017/18,Non-sexual,,55 to 59,,,,,,,,5.6,Percentage (%)
2017/18,Non-sexual,,,White,,,,,,,5.6,Percentage (%)
2017/18,Non-sexual,,,White,White - English/Welsh/Scottish/Northern Irish/British,,,,,,5.9,Percentage (%)
2017/18,Non-sexual,,,White,White - Any other white background,,,,,,2.9,Percentage (%)
2017/18,Non-sexual,,,Mixed/multiple ethnic groups,,,,,,,10.3,Percentage (%)
2017/18,Non-sexual,,,Asian/Asian British,,,,,,,5.3,Percentage (%)
2017/18,Non-sexual,,,Asian/Asian British,Asian - Indian,,,,,,5.0,Percentage (%)
2017/18,Non-sexual,,,Asian/Asian British,Asian - Pakistani,,,,,,7.1,Percentage (%)
2017/18,Non-sexual,,,Asian/Asian British,Asian - Any other Asian background,,,,,,3.6,Percentage (%)
2017/18,Non-sexual,,,Black/African/Caribbean/Black British,,,,,,,5.7,Percentage (%)
2017/18,Non-sexual,,,Black/African/Caribbean/Black British,Black - African,,,,,,3.7,Percentage (%)
2017/18,Non-sexual,,,Black/African/Caribbean/Black British,Black - Caribbean,,,,,,10.1,Percentage (%)
2017/18,Non-sexual,,,Other ethnic group,,,,,,,2.0,Percentage (%)
2017/18,Non-sexual,,,,,,,,Degree or diploma,,5.4,Percentage (%)
2017/18,Non-sexual,,,,,,,,Apprenticeship or A/AS level,,6.2,Percentage (%)
2017/18,Non-sexual,,,,,,,,O level/GCSE,,5.8,Percentage (%)
2017/18,Non-sexual,,,,,,,,Other,,3.3,Percentage (%)
2017/18,Non-sexual,,,,,,,,No qualifications,,6.4,Percentage (%)
2017/18,Non-sexual,,,,,Long-standing illness or disability,,,,,11.8,Percentage (%)
2017/18,Non-sexual,,,,,Limits activities,,,,,12.0,Percentage (%)
2017/18,Non-sexual,,,,,Does not limit activities,,,,,11.0,Percentage (%)
2017/18,Non-sexual,,,,,No long-standing illness or disability,,,,,4.5,Percentage (%)
2017/18,Non-sexual,,,,,,"Less than £10,000 ",,,,14.2,Percentage (%)
2017/18,Non-sexual,,,,,,"£10,000 to less than £20,000",,,,9.0,Percentage (%)
2017/18,Non-sexual,,,,,,"£20,000 to less than £30,000",,,,6.0,Percentage (%)
2017/18,Non-sexual,,,,,,"£30,000 to less than £40,000",,,,5.0,Percentage (%)
2017/18,Non-sexual,,,,,,"£40,000 to less than £50,000",,,,5.2,Percentage (%)
2017/18,Non-sexual,,,,,,"£50,000 or more",,,,3.1,Percentage (%)
2017/18,Non-sexual,,,,,,No income stated or not enough information provided,,,,4.8,Percentage (%)
2017/18,Non-sexual,,,,,,,North East,,E12000001,4.4,Percentage (%)
2017/18,Non-sexual,,,,,,,North West,,E12000002,6.7,Percentage (%)
2017/18,Non-sexual,,,,,,,Yorkshire and the Humber,,E12000003,8.0,Percentage (%)
2017/18,Non-sexual,,,,,,,East Midlands,,E12000004,5.6,Percentage (%)
2017/18,Non-sexual,,,,,,,West Midlands,,E12000005,6.1,Percentage (%)
2017/18,Non-sexual,,,,,,,East of England,,E12000006,5.4,Percentage (%)
2017/18,Non-sexual,,,,,,,London,,E12000007,4.9,Percentage (%)
2017/18,Non-sexual,,,,,,,South East,,E12000008,4.7,Percentage (%)
2017/18,Non-sexual,,,,,,,South West,,E12000009,4.8,Percentage (%)
2017/18,Non-sexual,,,,,,,Wales,,W92000004,6.2,Percentage (%)
