Year,Revenue category,Source of revenue,Value
2003,,Market output,1.3599499164038595
2004,,Market output,1.6633699680102598
2005,,Market output,1.8614949506291536
2006,,Market output,2.1030678317363236
2007,,Market output,2.186226622123873
2008,,Market output,2.2678708254529694
2009,,Market output,2.572259001158056
2010,,Market output,2.565655570122762
2011,,Market output,2.4015825268114046
2012,,Market output,2.2722460894194687
2013,,Market output,2.3457210304051754
2014,,Market output,2.3712333237943755
2015,,Market output,2.3789306233955907
2016,,Market output,2.4072821656400225
2017,,Market output,2.5189547184512566
1998,Central government revenue,Pension contributions,0.685744570380919
1999,Central government revenue,Pension contributions,0.7317431238619784
2000,Central government revenue,Pension contributions,0.784053674520206
2001,Central government revenue,Pension contributions,0.8532319421473821
2002,Central government revenue,Pension contributions,0.9077098875746404
2003,Central government revenue,Pension contributions,0.9305472892377068
2004,Central government revenue,Pension contributions,0.9472051656523212
2005,Central government revenue,Pension contributions,1.0339689201106954
2006,Central government revenue,Pension contributions,1.0349669173292515
2007,Central government revenue,Pension contributions,1.0747886265718491
2008,Central government revenue,Pension contributions,1.1221044019731
2009,Central government revenue,Pension contributions,1.2600484786459083
2010,Central government revenue,Pension contributions,1.262972963061436
2011,Central government revenue,Pension contributions,1.2465386454039524
2012,Central government revenue,Pension contributions,1.226146000563477
2013,Central government revenue,Pension contributions,1.260315895805028
2014,Central government revenue,Pension contributions,1.2653313183386556
2015,Central government revenue,Pension contributions,1.3385683933509844
2016,Central government revenue,Pension contributions,1.3611410675879043
2017,Central government revenue,Pension contributions,1.3674368425784411
1998,Local government revenue,Pension contributions,0.11971266088857388
1999,Local government revenue,Pension contributions,0.12746538013836115
2000,Local government revenue,Pension contributions,0.12684210243138688
2001,Local government revenue,Pension contributions,0.1336710423660036
2002,Local government revenue,Pension contributions,0.1461701941683771
2003,Local government revenue,Pension contributions,0.13879181967929705
2004,Local government revenue,Pension contributions,0.15678169822509122
2005,Local government revenue,Pension contributions,0.16918959761766075
2006,Local government revenue,Pension contributions,0.1627044641360125
2007,Local government revenue,Pension contributions,0.1606121056369399
2008,Local government revenue,Pension contributions,0.17618160824733062
2009,Local government revenue,Pension contributions,0.19716669765305767
2010,Local government revenue,Pension contributions,0.17694571525492103
2011,Local government revenue,Pension contributions,0.17137651420170116
2012,Local government revenue,Pension contributions,0.17076576749293293
2013,Local government revenue,Pension contributions,0.15470780591004513
2014,Local government revenue,Pension contributions,0.15218252593371148
2015,Local government revenue,Pension contributions,0.15080859350572096
2016,Local government revenue,Pension contributions,0.14978238396688742
2017,Local government revenue,Pension contributions,0.13855174962789815
1998,,Pension contributions,0.8054572312694929
1999,,Pension contributions,0.8592085040003395
2000,,Pension contributions,0.910895776951593
2001,,Pension contributions,0.9869029845133857
2002,,Pension contributions,1.0538800817430174
2003,,Pension contributions,1.0693391089170041
2004,,Pension contributions,1.1039868638774124
2005,,Pension contributions,1.203158517728356
2006,,Pension contributions,1.1976713814652642
2007,,Pension contributions,1.2354007322087892
2008,,Pension contributions,1.2982860102204306
2009,,Pension contributions,1.4572151762989658
2010,,Pension contributions,1.439918678316357
2011,,Pension contributions,1.4179151596056536
2012,,Pension contributions,1.39691176805641
2013,,Pension contributions,1.4150237017150733
2014,,Pension contributions,1.4175138442723672
2015,,Pension contributions,1.4893769868567055
2016,,Pension contributions,1.510923451554792
2017,,Pension contributions,1.5059885922063394
1998,Central government revenue,Current grants to Central government revenue,0.0005026926372045694
1999,Central government revenue,Current grants to Central government revenue,0.00034788586282303815
2000,Central government revenue,Current grants to Central government revenue,0.0
2001,Central government revenue,Current grants to Central government revenue,0.000523174334113517
2002,Central government revenue,Current grants to Central government revenue,0.0008294249341723711
2003,Central government revenue,Current grants to Central government revenue,0.0006174013330929584
2004,Central government revenue,Current grants to Central government revenue,0.0007238862557526336
2005,Central government revenue,Current grants to Central government revenue,0.0007602712647872762
2006,Central government revenue,Current grants to Central government revenue,0.0013687021168118825
2007,Central government revenue,Current grants to Central government revenue,0.004282247968851929
2008,Central government revenue,Current grants to Central government revenue,0.0021764595253867267
2009,Central government revenue,Current grants to Central government revenue,0.0022147013038179703
2010,Central government revenue,Current grants to Central government revenue,0.002177440796530764
2011,Central government revenue,Current grants to Central government revenue,0.002536823401012023
2012,Central government revenue,Current grants to Central government revenue,0.006723936826112881
2013,Central government revenue,Current grants to Central government revenue,0.005717817536274107
2014,Central government revenue,Current grants to Central government revenue,0.006506239377770772
2015,Central government revenue,Current grants to Central government revenue,0.005736721685789935
2016,Central government revenue,Current grants to Central government revenue,0.015079785775649343
2017,Central government revenue,Current grants to Central government revenue,0.018929745172665248
1998,,Current grants to Central government revenue,0.0005026926372045694
1999,,Current grants to Central government revenue,0.00034788586282303815
2000,,Current grants to Central government revenue,0.0
2001,,Current grants to Central government revenue,0.000523174334113517
2002,,Current grants to Central government revenue,0.0008294249341723711
2003,,Current grants to Central government revenue,0.0006174013330929584
2004,,Current grants to Central government revenue,0.0007238862557526336
2005,,Current grants to Central government revenue,0.0007602712647872762
2006,,Current grants to Central government revenue,0.0013687021168118825
2007,,Current grants to Central government revenue,0.004282247968851929
2008,,Current grants to Central government revenue,0.0021764595253867267
2009,,Current grants to Central government revenue,0.0022147013038179703
2010,,Current grants to Central government revenue,0.002177440796530764
2011,,Current grants to Central government revenue,0.002536823401012023
2012,,Current grants to Central government revenue,0.006723936826112881
2013,,Current grants to Central government revenue,0.005717817536274107
2014,,Current grants to Central government revenue,0.006506239377770772
2015,,Current grants to Central government revenue,0.005736721685789935
2016,,Current grants to Central government revenue,0.015079785775649343
2017,,Current grants to Central government revenue,0.018929745172665248
1998,Local government revenue,Current grants from Central government revenue,4.33593943559107
1999,Local government revenue,Current grants from Central government revenue,4.4794479468820025
2000,Local government revenue,Current grants from Central government revenue,4.4420965129855094
2001,Local government revenue,Current grants from Central government revenue,4.787372141097502
2002,Local government revenue,Current grants from Central government revenue,5.049794206913448
2003,Local government revenue,Current grants from Central government revenue,5.424426372421423
2004,Local government revenue,Current grants from Central government revenue,5.713875512074122
2005,Local government revenue,Current grants from Central government revenue,5.928302910786262
2006,Local government revenue,Current grants from Central government revenue,6.2935774793753705
2007,Local government revenue,Current grants from Central government revenue,6.29034419819356
2008,Local government revenue,Current grants from Central government revenue,6.577539718991172
2009,Local government revenue,Current grants from Central government revenue,7.268183426224512
2010,Local government revenue,Current grants from Central government revenue,7.581505047078561
2011,Local government revenue,Current grants from Central government revenue,7.155082215627734
2012,Local government revenue,Current grants from Central government revenue,7.1378201441367555
2013,Local government revenue,Current grants from Central government revenue,6.6249356745527175
2014,Local government revenue,Current grants from Central government revenue,6.562997059497179
2015,Local government revenue,Current grants from Central government revenue,6.260055413630553
2016,Local government revenue,Current grants from Central government revenue,5.776928841689668
2017,Local government revenue,Current grants from Central government revenue,5.64900556404647
1998,,Current grants from Central government revenue,4.33593943559107
1999,,Current grants from Central government revenue,4.4794479468820025
2000,,Current grants from Central government revenue,4.4420965129855094
2001,,Current grants from Central government revenue,4.787372141097502
2002,,Current grants from Central government revenue,5.049794206913448
2003,,Current grants from Central government revenue,5.424426372421423
2004,,Current grants from Central government revenue,5.713875512074122
2005,,Current grants from Central government revenue,5.928302910786262
2006,,Current grants from Central government revenue,6.2935774793753705
2007,,Current grants from Central government revenue,6.29034419819356
2008,,Current grants from Central government revenue,6.577539718991172
2009,,Current grants from Central government revenue,7.268183426224512
2010,,Current grants from Central government revenue,7.581505047078561
2011,,Current grants from Central government revenue,7.155082215627734
2012,,Current grants from Central government revenue,7.1378201441367555
2013,,Current grants from Central government revenue,6.6249356745527175
2014,,Current grants from Central government revenue,6.562997059497179
2015,,Current grants from Central government revenue,6.260055413630553
2016,,Current grants from Central government revenue,5.776928841689668
2017,,Current grants from Central government revenue,5.64900556404647
1998,Central government revenue,Capital transfers to Central government revenue,0.0013644514438409738
1999,Central government revenue,Capital transfers to Central government revenue,0.001669852141550583
2000,Central government revenue,Capital transfers to Central government revenue,0.001950382274925885
2001,Central government revenue,Capital transfers to Central government revenue,0.029690143460942092
2002,Central government revenue,Capital transfers to Central government revenue,0.029285080368086025
2003,Central government revenue,Capital transfers to Central government revenue,0.03179616865428735
2004,Central government revenue,Capital transfers to Central government revenue,0.1011027803867845
2005,Central government revenue,Capital transfers to Central government revenue,0.14614753005410794
2006,Central government revenue,Capital transfers to Central government revenue,0.06866322286006275
2007,Central government revenue,Capital transfers to Central government revenue,0.0872577540666062
2008,Central government revenue,Capital transfers to Central government revenue,1.2717220426798133
2009,Central government revenue,Capital transfers to Central government revenue,0.12612141109110758
2010,Central government revenue,Capital transfers to Central government revenue,0.012319730822476692
2011,Central government revenue,Capital transfers to Central government revenue,0.015559183526207082
2012,Central government revenue,Capital transfers to Central government revenue,0.7717523524054191
2013,Central government revenue,Capital transfers to Central government revenue,0.1102721953424292
2014,Central government revenue,Capital transfers to Central government revenue,0.14832109931113205
2015,Central government revenue,Capital transfers to Central government revenue,0.14770766286475345
2016,Central government revenue,Capital transfers to Central government revenue,0.06280705388713212
2017,Central government revenue,Capital transfers to Central government revenue,0.06478068466740587
1998,,Capital transfers to Central government revenue,0.0013644514438409738
1999,,Capital transfers to Central government revenue,0.001669852141550583
2000,,Capital transfers to Central government revenue,0.001950382274925885
2001,,Capital transfers to Central government revenue,0.029690143460942092
2002,,Capital transfers to Central government revenue,0.029285080368086025
2003,,Capital transfers to Central government revenue,0.03179616865428735
2004,,Capital transfers to Central government revenue,0.1011027803867845
2005,,Capital transfers to Central government revenue,0.14614753005410794
2006,,Capital transfers to Central government revenue,0.06866322286006275
2007,,Capital transfers to Central government revenue,0.0872577540666062
2008,,Capital transfers to Central government revenue,1.2717220426798133
2009,,Capital transfers to Central government revenue,0.12612141109110758
2010,,Capital transfers to Central government revenue,0.012319730822476692
2011,,Capital transfers to Central government revenue,0.015559183526207082
2012,,Capital transfers to Central government revenue,0.7717523524054191
2013,,Capital transfers to Central government revenue,0.1102721953424292
2014,,Capital transfers to Central government revenue,0.14832109931113205
2015,,Capital transfers to Central government revenue,0.14770766286475345
2016,,Capital transfers to Central government revenue,0.06280705388713212
2017,,Capital transfers to Central government revenue,0.06478068466740587
1998,Local government revenue,Capital grants from private sector,0.0265708965379558
1999,Local government revenue,Capital grants from private sector,0.019133722455267097
2000,Local government revenue,Capital grants from private sector,0.029995534297136032
2001,Local government revenue,Capital grants from private sector,0.03171744400563197
2002,Local government revenue,Capital grants from private sector,0.04568217329749367
2003,Local government revenue,Capital grants from private sector,0.04871296518103442
2004,Local government revenue,Capital grants from private sector,0.035832369659755364
2005,Local government revenue,Capital grants from private sector,0.04029437703372563
2006,Local government revenue,Capital grants from private sector,0.042657882640637
2007,Local government revenue,Capital grants from private sector,0.042822479688519294
2008,Local government revenue,Capital grants from private sector,0.04531500345164158
2009,Local government revenue,Capital grants from private sector,0.052220325479497405
2010,Local government revenue,Capital grants from private sector,0.03982424614707581
2011,Local government revenue,Capital grants from private sector,0.044422596444388326
2012,Local government revenue,Capital grants from private sector,0.050790729413778296
2013,Local government revenue,Capital grants from private sector,0.05619797807080837
2014,Local government revenue,Capital grants from private sector,0.07426634216577369
2015,Local government revenue,Capital grants from private sector,0.07116635821020485
2016,Local government revenue,Capital grants from private sector,0.07270792333579078
2017,Local government revenue,Capital grants from private sector,0.07511962200445524
1998,,Capital grants from private sector,0.0265708965379558
1999,,Capital grants from private sector,0.019133722455267097
2000,,Capital grants from private sector,0.029995534297136032
2001,,Capital grants from private sector,0.03171744400563197
2002,,Capital grants from private sector,0.04568217329749367
2003,,Capital grants from private sector,0.04871296518103442
2004,,Capital grants from private sector,0.035832369659755364
2005,,Capital grants from private sector,0.04029437703372563
2006,,Capital grants from private sector,0.042657882640637
2007,,Capital grants from private sector,0.042822479688519294
2008,,Capital grants from private sector,0.04531500345164158
2009,,Capital grants from private sector,0.052220325479497405
2010,,Capital grants from private sector,0.03982424614707581
2011,,Capital grants from private sector,0.044422596444388326
2012,,Capital grants from private sector,0.050790729413778296
2013,,Capital grants from private sector,0.05619797807080837
2014,,Capital grants from private sector,0.07426634216577369
2015,,Capital grants from private sector,0.07116635821020485
2016,,Capital grants from private sector,0.07270792333579078
2017,,Capital grants from private sector,0.07511962200445524
1998,Central government revenue,Gross operating surplus,0.6358343728298939
1999,Central government revenue,Gross operating surplus,0.6238985063868365
2000,Central government revenue,Gross operating surplus,0.6284266198933612
2001,Central government revenue,Gross operating surplus,0.6260434875585873
2002,Central government revenue,Gross operating surplus,0.6388486050667656
2003,Central government revenue,Gross operating surplus,0.6854389599998024
2004,Central government revenue,Gross operating surplus,0.6907081356973046
2005,Central government revenue,Gross operating surplus,0.7090991604265942
2006,Central government revenue,Gross operating surplus,0.7259824144589692
2007,Central government revenue,Gross operating surplus,0.7313189713039334
2008,Central government revenue,Gross operating surplus,0.7899431944063874
2009,Central government revenue,Gross operating surplus,0.8628010026768745
2010,Central government revenue,Gross operating surplus,0.8890261567940736
2011,Central government revenue,Gross operating surplus,0.925489550542542
2012,Central government revenue,Gross operating surplus,0.952187252193754
2013,Central government revenue,Gross operating surplus,0.9528062231636956
2014,Central government revenue,Gross operating surplus,0.9438278798175926
2015,Central government revenue,Gross operating surplus,0.9416492713071404
2016,Central government revenue,Gross operating surplus,0.9286000069052218
2017,Central government revenue,Gross operating surplus,0.9229624301996864
1998,Local government revenue,Gross operating surplus,0.2707358917516037
