Year,Series,Country,Type of Neglected Tropical Disease (NTD),Region of travel,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Normal value,,0.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Normal value,,12.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Normal value,,0.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Normal value,,1.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Normal value,,2.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Normal value,,0.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Normal value,,0.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Normal value,,16.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Normal value,,0.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Normal value,,5.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Normal value,,0.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Normal value,,8.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Normal value,,2.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Normal value,,0.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Normal value,,1.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Normal value,,28.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Normal value,,0.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Normal value,,10.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Normal value,,0.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Normal value,,13.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Normal value,,2.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Normal value,,1.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Normal value,,2.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Normal value,,300.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Normal value,,227.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Normal value,,13.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Normal value,,12.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Normal value,,10.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Normal value,,6.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Normal value,,2.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Normal value,,30.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,,Number,Units,Normal value,,176.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,Number,Units,Normal value,,66.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,Number,Units,Normal value,,42.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,Number,Units,Normal value,,8.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Caribbean,Number,Units,Normal value,,5.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,Number,Units,Normal value,,7.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other Africa,Number,Units,Normal value,,10.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other,Number,Units,Normal value,,4.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,Number,Units,Normal value,,0.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Country not stated,Number,Units,Normal value,,34.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,No travel,Number,Units,Normal value,,0.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,,Number,Units,Normal value,,448.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,Number,Units,Normal value,,133.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,Number,Units,Normal value,,127.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,Number,Units,Normal value,,11.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Caribbean,Number,Units,Normal value,,36.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,Number,Units,Normal value,,31.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other Africa,Number,Units,Normal value,,7.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other,Number,Units,Normal value,,4.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,Number,Units,Normal value,,0.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Country not stated,Number,Units,Normal value,,99.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,No travel,Number,Units,Normal value,,0.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,,Number,Units,Normal value,,233.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,Number,Units,Normal value,,52.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,Number,Units,Normal value,,71.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,Number,Units,Normal value,,3.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Caribbean,Number,Units,Normal value,,25.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,Number,Units,Normal value,,16.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other Africa,Number,Units,Normal value,,4.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other,Number,Units,Normal value,,2.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,Number,Units,Normal value,,0.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Country not stated,Number,Units,Normal value,,60.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,No travel,Number,Units,Normal value,,0.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,,Number,Units,Normal value,,373.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,Number,Units,Normal value,,109.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,Number,Units,Normal value,,102.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,Number,Units,Normal value,,1.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Caribbean,Number,Units,Normal value,,48.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,Number,Units,Normal value,,16.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other Africa,Number,Units,Normal value,,3.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other,Number,Units,Normal value,,7.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,Number,Units,Normal value,,20.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Country not stated,Number,Units,Normal value,,67.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,No travel,Number,Units,Normal value,,0.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,,Number,Units,Normal value,,587.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,Number,Units,Normal value,,199.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,Number,Units,Normal value,,142.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,Number,Units,Normal value,,12.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Caribbean,Number,Units,Normal value,,83.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,Number,Units,Normal value,,35.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other Africa,Number,Units,Normal value,,18.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other,Number,Units,Normal value,,13.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,Number,Units,Normal value,,0.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Country not stated,Number,Units,Normal value,,85.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,No travel,Number,Units,Normal value,,0.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,,Number,Units,Normal value,,404.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,South-Eastern Asia,Number,Units,Normal value,,186.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Asia,Number,Units,Normal value,,78.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Eastern Africa,Number,Units,Normal value,,22.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Caribbean,Number,Units,Normal value,,18.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern and Central America,Number,Units,Normal value,,14.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other Africa,Number,Units,Normal value,,10.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Other,Number,Units,Normal value,,17.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Southern Europe,Number,Units,Normal value,,0.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,Country not stated,Number,Units,Normal value,,58.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Dengue fever,No travel,Number,Units,Normal value,,1.0
2000,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2000,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2000,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2000,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2000,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2000,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2001,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,1.0
2001,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,1.0
2001,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2001,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2001,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2001,Rabies,,,,Number,Units,Normal value,K02000001,2.0
2002,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2002,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2002,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2002,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2002,Rabies,,,No travel,Number,Units,Normal value,K02000001,1.0
2002,Rabies,,,,Number,Units,Normal value,K02000001,1.0
2003,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2003,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2003,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2003,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2003,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2003,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2004,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2004,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2004,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2004,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2004,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2004,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2005,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2005,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2005,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,1.0
2005,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2005,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2005,Rabies,,,,Number,Units,Normal value,K02000001,1.0
2006,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2006,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2006,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2006,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2006,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2006,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2007,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2007,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2007,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2007,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2007,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2007,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2008,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2008,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2008,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2008,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,1.0
2008,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2008,Rabies,,,,Number,Units,Normal value,K02000001,1.0
2009,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2009,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2009,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2009,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2009,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2009,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2010,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2010,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2010,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2010,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2010,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2010,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2011,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2011,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2011,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2011,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2011,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2011,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2012,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2012,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2012,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,1.0
2012,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2012,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2012,Rabies,,,,Number,Units,Normal value,K02000001,1.0
2013,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2013,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2013,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2013,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2013,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2013,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2014,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2014,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2014,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2014,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2014,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2014,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2015,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2015,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2015,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2015,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2015,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2015,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2016,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2016,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2016,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2016,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2016,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2016,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2017,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2017,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,0.0
2017,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2017,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2017,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2017,Rabies,,,,Number,Units,Normal value,K02000001,0.0
2018,Rabies,,,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2018,Rabies,,,Western Africa,Number,Units,Normal value,K02000001,1.0
2018,Rabies,,,Southern Asia,Number,Units,Normal value,K02000001,0.0
2018,Rabies,,,Southern Africa,Number,Units,Normal value,K02000001,0.0
2018,Rabies,,,No travel,Number,Units,Normal value,K02000001,0.0
2018,Rabies,,,,Number,Units,Normal value,K02000001,1.0
2018,Rabies,,,,,,,,
