Year,Series,Country,Sex,Cause of death,Observation status,Unit multiplier,Units,GeoCode,Value
2003,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,94.0
2004,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,95.0
2005,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,90.0
2006,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,93.0
2007,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,109.0
2008,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,116.0
2009,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,124.0
2010,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,129.0
2011,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,79.0
2012,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,82.0
2013,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,97.0
2014,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,71.0
2015,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,39.0
2016,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,53.0
2017,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,65.0
2018,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,57.0
2019,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,46.0
2020,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,49.0
2021,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,45.0
2001,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,66.0
2002,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,43.0
2003,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,51.0
2004,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,44.0
2005,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,46.0
2006,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,47.0
2007,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,59.0
2008,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,69.0
2009,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,73.0
2010,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,61.0
2011,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,35.0
2012,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,40.0
2013,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,41.0
2014,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,34.0
2015,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,21.0
2016,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,21.0
2017,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,18.0
2018,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,28.0
2019,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,17.0
2020,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,19.0
2021,Number of deaths from exposure to forces of nature,,Female,,Normal value,,Number,K04000001,18.0
2001,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,64.0
2002,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,52.0
2003,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,43.0
2004,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,51.0
2005,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,44.0
2006,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,46.0
2007,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,50.0
2008,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,47.0
2009,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,51.0
2010,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,68.0
2011,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,44.0
2012,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,42.0
2013,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,56.0
2014,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,37.0
2015,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,18.0
2016,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,32.0
2017,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,47.0
2018,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,29.0
2019,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,29.0
2020,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,30.0
2021,Number of deaths from exposure to forces of nature,,Male,,Normal value,,Number,K04000001,27.0
2001,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,120.0
2002,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,84.0
2003,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,91.0
2004,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,88.0
2005,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,88.0
2006,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,90.0
2007,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,102.0
2008,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,112.0
2009,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,114.0
2010,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,115.0
2011,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,73.0
2012,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,81.0
2013,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,91.0
2014,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,64.0
2015,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,36.0
2016,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,48.0
2017,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,63.0
2018,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,53.0
2019,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,41.0
2020,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,46.0
2021,Number of deaths from exposure to forces of nature,England,,,Normal value,,Number,E92000001,36.0
2001,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,61.0
2002,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,38.0
2003,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,49.0
2004,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,40.0
2005,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,45.0
2006,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,44.0
2007,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,55.0
2008,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,68.0
2009,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,67.0
2010,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,54.0
2011,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,33.0
2012,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,39.0
2013,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,38.0
2014,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,30.0
2015,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,20.0
2016,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,20.0
2017,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,18.0
2018,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,26.0
2019,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,17.0
2020,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,17.0
2021,Number of deaths from exposure to forces of nature,England,Female,,Normal value,,Number,E92000001,15.0
2001,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,59.0
2002,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,46.0
2003,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,42.0
2004,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,48.0
2005,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,43.0
2006,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,46.0
2007,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,47.0
2008,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,44.0
2009,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,47.0
2010,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,61.0
2011,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,40.0
2012,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,42.0
2013,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,53.0
2014,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,34.0
2015,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,16.0
2016,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,28.0
2017,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,45.0
2018,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,27.0
2019,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,24.0
2020,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,29.0
2021,Number of deaths from exposure to forces of nature,England,Male,,Normal value,,Number,E92000001,21.0
2001,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,10.0
2002,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,11.0
2003,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,3.0
2004,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,7.0
2005,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,2.0
2006,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,3.0
2007,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,7.0
2008,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,4.0
2009,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,10.0
2010,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,14.0
2011,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,6.0
2012,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,1.0
2013,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,6.0
2014,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,7.0
2015,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,3.0
2016,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,5.0
2017,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,2.0
2018,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,4.0
2019,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,5.0
2020,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,3.0
2021,Number of deaths from exposure to forces of nature,Wales,,,Normal value,,Number,W92000004,9.0
2001,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,5.0
2002,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,5.0
2003,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,2.0
2004,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,4.0
2005,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,1.0
2006,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,3.0
2007,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,4.0
2008,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,1.0
2009,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,6.0
2010,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,7.0
2011,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,2.0
2012,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,1.0
2013,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,3.0
2014,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,4.0
2015,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,1.0
2016,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,1.0
2017,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,0.0
2018,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,2.0
2019,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,0.0
2020,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,2.0
2021,Number of deaths from exposure to forces of nature,Wales,Female,,Normal value,,Number,W92000004,3.0
2001,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,5.0
2002,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,6.0
2003,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,1.0
2004,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2005,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,1.0
2006,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,0.0
2007,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2008,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2009,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,4.0
2010,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,7.0
2011,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,4.0
2012,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,0.0
2013,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2014,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,3.0
2015,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,2.0
2016,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,4.0
2017,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,2.0
2018,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,2.0
2019,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,5.0
2020,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,1.0
2021,Number of deaths from exposure to forces of nature,Wales,Male,,Normal value,,Number,W92000004,6.0
2001,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,126.0
2002,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,91.0
2003,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,89.0
2004,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,86.0
2005,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,78.0
2006,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,86.0
2007,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,99.0
2008,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,106.0
2009,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,116.0
2010,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,129.0
2011,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,76.0
2012,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,74.0
2013,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,90.0
2014,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,64.0
2015,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,32.0
2016,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,40.0
2017,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,54.0
2018,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,51.0
2019,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,40.0
2020,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,32.0
2021,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,K04000001,39.0
2001,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,65.0
2002,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,41.0
2003,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,51.0
2004,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,40.0
2005,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,43.0
2006,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,44.0
2007,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,55.0
2008,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,67.0
2009,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,69.0
2010,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,61.0
2011,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,33.0
2012,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,38.0
2013,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,40.0
2014,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,32.0
2015,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,17.0
2016,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,14.0
2017,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,14.0
2018,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,25.0
2019,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,15.0
2020,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,13.0
2021,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural cold,Normal value,,Number,K04000001,15.0
2001,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,61.0
2002,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,50.0
2003,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,38.0
2004,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,46.0
2005,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,35.0
2006,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,42.0
2007,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,44.0
2008,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,39.0
2009,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,47.0
2010,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,68.0
2011,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,43.0
2012,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,36.0
2013,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,50.0
2014,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,32.0
2015,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,15.0
2016,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,26.0
2017,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,40.0
2018,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,26.0
2019,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,25.0
2020,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,19.0
2021,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,K04000001,24.0
2001,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,118.0
2002,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,81.0
2003,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,87.0
2004,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,79.0
2005,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,77.0
2006,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,83.0
2007,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,92.0
2008,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,103.0
2009,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,106.0
2010,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,115.0
2011,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,70.0
2012,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,73.0
2013,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,84.0
2014,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,58.0
