Year,Type of non-partner abuse,Abuse sub-type,Relationship to perpetrator,Age,Observation status,Unit multiplier,Unit measure,Value
2018/19,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0941867291999993
2018/19,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.06162007264973488
2018/19,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.07661645049967884
2018/19,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.48634569546403206
2019/20,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.06804344733870903
2019/20,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.015283102874588901
2019/20,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.06278076122875244
2019/20,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.5322360859005457
2020/21,Sexual (including attempts),,Family member,16 to 59,Missing data,Units,Percentage (%),
2020/21,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Missing data,Units,Percentage (%),
2020/21,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Missing data,Units,Percentage (%),
2020/21,Stalking,,Family member,16 to 59,Missing data,Units,Percentage (%),
2021/22,Sexual (including attempts),,Family member,16 to 59,Missing value; suppressed,Units,Percentage (%),
2021/22,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Missing value; suppressed,Units,Percentage (%),
2021/22,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Missing value; suppressed,Units,Percentage (%),
2021/22,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.44417148588392
2021/22,Sexual (including attempts),,Family member,16 and over,Missing value; suppressed,Units,Percentage (%),
2021/22,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 and over,Missing value; suppressed,Units,Percentage (%),
2021/22,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 and over,Missing value; suppressed,Units,Percentage (%),
2021/22,Stalking,,Family member,16 and over,Normal value,Units,Percentage (%),0.341431069120487
