Year,Series,Sex,Age,Disability status,Region,Nationality,Country of birth,Units,Unit multiplier,Observation status,GeoCode,Value
2016,Researchers (in full-time equivalent) per million inhabitants,,55 to 64,,,,,Per million population,Units,Normal value,,1713.1
2017,Researchers (in full-time equivalent) per million inhabitants,,55 to 64,,,,,Per million population,Units,Normal value,,1868.7
2012,Researchers (in full-time equivalent) per million inhabitants,,65 and over,,,,,Per million population,Units,Normal value,,2035.6
2013,Researchers (in full-time equivalent) per million inhabitants,,65 and over,,,,,Per million population,Units,Normal value,,2287.7
2014,Researchers (in full-time equivalent) per million inhabitants,,65 and over,,,,,Per million population,Units,Normal value,,6397.0
2015,Researchers (in full-time equivalent) per million inhabitants,,65 and over,,,,,Per million population,Units,Normal value,,6660.9
2016,Researchers (in full-time equivalent) per million inhabitants,,65 and over,,,,,Per million population,Units,Normal value,,7533.2
2017,Researchers (in full-time equivalent) per million inhabitants,,65 and over,,,,,Per million population,Units,Normal value,,8392.7
2014,Researchers (in full-time equivalent) per million inhabitants,,,Non-disabled (GSS harmonised),,,,Per million population,Units,Normal value,,8253.5
2015,Researchers (in full-time equivalent) per million inhabitants,,,Non-disabled (GSS harmonised),,,,Per million population,Units,Normal value,,8162.0
2016,Researchers (in full-time equivalent) per million inhabitants,,,Non-disabled (GSS harmonised),,,,Per million population,Units,Normal value,,10275.6
2017,Researchers (in full-time equivalent) per million inhabitants,,,Non-disabled (GSS harmonised),,,,Per million population,Units,Normal value,,10495.1
2014,Researchers (in full-time equivalent) per million inhabitants,,,Disabled (GSS harmonised),,,,Per million population,Units,Normal value,,11265.9
2015,Researchers (in full-time equivalent) per million inhabitants,,,Disabled (GSS harmonised),,,,Per million population,Units,Normal value,,11548.5
2016,Researchers (in full-time equivalent) per million inhabitants,,,Disabled (GSS harmonised),,,,Per million population,Units,Normal value,,11548.9
2017,Researchers (in full-time equivalent) per million inhabitants,,,Disabled (GSS harmonised),,,,Per million population,Units,Normal value,,11531.7
2012,Researchers (in full-time equivalent) per million inhabitants,,,,East,,,Per million population,Units,Normal value,E12000006,9398.6
2013,Researchers (in full-time equivalent) per million inhabitants,,,,East,,,Per million population,Units,Normal value,E12000006,9800.6
2014,Researchers (in full-time equivalent) per million inhabitants,,,,East,,,Per million population,Units,Normal value,E12000006,10185.0
2015,Researchers (in full-time equivalent) per million inhabitants,,,,East,,,Per million population,Units,Normal value,E12000006,12532.0
2016,Researchers (in full-time equivalent) per million inhabitants,,,,East,,,Per million population,Units,Normal value,E12000006,11115.2
2017,Researchers (in full-time equivalent) per million inhabitants,,,,East,,,Per million population,Units,Normal value,E12000006,9519.1
2012,Researchers (in full-time equivalent) per million inhabitants,,,,East Midlands,,,Per million population,Units,Normal value,E12000004,6179.7
2013,Researchers (in full-time equivalent) per million inhabitants,,,,East Midlands,,,Per million population,Units,Normal value,E12000004,9679.8
2014,Researchers (in full-time equivalent) per million inhabitants,,,,East Midlands,,,Per million population,Units,Normal value,E12000004,9713.5
2015,Researchers (in full-time equivalent) per million inhabitants,,,,East Midlands,,,Per million population,Units,Normal value,E12000004,9399.8
2016,Researchers (in full-time equivalent) per million inhabitants,,,,East Midlands,,,Per million population,Units,Normal value,E12000004,9362.4
2017,Researchers (in full-time equivalent) per million inhabitants,,,,East Midlands,,,Per million population,Units,Normal value,E12000004,9324.7
2012,Researchers (in full-time equivalent) per million inhabitants,,,,London,,,Per million population,Units,Normal value,E12000007,8816.0
2013,Researchers (in full-time equivalent) per million inhabitants,,,,London,,,Per million population,Units,Normal value,E12000007,9240.4
2014,Researchers (in full-time equivalent) per million inhabitants,,,,London,,,Per million population,Units,Normal value,E12000007,11338.2
2015,Researchers (in full-time equivalent) per million inhabitants,,,,London,,,Per million population,Units,Normal value,E12000007,10132.3
2016,Researchers (in full-time equivalent) per million inhabitants,,,,London,,,Per million population,Units,Normal value,E12000007,11089.2
2017,Researchers (in full-time equivalent) per million inhabitants,,,,London,,,Per million population,Units,Normal value,E12000007,11724.0
2012,Researchers (in full-time equivalent) per million inhabitants,,,,North East,,,Per million population,Units,Normal value,E12000001,6966.3
2013,Researchers (in full-time equivalent) per million inhabitants,,,,North East,,,Per million population,Units,Normal value,E12000001,6931.9
2014,Researchers (in full-time equivalent) per million inhabitants,,,,North East,,,Per million population,Units,Normal value,E12000001,7943.6
2015,Researchers (in full-time equivalent) per million inhabitants,,,,North East,,,Per million population,Units,Normal value,E12000001,8303.5
2016,Researchers (in full-time equivalent) per million inhabitants,,,,North East,,,Per million population,Units,Normal value,E12000001,9447.0
2017,Researchers (in full-time equivalent) per million inhabitants,,,,North East,,,Per million population,Units,Normal value,E12000001,8988.2
2012,Researchers (in full-time equivalent) per million inhabitants,,,,North West,,,Per million population,Units,Normal value,E12000002,7562.3
2013,Researchers (in full-time equivalent) per million inhabitants,,,,North West,,,Per million population,Units,Normal value,E12000002,7344.3
2014,Researchers (in full-time equivalent) per million inhabitants,,,,North West,,,Per million population,Units,Normal value,E12000002,8576.6
2015,Researchers (in full-time equivalent) per million inhabitants,,,,North West,,,Per million population,Units,Normal value,E12000002,9283.4
2016,Researchers (in full-time equivalent) per million inhabitants,,,,North West,,,Per million population,Units,Normal value,E12000002,8028.3
2017,Researchers (in full-time equivalent) per million inhabitants,,,,North West,,,Per million population,Units,Normal value,E12000002,8255.7
2012,Researchers (in full-time equivalent) per million inhabitants,,,,Northern Ireland,,,Per million population,Units,Normal value,N92000002,7076.7
2013,Researchers (in full-time equivalent) per million inhabitants,,,,Northern Ireland,,,Per million population,Units,Normal value,N92000002,5615.0
2014,Researchers (in full-time equivalent) per million inhabitants,,,,Northern Ireland,,,Per million population,Units,Normal value,N92000002,6701.4
2015,Researchers (in full-time equivalent) per million inhabitants,,,,Northern Ireland,,,Per million population,Units,Normal value,N92000002,7528.1
2016,Researchers (in full-time equivalent) per million inhabitants,,,,Northern Ireland,,,Per million population,Units,Normal value,N92000002,7823.9
2017,Researchers (in full-time equivalent) per million inhabitants,,,,Northern Ireland,,,Per million population,Units,Normal value,N92000002,6037.2
2012,Researchers (in full-time equivalent) per million inhabitants,,,,Scotland,,,Per million population,Units,Normal value,S92000003,9023.7
2013,Researchers (in full-time equivalent) per million inhabitants,,,,Scotland,,,Per million population,Units,Normal value,S92000003,9630.8
2014,Researchers (in full-time equivalent) per million inhabitants,,,,Scotland,,,Per million population,Units,Normal value,S92000003,9912.6
2015,Researchers (in full-time equivalent) per million inhabitants,,,,Scotland,,,Per million population,Units,Normal value,S92000003,11114.5
2016,Researchers (in full-time equivalent) per million inhabitants,,,,Scotland,,,Per million population,Units,Normal value,S92000003,11173.8
2017,Researchers (in full-time equivalent) per million inhabitants,,,,Scotland,,,Per million population,Units,Normal value,S92000003,11924.5
2012,Researchers (in full-time equivalent) per million inhabitants,,,,South East,,,Per million population,Units,Normal value,E12000008,9472.7
2013,Researchers (in full-time equivalent) per million inhabitants,,,,South East,,,Per million population,Units,Normal value,E12000008,9642.2
2014,Researchers (in full-time equivalent) per million inhabitants,,,,South East,,,Per million population,Units,Normal value,E12000008,10952.2
2015,Researchers (in full-time equivalent) per million inhabitants,,,,South East,,,Per million population,Units,Normal value,E12000008,12087.7
2016,Researchers (in full-time equivalent) per million inhabitants,,,,South East,,,Per million population,Units,Normal value,E12000008,11330.5
2017,Researchers (in full-time equivalent) per million inhabitants,,,,South East,,,Per million population,Units,Normal value,E12000008,11082.1
2012,Researchers (in full-time equivalent) per million inhabitants,,,,South West,,,Per million population,Units,Normal value,E12000009,8230.5
2013,Researchers (in full-time equivalent) per million inhabitants,,,,South West,,,Per million population,Units,Normal value,E12000009,7778.7
2014,Researchers (in full-time equivalent) per million inhabitants,,,,South West,,,Per million population,Units,Normal value,E12000009,9327.2
2015,Researchers (in full-time equivalent) per million inhabitants,,,,South West,,,Per million population,Units,Normal value,E12000009,10548.3
2016,Researchers (in full-time equivalent) per million inhabitants,,,,South West,,,Per million population,Units,Normal value,E12000009,9386.7
2017,Researchers (in full-time equivalent) per million inhabitants,,,,South West,,,Per million population,Units,Normal value,E12000009,10456.8
2012,Researchers (in full-time equivalent) per million inhabitants,,,,Wales,,,Per million population,Units,Normal value,W92000004,7626.9
2013,Researchers (in full-time equivalent) per million inhabitants,,,,Wales,,,Per million population,Units,Normal value,W92000004,7703.5
2014,Researchers (in full-time equivalent) per million inhabitants,,,,Wales,,,Per million population,Units,Normal value,W92000004,8097.5
2015,Researchers (in full-time equivalent) per million inhabitants,,,,Wales,,,Per million population,Units,Normal value,W92000004,7904.5
2016,Researchers (in full-time equivalent) per million inhabitants,,,,Wales,,,Per million population,Units,Normal value,W92000004,8430.3
2017,Researchers (in full-time equivalent) per million inhabitants,,,,Wales,,,Per million population,Units,Normal value,W92000004,7633.8
2012,Researchers (in full-time equivalent) per million inhabitants,,,,West Midlands,,,Per million population,Units,Normal value,E12000005,8166.1
2013,Researchers (in full-time equivalent) per million inhabitants,,,,West Midlands,,,Per million population,Units,Normal value,E12000005,7099.4
2014,Researchers (in full-time equivalent) per million inhabitants,,,,West Midlands,,,Per million population,Units,Normal value,E12000005,7324.5
2015,Researchers (in full-time equivalent) per million inhabitants,,,,West Midlands,,,Per million population,Units,Normal value,E12000005,7114.1
2016,Researchers (in full-time equivalent) per million inhabitants,,,,West Midlands,,,Per million population,Units,Normal value,E12000005,7868.1
2017,Researchers (in full-time equivalent) per million inhabitants,,,,West Midlands,,,Per million population,Units,Normal value,E12000005,7988.1
2012,Researchers (in full-time equivalent) per million inhabitants,,,,Yorkshire and The Humber,,,Per million population,Units,Normal value,E12000003,8144.6
2013,Researchers (in full-time equivalent) per million inhabitants,,,,Yorkshire and The Humber,,,Per million population,Units,Normal value,E12000003,8386.0
2014,Researchers (in full-time equivalent) per million inhabitants,,,,Yorkshire and The Humber,,,Per million population,Units,Normal value,E12000003,7487.1
2015,Researchers (in full-time equivalent) per million inhabitants,,,,Yorkshire and The Humber,,,Per million population,Units,Normal value,E12000003,8613.0
2016,Researchers (in full-time equivalent) per million inhabitants,,,,Yorkshire and The Humber,,,Per million population,Units,Normal value,E12000003,10096.6
2017,Researchers (in full-time equivalent) per million inhabitants,,,,Yorkshire and The Humber,,,Per million population,Units,Normal value,E12000003,9664.6
2012,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in UK,Per million population,Units,Normal value,,7570.3
2013,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in UK,Per million population,Units,Normal value,,7657.7
2014,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in UK,Per million population,Units,Normal value,,8288.3
2015,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in UK,Per million population,Units,Normal value,,8793.7
2016,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in UK,Per million population,Units,Normal value,,8613.4
2017,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in UK,Per million population,Units,Normal value,,8684.6
2012,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in European Economic Area,Per million population,Units,Normal value,,16319.5
2013,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in European Economic Area,Per million population,Units,Normal value,,15673.5
2014,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in European Economic Area,Per million population,Units,Normal value,,17715.8
2015,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in European Economic Area,Per million population,Units,Normal value,,17074.6
2016,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in European Economic Area,Per million population,Units,Normal value,,18331.8
2017,Researchers (in full-time equivalent) per million inhabitants,,,,,,Born in European Economic Area,Per million population,Units,Normal value,,17996.1
2012,Researchers (in full-time equivalent) per million inhabitants,,,,,,Other country of birth,Per million population,Units,Normal value,,12041.0
2013,Researchers (in full-time equivalent) per million inhabitants,,,,,,Other country of birth,Per million population,Units,Normal value,,14332.4
2014,Researchers (in full-time equivalent) per million inhabitants,,,,,,Other country of birth,Per million population,Units,Normal value,,15898.0
2015,Researchers (in full-time equivalent) per million inhabitants,,,,,,Other country of birth,Per million population,Units,Normal value,,17730.1
2016,Researchers (in full-time equivalent) per million inhabitants,,,,,,Other country of birth,Per million population,Units,Normal value,,17104.5
2017,Researchers (in full-time equivalent) per million inhabitants,,,,,,Other country of birth,Per million population,Units,Normal value,,15708.5
2012,Researchers (in full-time equivalent) per million inhabitants,,,,,UK nationality,,Per million population,Units,Normal value,,7781.6
2013,Researchers (in full-time equivalent) per million inhabitants,,,,,UK nationality,,Per million population,Units,Normal value,,7993.3
2014,Researchers (in full-time equivalent) per million inhabitants,,,,,UK nationality,,Per million population,Units,Normal value,,8650.9
2015,Researchers (in full-time equivalent) per million inhabitants,,,,,UK nationality,,Per million population,Units,Normal value,,9181.0
2016,Researchers (in full-time equivalent) per million inhabitants,,,,,UK nationality,,Per million population,Units,Normal value,,9018.0
2017,Researchers (in full-time equivalent) per million inhabitants,,,,,UK nationality,,Per million population,Units,Normal value,,9099.2
2012,Researchers (in full-time equivalent) per million inhabitants,,,,,European Economic Area nationality,,Per million population,Units,Normal value,,15871.8
2013,Researchers (in full-time equivalent) per million inhabitants,,,,,European Economic Area nationality,,Per million population,Units,Normal value,,15387.5
2014,Researchers (in full-time equivalent) per million inhabitants,,,,,European Economic Area nationality,,Per million population,Units,Normal value,,16600.7
2015,Researchers (in full-time equivalent) per million inhabitants,,,,,European Economic Area nationality,,Per million population,Units,Normal value,,16033.3
2016,Researchers (in full-time equivalent) per million inhabitants,,,,,European Economic Area nationality,,Per million population,Units,Normal value,,17210.2
2017,Researchers (in full-time equivalent) per million inhabitants,,,,,European Economic Area nationality,,Per million population,Units,Normal value,,16748.1
2012,Researchers (in full-time equivalent) per million inhabitants,,,,,Other nationality,,Per million population,Units,Normal value,,13121.0
2013,Researchers (in full-time equivalent) per million inhabitants,,,,,Other nationality,,Per million population,Units,Normal value,,14672.5
2014,Researchers (in full-time equivalent) per million inhabitants,,,,,Other nationality,,Per million population,Units,Normal value,,17891.0
2015,Researchers (in full-time equivalent) per million inhabitants,,,,,Other nationality,,Per million population,Units,Normal value,,20786.6
2016,Researchers (in full-time equivalent) per million inhabitants,,,,,Other nationality,,Per million population,Units,Normal value,,19958.5
2017,Researchers (in full-time equivalent) per million inhabitants,,,,,Other nationality,,Per million population,Units,Normal value,,16571.2
2012,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,8302.9
2013,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,8546.2
2014,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,9369.7
2015,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,9946.7
2016,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,9877.9
2017,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,9824.2
2000,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,2893.16262
2001,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,3079.38906
2002,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,3338.94652
2003,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,3636.94298
2004,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,3823.53551
2005,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4123.61395
2006,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4177.58715
2007,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4113.85164
2008,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4058.42521
2009,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4083.44176
2010,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4053.03668
2011,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,3939.04069
2012,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,3986.84956
2013,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4141.30419
2014,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4254.10877
2015,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4350.08719
2016,Researchers (in full-time equivalent) per million inhabitants,,,,,,,Per million population,Units,Normal value,,4429.5838
