Year,Series,LDCs bilateral and multilateral flows,Observation status,Unit multiplier,Units,Value
1998,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.27
1999,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.24
2000,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.32
2001,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.32
2002,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.31
2003,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.34
2004,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.36
2005,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.47
2006,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.51
2007,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.36
2008,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.43
2009,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.51
2010,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.57
2011,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.56
2012,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.56
2013,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.7
2014,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.7
2015,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.7
2016,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.7
2017,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.7
2018,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.7
2019,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.7
2020,Net official development assistance (ODA) as a percentage of GNI,,Normal value,Units,Percentage (%),0.7
2012,Net official development assistance (ODA) to LDCs as a percentage of GNI,,Definition differs,Units,Percentage (%),0.122852138
2013,Net official development assistance (ODA) to LDCs as a percentage of GNI,,Definition differs,Units,Percentage (%),0.13987969
2014,Net official development assistance (ODA) to LDCs as a percentage of GNI,,Definition differs,Units,Percentage (%),0.13795138
2015,Net official development assistance (ODA) to LDCs as a percentage of GNI,,Definition differs,Units,Percentage (%),0.14539557
2016,Net official development assistance (ODA) to LDCs as a percentage of GNI,,Definition differs,Units,Percentage (%),0.123164315
2017,Net official development assistance (ODA) to LDCs as a percentage of GNI,,Definition differs,Units,Percentage (%),0.128113284
2018,Net official development assistance (ODA) to LDCs as a percentage of GNI,,Definition differs,Units,Percentage (%),0.114844701
2019,Net official development assistance (ODA) to LDCs as a percentage of GNI,,Definition differs,Units,Percentage (%),0.126240582
2012,Net official development assistance (ODA) to LDCs as a percentage of GNI,Least developed countries (bilateral and imputed multilateral),Normal value,Units,Percentage (%),0.188706417
2013,Net official development assistance (ODA) to LDCs as a percentage of GNI,Least developed countries (bilateral and imputed multilateral),Normal value,Units,Percentage (%),0.245567392
2014,Net official development assistance (ODA) to LDCs as a percentage of GNI,Least developed countries (bilateral and imputed multilateral),Normal value,Units,Percentage (%),0.238289753
2015,Net official development assistance (ODA) to LDCs as a percentage of GNI,Least developed countries (bilateral and imputed multilateral),Normal value,Units,Percentage (%),0.233142777
2016,Net official development assistance (ODA) to LDCs as a percentage of GNI,Least developed countries (bilateral and imputed multilateral),Normal value,Units,Percentage (%),0.21713115
2017,Net official development assistance (ODA) to LDCs as a percentage of GNI,Least developed countries (bilateral and imputed multilateral),Normal value,Units,Percentage (%),0.229597004
2018,Net official development assistance (ODA) to LDCs as a percentage of GNI,Least developed countries (bilateral and imputed multilateral),Normal value,Units,Percentage (%),0.224279244
