Year,Series,Country,Country of birth,Ethnic group,Region,Observation status,Unit multiplier,Units,GeoCode,Value
2019,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,8.4
2000,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.1
2001,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.3
2002,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.2
2003,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.8
2004,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.0
2005,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.0
2006,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.9
2007,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.0
2008,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.2
2009,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.2
2010,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.0
2011,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.3
2012,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.4
2013,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,4.0
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.8
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.3
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.1
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.1
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.7
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.6
2000,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,79.6
2001,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,79.1
2002,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,90.5
2003,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,90.8
2004,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,95.2
2005,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,100.0
2006,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,92.9
2007,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,85.5
2008,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,86.0
2009,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,86.8
2010,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,83.1
2011,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,85.9
2012,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,81.4
2013,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,70.6
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,60.2
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,51.3
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,49.4
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,41.3
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,39.1
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,,,Normal value,Units,"Rate per 100,000 population",E92000001,39.5
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,1.7
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,15.7
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,15.7
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,12.9
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,5.5
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,13.4
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,14.3
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,19.5
2019,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,4.7
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,10.3
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,93.8
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,96.5
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,55.8
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,27.0
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,91.7
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,18.7
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,69.2
2019,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,41.7
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,1.9
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,16.6
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,15.6
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,7.8
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,3.8
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,16.7
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,17.9
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,15.7
2018,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,4.1
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,11.0
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,98.0
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,95.1
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,59.7
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,23.0
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,89.5
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,13.2
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,65.8
2018,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,37.0
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,2.6
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,19.4
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,28.5
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,14.0
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,9.8
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,27.5
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,21.3
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,39.5
2014,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,7.2
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,9.1
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,171.6
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,164.8
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,112.0
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,37.9
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,132.6
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,27.3
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,119.2
2014,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,54.2
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,2.2
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,20.8
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,23.2
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,14.2
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,6.6
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,21.2
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,21.7
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,42.1
2015,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,6.1
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,10.8
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,133.9
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,131.5
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,107.7
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,26.4
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,102.3
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,24.0
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,118.1
2015,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,50.0
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,2.1
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,19.3
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,20.5
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,12.6
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,6.5
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,18.6
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,18.8
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,28.9
2016,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,5.4
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,11.0
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,131.3
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,134.2
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,75.2
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,25.3
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,127.4
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,27.6
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,84.4
2016,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,45.3
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,2.2
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,16.0
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,18.3
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,10.5
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,2.8
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,18.0
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,20.4
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,19.2
2017,"Number of tuberculosis case notifications per 100,000 population",England,Born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,4.9
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,White,,Normal value,Units,"Rate per 100,000 population",E92000001,10.1
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Indian,,Normal value,Units,"Rate per 100,000 population",E92000001,105.1
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Pakistani,,Normal value,Units,"Rate per 100,000 population",E92000001,103.8
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Bangledeshi,,Normal value,Units,"Rate per 100,000 population",E92000001,53.9
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Chinese,,Normal value,Units,"Rate per 100,000 population",E92000001,25.5
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Caribbean,,Normal value,Units,"Rate per 100,000 population",E92000001,22.4
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black African,,Normal value,Units,"Rate per 100,000 population",E92000001,93.1
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Black Other,,Normal value,Units,"Rate per 100,000 population",E92000001,56.2
2017,"Number of tuberculosis case notifications per 100,000 population",England,Not born in UK,Mixed/Other,,Normal value,Units,"Rate per 100,000 population",E92000001,39.8
2000,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.4
2001,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.4
2002,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.9
2003,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.3
2004,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,4.7
2005,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,4.3
2006,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.5
2007,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.9
2008,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.7
2009,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.3
2010,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.7
2011,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.4
2012,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,4.8
2013,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,4.0
2014,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,5.2
2015,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.3
2016,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,4.6
2017,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.7
2018,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,2.8
2019,"Number of tuberculosis case notifications per 100,000 population",Northern Ireland,,,,Normal value,Units,"Rate per 100,000 population",N92000002,3.7
2000,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,8.0
2001,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,6.9
2002,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,7.8
2003,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,7.2
2004,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,7.7
2005,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,7.1
2006,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,7.4
2007,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,7.9
2008,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,8.6
2009,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,9.3
2010,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,9.6
2011,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,8.4
2012,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,7.6
2013,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,7.3
2014,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,6.5
2015,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,5.9
2016,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,5.7
2017,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,5.4
2018,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,5.0
2019,"Number of tuberculosis case notifications per 100,000 population",Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,4.3
2000,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,6.3
2001,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,6.3
