Year,Series,Educational measure,Education indicator,Observation status,Unit multiplier,Units,Value
2017,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.04902
2009,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.95275
2010,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.95689
2011,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.96397
2012,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.97006
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.94759
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.96257
2017,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.98847
2013,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in early childhood educational development,Normal value,Units,Ratio,1.00945
2014,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in early childhood educational development,Normal value,Units,Ratio,0.98344
2015,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in early childhood educational development,Normal value,Units,Ratio,0.95633
2016,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in early childhood educational development,Normal value,Units,Ratio,0.97785
2017,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in early childhood educational development,Normal value,Units,Ratio,0.98703
2000,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.00071
2001,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,0.99739
2002,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.00243
2003,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.00522
2004,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.00235
2005,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.02604
2006,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.02715
2007,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.02892
2008,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.01984
2009,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.01455
2010,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.03965
2011,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.00418
2012,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,1.00699
2013,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,0.95376
2014,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,0.99837
2015,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,0.96007
2016,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,0.99885
2017,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,Normal value,Units,Ratio,0.99802
2000,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.18398
2001,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.21694
2002,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.26039
2003,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.3033
2004,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.37352
2005,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.39014
2006,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.40568
2007,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.39366
2008,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.38575
2009,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.36537
2010,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.33855
2011,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.32599
2012,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.32881
2013,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.32115
2014,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.31874
2015,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.33126
2016,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.34541
2017,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,Normal value,Units,Ratio,1.36112
2006,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,1.02715
2007,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,1.02892
2008,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,1.01984
2011,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,1.00418
2012,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,1.00699
2013,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,0.96322
2014,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,0.99741
2015,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,0.95999
2016,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,0.99559
2017,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",Normal value,Units,Ratio,0.99666
2017,Gender Parity Index (GPI),Gross intake ratio,Gross intake ratio to the last grade of lower secondary general education,Normal value,Units,Ratio,0.99587
2015,Gender Parity Index (GPI),Gross intake ratio,Gross intake ratio to the last grade of primary education,Normal value,Units,Ratio,0.99764
2016,Gender Parity Index (GPI),Gross intake ratio,Gross intake ratio to the last grade of primary education,Normal value,Units,Ratio,0.99885
2017,Gender Parity Index (GPI),Gross intake ratio,Gross intake ratio to the last grade of primary education,Normal value,Units,Ratio,0.99765
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.76935
2001,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.75754
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.61605
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.4726
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.32329
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.27796
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.5321
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.64953
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.69361
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.69274
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.72858
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.86959
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.95768
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.87429
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.65993
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.53862
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.65146
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.86253
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.82816
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.14347
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.65582
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.84309
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.91802
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.99075
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,1.00931
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,1.03363
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,1.07132
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.62364
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.24522
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.00681
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.50293
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.19069
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.73326
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.97086
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.09631
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.04921
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.93561
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.00121
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.12345
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.13726
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.19397
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.56884
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.57757
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.19771
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.57602
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.02508
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.79095
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.4598
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.27772
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.81116
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.0813
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.06107
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.02568
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.94401
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.02377
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.6051
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.38308
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.49091
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.76448
2001,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.74593
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.61458
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.46202
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.37878
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.27721
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.51391
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.67817
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.73405
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.76641
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.79578
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.88317
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.96596
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.91567
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.73979
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.62125
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.75917
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.9785
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.76539
2001,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.78313
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.66059
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.50397
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.35042
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.30169
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.58929
