Year,Units,Waste type,Sector,Local Authority Waste Disposal,Observation status,Unit multiplier,Unit measure,Value
2011,Food only (per capita),Supply Chain,Manufacturing,,Undefined,Units,Kg per capita,16.9
2011,Food and inedible waste (per capita),Supply Chain,Manufacturing,,Undefined,Units,Kg per capita,30.0
2015,Food only (per capita),Supply Chain,Manufacturing,,Undefined,Units,Kg per capita,13.8
2015,Food and inedible waste (per capita),Supply Chain,Manufacturing,,Undefined,Units,Kg per capita,25.6
2018,Food only (per capita),Supply Chain,Manufacturing,,Undefined,Units,Kg per capita,11.6
2018,Food and inedible waste (per capita),Supply Chain,Manufacturing,,Undefined,Units,Kg per capita,22.7
2009,Food only (per capita),Supply Chain,Retail,,Undefined,Units,Kg per capita,4.7
2009,Food and inedible waste (per capita),Supply Chain,Retail,,Undefined,Units,Kg per capita,4.7
2015,Food only (per capita),Supply Chain,Retail,,Undefined,Units,Kg per capita,4.0
2015,Food and inedible waste (per capita),Supply Chain,Retail,,Undefined,Units,Kg per capita,4.0
2018,Food only (per capita),Supply Chain,Retail,,Undefined,Units,Kg per capita,4.2
2018,Food and inedible waste (per capita),Supply Chain,Retail,,Undefined,Units,Kg per capita,4.2
2011,Food only (per capita),Supply Chain,Hospitality and Food Service,,Undefined,Units,Kg per capita,10.7
2011,Food and inedible waste (per capita),Supply Chain,Hospitality and Food Service,,Undefined,Units,Kg per capita,14.5
2015,Food only (per capita),Supply Chain,Hospitality and Food Service,,Undefined,Units,Kg per capita,11.6
2015,Food and inedible waste (per capita),Supply Chain,Hospitality and Food Service,,Undefined,Units,Kg per capita,15.7
2018,Food only (per capita),Supply Chain,Hospitality and Food Service,,Undefined,Units,Kg per capita,12.2
2018,Food and inedible waste (per capita),Supply Chain,Hospitality and Food Service,,Undefined,Units,Kg per capita,16.5
2007,Food only (tonnes),,,,Undefined,Units,Tonnes,8165000.0
2007,Food and inedible waste (tonnes),,,,Undefined,Units,Tonnes,11195000.0
2015,Food only (tonnes),,,,Undefined,Units,Tonnes,6910000.0
2015,Food and inedible waste (tonnes),,,,Undefined,Units,Tonnes,10001000.0
2018,Food only (tonnes),,,,Undefined,Units,Tonnes,6408000.0
2018,Food and inedible waste (tonnes),,,,Undefined,Units,Tonnes,9525000.0
2015,Food and inedible waste (tonnes),,,All Local Authority Collected,Undefined,Units,Tonnes,4900000.0
2015,Food and inedible waste (tonnes),,,Residual Waste,Undefined,Units,Tonnes,4120000.0
2015,Food and inedible waste (tonnes),,,Organics Collection,Undefined,Units,Tonnes,639000.0
2015,Food and inedible waste (tonnes),,,Other,Undefined,Units,Tonnes,140000.0
2015,Food and inedible waste (tonnes),,,Disposed to Sewer,Undefined,Units,Tonnes,1640000.0
2015,Food and inedible waste (tonnes),,,Home Composted,Undefined,Units,Tonnes,518000.0
2018,Food and inedible waste (tonnes),,,All Local Authority Collected,Undefined,Units,Tonnes,4580000.0
2018,Food and inedible waste (tonnes),,,Residual Waste,Undefined,Units,Tonnes,3640000.0
2018,Food and inedible waste (tonnes),,,Organics Collection,Undefined,Units,Tonnes,777000.0
2018,Food and inedible waste (tonnes),,,Other,Undefined,Units,Tonnes,166000.0
2018,Food and inedible waste (tonnes),,,Disposed to Sewer,Undefined,Units,Tonnes,1530000.0
2018,Food and inedible waste (tonnes),,,Home Composted,Undefined,Units,Tonnes,528000.0
2007,Food only (tonnes),Household,,,Undefined,Units,Tonnes,6125000.0
2007,Inedible only (tonnes),Household,,,Undefined,Units,Tonnes,1961000.0
2007,Food and inedible waste (tonnes),Household,,,Undefined,Units,Tonnes,8085000.0
2010,Food only (tonnes),Household,,,Undefined,Units,Tonnes,4857000.0
2010,Inedible only (tonnes),Household,,,Undefined,Units,Tonnes,1991000.0
2010,Food and inedible waste (tonnes),Household,,,Undefined,Units,Tonnes,6849000.0
2012,Food only (tonnes),Household,,,Undefined,Units,Tonnes,4735000.0
2012,Inedible only (tonnes),Household,,,Undefined,Units,Tonnes,2011000.0
2012,Food and inedible waste (tonnes),Household,,,Undefined,Units,Tonnes,6746000.0
2014,Food only (tonnes),Household,,,Undefined,Units,Tonnes,5058000.0
2014,Inedible only (tonnes),Household,,,Undefined,Units,Tonnes,2039000.0
2014,Food and inedible waste (tonnes),Household,,,Undefined,Units,Tonnes,7097000.0
2015,Food only (tonnes),Household,,,Undefined,Units,Tonnes,4995000.0
2015,Inedible only (tonnes),Household,,,Undefined,Units,Tonnes,2055000.0
2015,Food and inedible waste (tonnes),Household,,,Undefined,Units,Tonnes,7050000.0
2017,Food only (tonnes),Household,,,Undefined,Units,Tonnes,5081000.0
2017,Inedible only (tonnes),Household,,,Undefined,Units,Tonnes,2084000.0
2017,Food and inedible waste (tonnes),Household,,,Undefined,Units,Tonnes,7166000.0
2018,Food only (tonnes),Household,,,Undefined,Units,Tonnes,4549000.0
2018,Inedible only (tonnes),Household,,,Undefined,Units,Tonnes,2097000.0
2018,Food and inedible waste (tonnes),Household,,,Undefined,Units,Tonnes,6646000.0
2011,Food only (tonnes),Supply Chain,,,Undefined,Units,Tonnes,2040000.0
2011,Food and inedible waste (tonnes),Supply Chain,,,Undefined,Units,Tonnes,3110000.0
2015,Food only (tonnes),Supply Chain,,,Undefined,Units,Tonnes,1914000.0
2015,Food and inedible waste (tonnes),Supply Chain,,,Undefined,Units,Tonnes,2951000.0
2018,Food only (tonnes),Supply Chain,,,Undefined,Units,Tonnes,1859000.0
2018,Food and inedible waste (tonnes),Supply Chain,,,Undefined,Units,Tonnes,2880000.0
2011,Food only (tonnes),Supply Chain,Manufacturing,,Undefined,Units,Tonnes,1070000.0
2011,Food and inedible waste (tonnes),Supply Chain,Manufacturing,,Undefined,Units,Tonnes,1900000.0
2015,Food only (tonnes),Supply Chain,Manufacturing,,Undefined,Units,Tonnes,898000.0
2015,Food and inedible waste (tonnes),Supply Chain,Manufacturing,,Undefined,Units,Tonnes,1668000.0
2018,Food only (tonnes),Supply Chain,Manufacturing,,Undefined,Units,Tonnes,770000.0
2018,Food and inedible waste (tonnes),Supply Chain,Manufacturing,,Undefined,Units,Tonnes,1505000.0
2009,Food only (tonnes),Supply Chain,Retail,,Undefined,Units,Tonnes,290000.0
2009,Food and inedible waste (tonnes),Supply Chain,Retail,,Undefined,Units,Tonnes,290000.0
2015,Food only (tonnes),Supply Chain,Retail,,Undefined,Units,Tonnes,261000.0
2015,Food and inedible waste (tonnes),Supply Chain,Retail,,Undefined,Units,Tonnes,261000.0
2018,Food only (tonnes),Supply Chain,Retail,,Undefined,Units,Tonnes,277000.0
2018,Food and inedible waste (tonnes),Supply Chain,Retail,,Undefined,Units,Tonnes,277000.0
2011,Food only (tonnes),Supply Chain,Hospitality and Food Service,,Undefined,Units,Tonnes,680000.0
2011,Food and inedible waste (tonnes),Supply Chain,Hospitality and Food Service,,Undefined,Units,Tonnes,920000.0
2015,Food only (tonnes),Supply Chain,Hospitality and Food Service,,Undefined,Units,Tonnes,755000.0
2015,Food and inedible waste (tonnes),Supply Chain,Hospitality and Food Service,,Undefined,Units,Tonnes,1022000.0
2018,Food only (tonnes),Supply Chain,Hospitality and Food Service,,Undefined,Units,Tonnes,812000.0
2018,Food and inedible waste (tonnes),Supply Chain,Hospitality and Food Service,,Undefined,Units,Tonnes,1098000.0
