Year,Units,Origin of tourist,Type of tourist,Type of expenditure,Unit measure,Unit multiplier,Observation status,Value
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-5.48303
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,-13.725489999999999
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-13.450289999999999
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,-0.07874
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,8.33333
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-18.181820000000002
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Cultural activities,Percentage change (%),Units,Undefined,-9.523810000000001
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-12.5
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-30.76923
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,-8.6558
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,-3.48159
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,12.01332
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-7.2469600000000005
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,14.20987
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,21.23449
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,-10.794410000000001
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,17.614539999999998
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,19.20896
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Cultural activities,Percentage change (%),Units,Undefined,9.65605
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,16.64508
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-4.55224
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,11.97668
2015,Percentage change (%),Inbound,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,-3.71182
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,-4.42359
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,9.4825
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,-3.35695
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-36.00544
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,-4.6948300000000005
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,2.39785
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-4.73355
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Cultural activities,Percentage change (%),Units,Undefined,-4.0179800000000006
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-2.02793
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,40.265370000000004
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,7.311539999999999
2016,Percentage change (%),Inbound,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,-3.5653699999999997
2014,Percentage change (%),Inbound,,Accommodation services for visitors,Percentage change (%),Units,Undefined,1.7398200000000001
2014,Percentage change (%),Inbound,,Food and beverage serving activities,Percentage change (%),Units,Undefined,1.7318900000000002
2014,Percentage change (%),Inbound,,Railway passenger transport services,Percentage change (%),Units,Undefined,-2.83429
2014,Percentage change (%),Inbound,,Road passenger transport services,Percentage change (%),Units,Undefined,0.34253
2014,Percentage change (%),Inbound,,Water passenger transport services,Percentage change (%),Units,Undefined,-5.17849
2014,Percentage change (%),Inbound,,Air passenger transport services,Percentage change (%),Units,Undefined,0.0457
2014,Percentage change (%),Inbound,,Transport equipment rental services,Percentage change (%),Units,Undefined,24.76266
2014,Percentage change (%),Inbound,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-2.0499099999999997
2014,Percentage change (%),Inbound,,Cultural activities,Percentage change (%),Units,Undefined,1.49728
2014,Percentage change (%),Inbound,,Sport and recreation activities,Percentage change (%),Units,Undefined,-1.23384
2014,Percentage change (%),Inbound,,Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-22.713639999999998
2014,Percentage change (%),Inbound,,Other consumption products,Percentage change (%),Units,Undefined,4.21169
2014,Percentage change (%),Inbound,,,Percentage change (%),Units,Undefined,2.23707
2015,Percentage change (%),Inbound,,Accommodation services for visitors,Percentage change (%),Units,Undefined,1.10651
2015,Percentage change (%),Inbound,,Food and beverage serving activities,Percentage change (%),Units,Undefined,1.03037
2015,Percentage change (%),Inbound,,Railway passenger transport services,Percentage change (%),Units,Undefined,-3.9224900000000003
2015,Percentage change (%),Inbound,,Road passenger transport services,Percentage change (%),Units,Undefined,1.76447
2015,Percentage change (%),Inbound,,Water passenger transport services,Percentage change (%),Units,Undefined,-2.40893
2015,Percentage change (%),Inbound,,Air passenger transport services,Percentage change (%),Units,Undefined,0.30551999999999996
2015,Percentage change (%),Inbound,,Transport equipment rental services,Percentage change (%),Units,Undefined,3.5309800000000005
2015,Percentage change (%),Inbound,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,4.24406
2015,Percentage change (%),Inbound,,Cultural activities,Percentage change (%),Units,Undefined,-0.54701
2015,Percentage change (%),Inbound,,Sport and recreation activities,Percentage change (%),Units,Undefined,3.7347699999999997
2015,Percentage change (%),Inbound,,Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-11.02926
2015,Percentage change (%),Inbound,,Other consumption products,Percentage change (%),Units,Undefined,0.92406
2015,Percentage change (%),Inbound,,,Percentage change (%),Units,Undefined,0.7687
2016,Percentage change (%),Inbound,,Accommodation services for visitors,Percentage change (%),Units,Undefined,-3.9273800000000003
2016,Percentage change (%),Inbound,,Food and beverage serving activities,Percentage change (%),Units,Undefined,-3.89735
2016,Percentage change (%),Inbound,,Railway passenger transport services,Percentage change (%),Units,Undefined,-1.08817
2016,Percentage change (%),Inbound,,Road passenger transport services,Percentage change (%),Units,Undefined,-2.82483
2016,Percentage change (%),Inbound,,Water passenger transport services,Percentage change (%),Units,Undefined,-33.31049
2016,Percentage change (%),Inbound,,Air passenger transport services,Percentage change (%),Units,Undefined,-3.23394
2016,Percentage change (%),Inbound,,Transport equipment rental services,Percentage change (%),Units,Undefined,2.96165
2016,Percentage change (%),Inbound,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-4.20901
2016,Percentage change (%),Inbound,,Cultural activities,Percentage change (%),Units,Undefined,-3.4895
2016,Percentage change (%),Inbound,,Sport and recreation activities,Percentage change (%),Units,Undefined,-1.4884899999999999
2016,Percentage change (%),Inbound,,Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,41.03767
2016,Percentage change (%),Inbound,,Other consumption products,Percentage change (%),Units,Undefined,7.9024
2016,Percentage change (%),Inbound,,,Percentage change (%),Units,Undefined,0.9139799999999999
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,2.5255400000000003
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,-1.1880700000000002
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-11.25457
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,4.13845
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-62.36179
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,100.2149
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,-11.24576
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,0.24195
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Cultural activities,Percentage change (%),Units,Undefined,-1.84657
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-13.48099
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-32.69877
2014,Percentage change (%),Domestic,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,-9.24279
2014,Percentage change (%),Domestic,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,-2.3732
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,6.23824
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,14.80928
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,6.73849
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,2.1229299999999998
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,5.12707
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,8.96013
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,1.22227
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,4.3001
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Cultural activities,Percentage change (%),Units,Undefined,10.95204
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,10.96517
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-4.02571
2015,Percentage change (%),Domestic,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,8.90305
2015,Percentage change (%),Domestic,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,8.820730000000001
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,1.51651
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,-7.635660000000001
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-11.529580000000001
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,-89.0601
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,192.8539
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,4.61423
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,-25.758210000000002
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-21.84711
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Cultural activities,Percentage change (%),Units,Undefined,-5.24236
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-12.07519
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,16.065520000000003
2016,Percentage change (%),Domestic,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,-11.202810000000001
2016,Percentage change (%),Domestic,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,-6.06115
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,-4.89754
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,3.00314
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,-19.85751
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-76.04611
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,-25.44882
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,-7.87022
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-36.647729999999996
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Cultural activities,Percentage change (%),Units,Undefined,-30.70157
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,70.14443
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-70.45827
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,8.40099
2014,Percentage change (%),Domestic,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,-0.48899
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,0.19758
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,0.19809000000000002
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,0.19967000000000001
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,0.184
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,0.20975
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,0.20618000000000003
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,0.17984
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Cultural activities,Percentage change (%),Units,Undefined,0.1981
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,0.19838
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,0.17021
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,0.19737000000000002
2015,Percentage change (%),Domestic,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,0.19744
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,16.4981
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,9.37076
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,-89.70437
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,151.23191
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,237.13712
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,273.94271000000003
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,618.9586400000001
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Cultural activities,Percentage change (%),Units,Undefined,109.74823
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-23.18121
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,168.6595
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,31.164740000000002
2016,Percentage change (%),Domestic,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,27.65772
2014,Percentage change (%),Domestic,,Accommodation services for visitors,Percentage change (%),Units,Undefined,2.5255400000000003
2014,Percentage change (%),Domestic,,Food and beverage serving activities,Percentage change (%),Units,Undefined,-4.2394099999999995
2014,Percentage change (%),Domestic,,Railway passenger transport services,Percentage change (%),Units,Undefined,-0.77976
2014,Percentage change (%),Domestic,,Road passenger transport services,Percentage change (%),Units,Undefined,-15.833960000000001
2014,Percentage change (%),Domestic,,Water passenger transport services,Percentage change (%),Units,Undefined,-72.72531
2014,Percentage change (%),Domestic,,Air passenger transport services,Percentage change (%),Units,Undefined,17.36425
2014,Percentage change (%),Domestic,,Transport equipment rental services,Percentage change (%),Units,Undefined,-9.21561
2014,Percentage change (%),Domestic,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-8.97901
2014,Percentage change (%),Domestic,,Cultural activities,Percentage change (%),Units,Undefined,-25.83258
2014,Percentage change (%),Domestic,,Sport and recreation activities,Percentage change (%),Units,Undefined,54.88686
2014,Percentage change (%),Domestic,,Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-63.08401
2014,Percentage change (%),Domestic,,Other consumption products,Percentage change (%),Units,Undefined,3.7682900000000004
2014,Percentage change (%),Domestic,,,Percentage change (%),Units,Undefined,-1.06902
2015,Percentage change (%),Domestic,,Accommodation services for visitors,Percentage change (%),Units,Undefined,6.23824
2015,Percentage change (%),Domestic,,Food and beverage serving activities,Percentage change (%),Units,Undefined,2.87261
2015,Percentage change (%),Domestic,,Railway passenger transport services,Percentage change (%),Units,Undefined,1.7514900000000002
2015,Percentage change (%),Domestic,,Road passenger transport services,Percentage change (%),Units,Undefined,0.59868
2015,Percentage change (%),Domestic,,Water passenger transport services,Percentage change (%),Units,Undefined,1.88425
2015,Percentage change (%),Domestic,,Air passenger transport services,Percentage change (%),Units,Undefined,5.29549
2015,Percentage change (%),Domestic,,Transport equipment rental services,Percentage change (%),Units,Undefined,0.6021
2015,Percentage change (%),Domestic,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,3.5832699999999997
2015,Percentage change (%),Domestic,,Cultural activities,Percentage change (%),Units,Undefined,2.60023
2015,Percentage change (%),Domestic,,Sport and recreation activities,Percentage change (%),Units,Undefined,1.29386
2015,Percentage change (%),Domestic,,Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-1.26864
2015,Percentage change (%),Domestic,,Other consumption products,Percentage change (%),Units,Undefined,2.1964099999999998
2015,Percentage change (%),Domestic,,,Percentage change (%),Units,Undefined,2.81704
2016,Percentage change (%),Domestic,,Accommodation services for visitors,Percentage change (%),Units,Undefined,1.51651
2016,Percentage change (%),Domestic,,Food and beverage serving activities,Percentage change (%),Units,Undefined,11.567160000000001
2016,Percentage change (%),Domestic,,Railway passenger transport services,Percentage change (%),Units,Undefined,4.16346
2016,Percentage change (%),Domestic,,Road passenger transport services,Percentage change (%),Units,Undefined,-89.56868
2016,Percentage change (%),Domestic,,Water passenger transport services,Percentage change (%),Units,Undefined,165.66053
2016,Percentage change (%),Domestic,,Air passenger transport services,Percentage change (%),Units,Undefined,97.29095
2016,Percentage change (%),Domestic,,Transport equipment rental services,Percentage change (%),Units,Undefined,156.44214
2016,Percentage change (%),Domestic,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,85.97536
2016,Percentage change (%),Domestic,,Cultural activities,Percentage change (%),Units,Undefined,81.97166999999999
2016,Percentage change (%),Domestic,,Sport and recreation activities,Percentage change (%),Units,Undefined,-21.94099
2016,Percentage change (%),Domestic,,Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,115.6898
2016,Percentage change (%),Domestic,,Other consumption products,Percentage change (%),Units,Undefined,20.797620000000002
2016,Percentage change (%),Domestic,,,Percentage change (%),Units,Undefined,16.81641
2014,Percentage change (%),Outbound,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,10.25724
2014,Percentage change (%),Outbound,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,5.250430000000001
2014,Percentage change (%),Outbound,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,5.797630000000001
2014,Percentage change (%),Outbound,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,5.54356
2014,Percentage change (%),Outbound,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,12.18367
2014,Percentage change (%),Outbound,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,2.38806
2014,Percentage change (%),Outbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,0.0
2014,Percentage change (%),Outbound,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,8.72074
2014,Percentage change (%),Outbound,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,4.20472
2015,Percentage change (%),Outbound,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,11.21927
2015,Percentage change (%),Outbound,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,15.18256
2015,Percentage change (%),Outbound,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,2.10478
2015,Percentage change (%),Outbound,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,13.55098
2015,Percentage change (%),Outbound,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-14.04052
2015,Percentage change (%),Outbound,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,3.7280900000000003
2015,Percentage change (%),Outbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,7.27572
2015,Percentage change (%),Outbound,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,10.1768
2015,Percentage change (%),Outbound,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,5.8468800000000005
