Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,Value
2010/11,Number of people in treatment,Barnet,,Units,Count,415
2011/12,Number of people in treatment,Barnet,,Units,Count,405
2012/13,Number of people in treatment,Barnet,,Units,Count,595
2013/14,Number of people in treatment,Barnet,,Units,Count,680
2014/15,Number of people in treatment,Barnet,,Units,Count,595
2015/16,Number of people in treatment,Barnet,,Units,Count,525
2016/17,Number of people in treatment,Barnet,,Units,Count,390
2017/18,Number of people in treatment,Barnet,,Units,Count,415
2018/19,Number of people in treatment,Barnet,,Units,Count,389
2018/19,Number of people in treatment,Barnet,,Units,Count,390
2010/11,Estimated prevalence,Barnsley,,Units,Number,3454
2011/12,Estimated prevalence,Barnsley,,Units,Number,3472
2012/13,Estimated prevalence,Barnsley,,Units,Number,3475
2013/14,Estimated prevalence,Barnsley,,Units,Number,3549
2014/15,Estimated prevalence,Barnsley,,Units,Number,3555
2015/16,Estimated prevalence,Barnsley,,Units,Number,3597
2016/17,Estimated prevalence,Barnsley,,Units,Number,3458
2017/18,Estimated prevalence,Barnsley,,Units,Number,3551
2018/19,Estimated prevalence,Barnsley,,Units,Number,3535.333333
2010/11,Met need (%),Barnsley,,Units,Percentage (%),17.95020266
2011/12,Met need (%),Barnsley,,Units,Percentage (%),24.62557604
2012/13,Met need (%),Barnsley,,Units,Percentage (%),27.3381295
2013/14,Met need (%),Barnsley,,Units,Percentage (%),24.37306283
2014/15,Met need (%),Barnsley,,Units,Percentage (%),19.12798875
2015/16,Met need (%),Barnsley,,Units,Percentage (%),15.98554351
2016/17,Met need (%),Barnsley,,Units,Percentage (%),13.15789474
2017/18,Met need (%),Barnsley,,Units,Percentage (%),14.64376232
2018/19,Met need (%),Barnsley,,Units,Percentage (%),11.85178201
2010/11,Number of people in treatment,Barnsley,,Units,Count,620
2011/12,Number of people in treatment,Barnsley,,Units,Count,855
2012/13,Number of people in treatment,Barnsley,,Units,Count,950
2013/14,Number of people in treatment,Barnsley,,Units,Count,865
2014/15,Number of people in treatment,Barnsley,,Units,Count,680
2015/16,Number of people in treatment,Barnsley,,Units,Count,575
2016/17,Number of people in treatment,Barnsley,,Units,Count,455
2017/18,Number of people in treatment,Barnsley,,Units,Count,520
2018/19,Number of people in treatment,Barnsley,,Units,Count,419
2018/19,Number of people in treatment,Barnsley,,Units,Count,420
2010/11,Estimated prevalence,Bath and North East Somerset,,Units,Number,1667
2011/12,Estimated prevalence,Bath and North East Somerset,,Units,Number,1667
2012/13,Estimated prevalence,Bath and North East Somerset,,Units,Number,1682
2013/14,Estimated prevalence,Bath and North East Somerset,,Units,Number,1732
2014/15,Estimated prevalence,Bath and North East Somerset,,Units,Number,1719
2015/16,Estimated prevalence,Bath and North East Somerset,,Units,Number,1783
2016/17,Estimated prevalence,Bath and North East Somerset,,Units,Number,1732
2017/18,Estimated prevalence,Bath and North East Somerset,,Units,Number,1815
2018/19,Estimated prevalence,Bath and North East Somerset,,Units,Number,1776.666667
2010/11,Met need (%),Bath and North East Somerset,,Units,Percentage (%),23.99520096
2011/12,Met need (%),Bath and North East Somerset,,Units,Percentage (%),24.29514097
2012/13,Met need (%),Bath and North East Somerset,,Units,Percentage (%),28.24019025
2013/14,Met need (%),Bath and North East Somerset,,Units,Percentage (%),30.02309469
2014/15,Met need (%),Bath and North East Somerset,,Units,Percentage (%),25.88714369
2015/16,Met need (%),Bath and North East Somerset,,Units,Percentage (%),22.99495233
2016/17,Met need (%),Bath and North East Somerset,,Units,Percentage (%),19.34180139
2017/18,Met need (%),Bath and North East Somerset,,Units,Percentage (%),18.73278237
2018/19,Met need (%),Bath and North East Somerset,,Units,Percentage (%),21.89493433
2010/11,Number of people in treatment,Bath and North East Somerset,,Units,Count,400
2011/12,Number of people in treatment,Bath and North East Somerset,,Units,Count,405
2012/13,Number of people in treatment,Bath and North East Somerset,,Units,Count,475
2013/14,Number of people in treatment,Bath and North East Somerset,,Units,Count,520
2014/15,Number of people in treatment,Bath and North East Somerset,,Units,Count,445
2015/16,Number of people in treatment,Bath and North East Somerset,,Units,Count,410
2016/17,Number of people in treatment,Bath and North East Somerset,,Units,Count,335
2017/18,Number of people in treatment,Bath and North East Somerset,,Units,Count,340
2018/19,Number of people in treatment,Bath and North East Somerset,,Units,Count,389
2018/19,Number of people in treatment,Bath and North East Somerset,,Units,Count,390
2010/11,Estimated prevalence,Bedford,,Units,Number,1434
2011/12,Estimated prevalence,Bedford,,Units,Number,1431
2012/13,Estimated prevalence,Bedford,,Units,Number,1435
2013/14,Estimated prevalence,Bedford,,Units,Number,1455
2014/15,Estimated prevalence,Bedford,,Units,Number,1443
2015/16,Estimated prevalence,Bedford,,Units,Number,1685
2016/17,Estimated prevalence,Bedford,,Units,Number,1546
2017/18,Estimated prevalence,Bedford,,Units,Number,1474
2018/19,Estimated prevalence,Bedford,,Units,Number,1568.333333
2012/13,Met need (%),Bedford,,Units,Percentage (%),20.90592334
2013/14,Met need (%),Bedford,,Units,Percentage (%),15.80756014
2014/15,Met need (%),Bedford,,Units,Percentage (%),18.01801802
2015/16,Met need (%),Bedford,,Units,Percentage (%),15.13353116
2016/17,Met need (%),Bedford,,Units,Percentage (%),26.19663648
2017/18,Met need (%),Bedford,,Units,Percentage (%),25.10176391
2018/19,Met need (%),Bedford,,Units,Percentage (%),25.95111583
2012/13,Number of people in treatment,Bedford,,Units,Count,300
2013/14,Number of people in treatment,Bedford,,Units,Count,230
2014/15,Number of people in treatment,Bedford,,Units,Count,260
2015/16,Number of people in treatment,Bedford,,Units,Count,255
2016/17,Number of people in treatment,Bedford,,Units,Count,405
2017/18,Number of people in treatment,Bedford,,Units,Count,370
2018/19,Number of people in treatment,Bedford,,Units,Count,407
2018/19,Number of people in treatment,Bedford,,Units,Count,410
2010/11,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,610
2011/12,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,605
2012/13,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,5
2013/14,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,0
2014/15,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,0
2015/16,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,0
2016/17,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,0
2010/11,Estimated prevalence,Bexley,,Units,Number,2010
2011/12,Estimated prevalence,Bexley,,Units,Number,2017
2012/13,Estimated prevalence,Bexley,,Units,Number,2016
2013/14,Estimated prevalence,Bexley,,Units,Number,2023
2014/15,Estimated prevalence,Bexley,,Units,Number,2027
2015/16,Estimated prevalence,Bexley,,Units,Number,2002
2016/17,Estimated prevalence,Bexley,,Units,Number,1992
2017/18,Estimated prevalence,Bexley,,Units,Number,2096
2018/19,Estimated prevalence,Bexley,,Units,Number,2030
2010/11,Met need (%),Bexley,,Units,Percentage (%),17.66169154
2011/12,Met need (%),Bexley,,Units,Percentage (%),15.36936044
2012/13,Met need (%),Bexley,,Units,Percentage (%),16.61706349
2013/14,Met need (%),Bexley,,Units,Percentage (%),20.51408799
2014/15,Met need (%),Bexley,,Units,Percentage (%),24.66699556
2015/16,Met need (%),Bexley,,Units,Percentage (%),22.97702298
2016/17,Met need (%),Bexley,,Units,Percentage (%),22.08835341
2017/18,Met need (%),Bexley,,Units,Percentage (%),16.9370229
2018/19,Met need (%),Bexley,,Units,Percentage (%),22.36453202
2010/11,Number of people in treatment,Bexley,,Units,Count,355
2011/12,Number of people in treatment,Bexley,,Units,Count,310
2012/13,Number of people in treatment,Bexley,,Units,Count,335
2013/14,Number of people in treatment,Bexley,,Units,Count,415
2014/15,Number of people in treatment,Bexley,,Units,Count,500
2015/16,Number of people in treatment,Bexley,,Units,Count,460
2016/17,Number of people in treatment,Bexley,,Units,Count,440
2017/18,Number of people in treatment,Bexley,,Units,Count,355
2018/19,Number of people in treatment,Bexley,,Units,Count,454
2018/19,Number of people in treatment,Bexley,,Units,Count,455
2010/11,Estimated prevalence,Birmingham,,Units,Number,13177
2011/12,Estimated prevalence,Birmingham,,Units,Number,13113
2012/13,Estimated prevalence,Birmingham,,Units,Number,13086
2013/14,Estimated prevalence,Birmingham,,Units,Number,13619
2014/15,Estimated prevalence,Birmingham,,Units,Number,13603
2015/16,Estimated prevalence,Birmingham,,Units,Number,13907
2016/17,Estimated prevalence,Birmingham,,Units,Number,13295
2017/18,Estimated prevalence,Birmingham,,Units,Number,12667
2018/19,Estimated prevalence,Birmingham,,Units,Number,13289.66667
2010/11,Met need (%),Birmingham,,Units,Percentage (%),21.05942172
2011/12,Met need (%),Birmingham,,Units,Percentage (%),21.04781515
2012/13,Met need (%),Birmingham,,Units,Percentage (%),23.00168119
2013/14,Met need (%),Birmingham,,Units,Percentage (%),23.45987224
2014/15,Met need (%),Birmingham,,Units,Percentage (%),20.73072116
2015/16,Met need (%),Birmingham,,Units,Percentage (%),17.36535558
2016/17,Met need (%),Birmingham,,Units,Percentage (%),18.65362918
2017/18,Met need (%),Birmingham,,Units,Percentage (%),14.80224205
2018/19,Met need (%),Birmingham,,Units,Percentage (%),12.16734806
2010/11,Number of people in treatment,Birmingham,,Units,Count,2775
2011/12,Number of people in treatment,Birmingham,,Units,Count,2760
2012/13,Number of people in treatment,Birmingham,,Units,Count,3010
2013/14,Number of people in treatment,Birmingham,,Units,Count,3195
2014/15,Number of people in treatment,Birmingham,,Units,Count,2820
2015/16,Number of people in treatment,Birmingham,,Units,Count,2415
2016/17,Number of people in treatment,Birmingham,,Units,Count,2480
2017/18,Number of people in treatment,Birmingham,,Units,Count,1875
2018/19,Number of people in treatment,Birmingham,,Units,Count,1617
2018/19,Number of people in treatment,Birmingham,,Units,Count,1615
2010/11,Estimated prevalence,Blackburn with Darwen,,Units,Number,2452
2011/12,Estimated prevalence,Blackburn with Darwen,,Units,Number,2445
2012/13,Estimated prevalence,Blackburn with Darwen,,Units,Number,2420
2013/14,Estimated prevalence,Blackburn with Darwen,,Units,Number,2604
2014/15,Estimated prevalence,Blackburn with Darwen,,Units,Number,2628
2015/16,Estimated prevalence,Blackburn with Darwen,,Units,Number,2478
2016/17,Estimated prevalence,Blackburn with Darwen,,Units,Number,2459
2017/18,Estimated prevalence,Blackburn with Darwen,,Units,Number,2357
2018/19,Estimated prevalence,Blackburn with Darwen,,Units,Number,2431.333333
2010/11,Met need (%),Blackburn with Darwen,,Units,Percentage (%),18.76019576
2011/12,Met need (%),Blackburn with Darwen,,Units,Percentage (%),19.01840491
2012/13,Met need (%),Blackburn with Darwen,,Units,Percentage (%),21.90082645
2013/14,Met need (%),Blackburn with Darwen,,Units,Percentage (%),19.96927803
2014/15,Met need (%),Blackburn with Darwen,,Units,Percentage (%),16.93302892
2015/16,Met need (%),Blackburn with Darwen,,Units,Percentage (%),17.95803067
2016/17,Met need (%),Blackburn with Darwen,,Units,Percentage (%),21.35014233
2017/18,Met need (%),Blackburn with Darwen,,Units,Percentage (%),17.6071277
2018/19,Met need (%),Blackburn with Darwen,,Units,Percentage (%),16.16397039
2010/11,Number of people in treatment,Blackburn with Darwen,,Units,Count,460
2011/12,Number of people in treatment,Blackburn with Darwen,,Units,Count,465
2012/13,Number of people in treatment,Blackburn with Darwen,,Units,Count,530
2013/14,Number of people in treatment,Blackburn with Darwen,,Units,Count,520
2014/15,Number of people in treatment,Blackburn with Darwen,,Units,Count,445
2015/16,Number of people in treatment,Blackburn with Darwen,,Units,Count,445
2016/17,Number of people in treatment,Blackburn with Darwen,,Units,Count,525
2017/18,Number of people in treatment,Blackburn with Darwen,,Units,Count,415
2018/19,Number of people in treatment,Blackburn with Darwen,,Units,Count,393
2018/19,Number of people in treatment,Blackburn with Darwen,,Units,Count,395
2010/11,Estimated prevalence,Blackpool,,Units,Number,4006
2011/12,Estimated prevalence,Blackpool,,Units,Number,3958
2012/13,Estimated prevalence,Blackpool,,Units,Number,3991
2013/14,Estimated prevalence,Blackpool,,Units,Number,4269
2014/15,Estimated prevalence,Blackpool,,Units,Number,4305
2015/16,Estimated prevalence,Blackpool,,Units,Number,4355
2016/17,Estimated prevalence,Blackpool,,Units,Number,4349
2017/18,Estimated prevalence,Blackpool,,Units,Number,4188
2018/19,Estimated prevalence,Blackpool,,Units,Number,4297.333333
2010/11,Met need (%),Blackpool,,Units,Percentage (%),22.09186221
2011/12,Met need (%),Blackpool,,Units,Percentage (%),21.6018191
2012/13,Met need (%),Blackpool,,Units,Percentage (%),20.04510148
2013/14,Met need (%),Blackpool,,Units,Percentage (%),18.97399859
2014/15,Met need (%),Blackpool,,Units,Percentage (%),15.56329849
2015/16,Met need (%),Blackpool,,Units,Percentage (%),14.1216992
2016/17,Met need (%),Blackpool,,Units,Percentage (%),11.84180271
2017/18,Met need (%),Blackpool,,Units,Percentage (%),11.81948424
2018/19,Met need (%),Blackpool,,Units,Percentage (%),15.52125349
2010/11,Number of people in treatment,Blackpool,,Units,Count,885
2011/12,Number of people in treatment,Blackpool,,Units,Count,855
2012/13,Number of people in treatment,Blackpool,,Units,Count,800
2013/14,Number of people in treatment,Blackpool,,Units,Count,810
2014/15,Number of people in treatment,Blackpool,,Units,Count,670
2015/16,Number of people in treatment,Blackpool,,Units,Count,615
2016/17,Number of people in treatment,Blackpool,,Units,Count,515
2017/18,Number of people in treatment,Blackpool,,Units,Count,495
2018/19,Number of people in treatment,Blackpool,,Units,Count,667
2018/19,Number of people in treatment,Blackpool,,Units,Count,670
2010/11,Estimated prevalence,Bolton,,Units,Number,3662
2011/12,Estimated prevalence,Bolton,,Units,Number,3649
2012/13,Estimated prevalence,Bolton,,Units,Number,3617
2013/14,Estimated prevalence,Bolton,,Units,Number,3811
2014/15,Estimated prevalence,Bolton,,Units,Number,3768
2015/16,Estimated prevalence,Bolton,,Units,Number,3736
2016/17,Estimated prevalence,Bolton,,Units,Number,3597
2017/18,Estimated prevalence,Bolton,,Units,Number,3486
2018/19,Estimated prevalence,Bolton,,Units,Number,3606.333333
2010/11,Met need (%),Bolton,,Units,Percentage (%),16.11141453
2011/12,Met need (%),Bolton,,Units,Percentage (%),15.20964648
2012/13,Met need (%),Bolton,,Units,Percentage (%),16.45009677
2013/14,Met need (%),Bolton,,Units,Percentage (%),22.17265809
2014/15,Met need (%),Bolton,,Units,Percentage (%),20.83333333
2015/16,Met need (%),Bolton,,Units,Percentage (%),19.27194861
2016/17,Met need (%),Bolton,,Units,Percentage (%),19.46066166
2017/18,Met need (%),Bolton,,Units,Percentage (%),20.22375215
2018/19,Met need (%),Bolton,,Units,Percentage (%),21.68407431
2010/11,Number of people in treatment,Bolton,,Units,Count,590
2011/12,Number of people in treatment,Bolton,,Units,Count,555
2012/13,Number of people in treatment,Bolton,,Units,Count,595
2013/14,Number of people in treatment,Bolton,,Units,Count,845
2014/15,Number of people in treatment,Bolton,,Units,Count,785
2015/16,Number of people in treatment,Bolton,,Units,Count,720
2016/17,Number of people in treatment,Bolton,,Units,Count,700
2017/18,Number of people in treatment,Bolton,,Units,Count,705
2018/19,Number of people in treatment,Bolton,,Units,Count,782
2018/19,Number of people in treatment,Bolton,,Units,Count,780
2010/11,Estimated prevalence,Bournemouth,,Units,Number,2987
2011/12,Estimated prevalence,Bournemouth,,Units,Number,2949
2012/13,Estimated prevalence,Bournemouth,,Units,Number,2946
2013/14,Estimated prevalence,Bournemouth,,Units,Number,2986
2014/15,Estimated prevalence,Bournemouth,,Units,Number,2988
2015/16,Estimated prevalence,Bournemouth,,Units,Number,2976
2016/17,Estimated prevalence,Bournemouth,,Units,Number,2850
2017/18,Estimated prevalence,Bournemouth,,Units,Number,2644
2010/11,Met need (%),Bournemouth,,Units,Percentage (%),20.58921995
2011/12,Met need (%),Bournemouth,,Units,Percentage (%),18.81993896
2012/13,Met need (%),Bournemouth,,Units,Percentage (%),14.25661914
2013/14,Met need (%),Bournemouth,,Units,Percentage (%),10.71667783
2014/15,Met need (%),Bournemouth,,Units,Percentage (%),12.88487282
2015/16,Met need (%),Bournemouth,,Units,Percentage (%),12.93682796
2016/17,Met need (%),Bournemouth,,Units,Percentage (%),14.56140351
2017/18,Met need (%),Bournemouth,,Units,Percentage (%),14.75037821
2010/11,Number of people in treatment,Bournemouth,,Units,Count,615
2011/12,Number of people in treatment,Bournemouth,,Units,Count,555
2012/13,Number of people in treatment,Bournemouth,,Units,Count,420
2013/14,Number of people in treatment,Bournemouth,,Units,Count,320
2014/15,Number of people in treatment,Bournemouth,,Units,Count,385
2015/16,Number of people in treatment,Bournemouth,,Units,Count,385
2016/17,Number of people in treatment,Bournemouth,,Units,Count,415
2017/18,Number of people in treatment,Bournemouth,,Units,Count,390
2018/19,Number of people in treatment,Bournemouth,,Units,Count,430
2010/11,Estimated prevalence,Bracknell Forest,,Units,Number,791
2011/12,Estimated prevalence,Bracknell Forest,,Units,Number,798
2012/13,Estimated prevalence,Bracknell Forest,,Units,Number,795
2013/14,Estimated prevalence,Bracknell Forest,,Units,Number,810
2014/15,Estimated prevalence,Bracknell Forest,,Units,Number,809
2015/16,Estimated prevalence,Bracknell Forest,,Units,Number,834
2016/17,Estimated prevalence,Bracknell Forest,,Units,Number,888
2017/18,Estimated prevalence,Bracknell Forest,,Units,Number,850
2018/19,Estimated prevalence,Bracknell Forest,,Units,Number,857.3333333
2010/11,Met need (%),Bracknell Forest,,Units,Percentage (%),26.54867257
2011/12,Met need (%),Bracknell Forest,,Units,Percentage (%),25.68922306
2012/13,Met need (%),Bracknell Forest,,Units,Percentage (%),33.96226415
2013/14,Met need (%),Bracknell Forest,,Units,Percentage (%),38.27160494
2014/15,Met need (%),Bracknell Forest,,Units,Percentage (%),30.28430161
2015/16,Met need (%),Bracknell Forest,,Units,Percentage (%),25.7793765
2016/17,Met need (%),Bracknell Forest,,Units,Percentage (%),25.33783784
2017/18,Met need (%),Bracknell Forest,,Units,Percentage (%),27.64705882
2018/19,Met need (%),Bracknell Forest,,Units,Percentage (%),29.51010886
2010/11,Number of people in treatment,Bracknell Forest,,Units,Count,210
2011/12,Number of people in treatment,Bracknell Forest,,Units,Count,205
2012/13,Number of people in treatment,Bracknell Forest,,Units,Count,270
2013/14,Number of people in treatment,Bracknell Forest,,Units,Count,310
2014/15,Number of people in treatment,Bracknell Forest,,Units,Count,245
2015/16,Number of people in treatment,Bracknell Forest,,Units,Count,215
2016/17,Number of people in treatment,Bracknell Forest,,Units,Count,225
2017/18,Number of people in treatment,Bracknell Forest,,Units,Count,235
2018/19,Number of people in treatment,Bracknell Forest,,Units,Count,253
2018/19,Number of people in treatment,Bracknell Forest,,Units,Count,255
2010/11,Estimated prevalence,Bradford,,Units,Number,6009
2011/12,Estimated prevalence,Bradford,,Units,Number,6005
2012/13,Estimated prevalence,Bradford,,Units,Number,5989
2013/14,Estimated prevalence,Bradford,,Units,Number,6281
2014/15,Estimated prevalence,Bradford,,Units,Number,6275
2015/16,Estimated prevalence,Bradford,,Units,Number,5928
2016/17,Estimated prevalence,Bradford,,Units,Number,5878
2017/18,Estimated prevalence,Bradford,,Units,Number,5958
2018/19,Estimated prevalence,Bradford,,Units,Number,5921.333333
2010/11,Met need (%),Bradford,,Units,Percentage (%),17.88983192
2011/12,Met need (%),Bradford,,Units,Percentage (%),18.15154038
2012/13,Met need (%),Bradford,,Units,Percentage (%),18.45049257
2013/14,Met need (%),Bradford,,Units,Percentage (%),20.45852571
2014/15,Met need (%),Bradford,,Units,Percentage (%),25.25896414
2015/16,Met need (%),Bradford,,Units,Percentage (%),25.97840756
2016/17,Met need (%),Bradford,,Units,Percentage (%),21.86117727
2017/18,Met need (%),Bradford,,Units,Percentage (%),15.94494797
2018/19,Met need (%),Bradford,,Units,Percentage (%),17.00630489
2010/11,Number of people in treatment,Bradford,,Units,Count,1075
2011/12,Number of people in treatment,Bradford,,Units,Count,1090
2012/13,Number of people in treatment,Bradford,,Units,Count,1105
2013/14,Number of people in treatment,Bradford,,Units,Count,1285
2014/15,Number of people in treatment,Bradford,,Units,Count,1585
2015/16,Number of people in treatment,Bradford,,Units,Count,1540
2016/17,Number of people in treatment,Bradford,,Units,Count,1285
2017/18,Number of people in treatment,Bradford,,Units,Count,950
2018/19,Number of people in treatment,Bradford,,Units,Count,1007
2018/19,Number of people in treatment,Bradford,,Units,Count,1005
2010/11,Estimated prevalence,Brent,,Units,Number,3142
2011/12,Estimated prevalence,Brent,,Units,Number,3103
2012/13,Estimated prevalence,Brent,,Units,Number,3127
2013/14,Estimated prevalence,Brent,,Units,Number,3227
2014/15,Estimated prevalence,Brent,,Units,Number,3181
2015/16,Estimated prevalence,Brent,,Units,Number,3236
2016/17,Estimated prevalence,Brent,,Units,Number,3169
2017/18,Estimated prevalence,Brent,,Units,Number,3294
2018/19,Estimated prevalence,Brent,,Units,Number,3233
2010/11,Met need (%),Brent,,Units,Percentage (%),20.21005729
2011/12,Met need (%),Brent,,Units,Percentage (%),18.20818563
2012/13,Met need (%),Brent,,Units,Percentage (%),23.02526383
2013/14,Met need (%),Brent,,Units,Percentage (%),24.17105671
2014/15,Met need (%),Brent,,Units,Percentage (%),24.20622446
2015/16,Met need (%),Brent,,Units,Percentage (%),20.85908529
2016/17,Met need (%),Brent,,Units,Percentage (%),21.93120858
2017/18,Met need (%),Brent,,Units,Percentage (%),19.12568306
2018/19,Met need (%),Brent,,Units,Percentage (%),13.23847819
2010/11,Number of people in treatment,Brent,,Units,Count,635
2011/12,Number of people in treatment,Brent,,Units,Count,565
2012/13,Number of people in treatment,Brent,,Units,Count,720
2013/14,Number of people in treatment,Brent,,Units,Count,780
2014/15,Number of people in treatment,Brent,,Units,Count,770
2015/16,Number of people in treatment,Brent,,Units,Count,675
2016/17,Number of people in treatment,Brent,,Units,Count,695
2017/18,Number of people in treatment,Brent,,Units,Count,630
2018/19,Number of people in treatment,Brent,,Units,Count,428
2018/19,Number of people in treatment,Brent,,Units,Count,430
2010/11,Estimated prevalence,Brighton and Hove,,Units,Number,4372
2011/12,Estimated prevalence,Brighton and Hove,,Units,Number,4420
2012/13,Estimated prevalence,Brighton and Hove,,Units,Number,4373
2013/14,Estimated prevalence,Brighton and Hove,,Units,Number,4513
2014/15,Estimated prevalence,Brighton and Hove,,Units,Number,4455
2015/16,Estimated prevalence,Brighton and Hove,,Units,Number,4441
2016/17,Estimated prevalence,Brighton and Hove,,Units,Number,4341
2017/18,Estimated prevalence,Brighton and Hove,,Units,Number,4066
2018/19,Estimated prevalence,Brighton and Hove,,Units,Number,4282.666667
2010/11,Met need (%),Brighton and Hove,,Units,Percentage (%),18.06953339
2011/12,Met need (%),Brighton and Hove,,Units,Percentage (%),20.47511312
2012/13,Met need (%),Brighton and Hove,,Units,Percentage (%),22.41024468
2013/14,Met need (%),Brighton and Hove,,Units,Percentage (%),22.93374695
2014/15,Met need (%),Brighton and Hove,,Units,Percentage (%),20.31425365
2015/16,Met need (%),Brighton and Hove,,Units,Percentage (%),18.23913533
2016/17,Met need (%),Brighton and Hove,,Units,Percentage (%),20.84773094
2017/18,Met need (%),Brighton and Hove,,Units,Percentage (%),22.74963109
2018/19,Met need (%),Brighton and Hove,,Units,Percentage (%),24.5641345
2010/11,Number of people in treatment,Brighton and Hove,,Units,Count,790
2011/12,Number of people in treatment,Brighton and Hove,,Units,Count,905
2012/13,Number of people in treatment,Brighton and Hove,,Units,Count,980
2013/14,Number of people in treatment,Brighton and Hove,,Units,Count,1035
2014/15,Number of people in treatment,Brighton and Hove,,Units,Count,905
2015/16,Number of people in treatment,Brighton and Hove,,Units,Count,810
2016/17,Number of people in treatment,Brighton and Hove,,Units,Count,905
2017/18,Number of people in treatment,Brighton and Hove,,Units,Count,925
2018/19,Number of people in treatment,Brighton and Hove,,Units,Count,1052
2018/19,Number of people in treatment,Brighton and Hove,,Units,Count,1055
2010/11,Estimated prevalence,"Bristol, City of",,Units,Number,6420
2011/12,Estimated prevalence,"Bristol, City of",,Units,Number,6358
2012/13,Estimated prevalence,"Bristol, City of",,Units,Number,6311
2013/14,Estimated prevalence,"Bristol, City of",,Units,Number,6611
2014/15,Estimated prevalence,"Bristol, City of",,Units,Number,6572
2015/16,Estimated prevalence,"Bristol, City of",,Units,Number,6771
2016/17,Estimated prevalence,"Bristol, City of",,Units,Number,6592
2017/18,Estimated prevalence,"Bristol, City of",,Units,Number,6677
2018/19,Estimated prevalence,"Bristol, City of",,Units,Number,6680
2010/11,Met need (%),"Bristol, City of",,Units,Percentage (%),10.51401869
2011/12,Met need (%),"Bristol, City of",,Units,Percentage (%),9.594212016
2012/13,Met need (%),"Bristol, City of",,Units,Percentage (%),13.23086674
2013/14,Met need (%),"Bristol, City of",,Units,Percentage (%),12.93299047
