Year,Banking service,Country,Region,County,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,Commerical bank branches and building societies,England,East,,,Undefined,Units,"Number per 100,000 adults",E12000007,21.434692737723886
2015,Commerical bank branches and building societies,England,East,,,Undefined,Units,"Number per 100,000 adults",E12000007,20.8526863974518
2016,Commerical bank branches and building societies,England,East,,,Undefined,Units,"Number per 100,000 adults",E12000007,20.404872484477366
2017,Commerical bank branches and building societies,England,East,,,Undefined,Units,"Number per 100,000 adults",E12000007,19.018415968020534
2010,Commerical bank branches and building societies,England,London,,,Undefined,Units,"Number per 100,000 adults",E12000007,45.14314041960969
2011,Commerical bank branches and building societies,England,London,,,Undefined,Units,"Number per 100,000 adults",E12000007,45.2214840296167
2012,Commerical bank branches and building societies,England,London,,,Undefined,Units,"Number per 100,000 adults",E12000007,32.51990990648521
2013,Commerical bank branches and building societies,England,London,,,Undefined,Units,"Number per 100,000 adults",E12000007,31.134379654094108
2014,Commerical bank branches and building societies,England,London,,,Undefined,Units,"Number per 100,000 adults",E12000007,29.351054702973848
2015,Commerical bank branches and building societies,England,London,,,Undefined,Units,"Number per 100,000 adults",E12000007,28.2299735138527
2016,Commerical bank branches and building societies,England,London,,,Undefined,Units,"Number per 100,000 adults",E12000007,26.381223245691093
2017,Commerical bank branches and building societies,England,London,,,Undefined,Units,"Number per 100,000 adults",E12000007,25.340456066265855
2010,Commerical bank branches and building societies,England,South East,,,Undefined,Units,"Number per 100,000 adults",E12000008,29.90849842186603
2011,Commerical bank branches and building societies,England,South East,,,Undefined,Units,"Number per 100,000 adults",E12000008,28.461757938722187
2012,Commerical bank branches and building societies,England,South East,,,Undefined,Units,"Number per 100,000 adults",E12000008,24.270876371130157
2013,Commerical bank branches and building societies,England,South East,,,Undefined,Units,"Number per 100,000 adults",E12000008,23.537768079601964
2014,Commerical bank branches and building societies,England,South East,,,Undefined,Units,"Number per 100,000 adults",E12000008,22.429017304501276
2015,Commerical bank branches and building societies,England,South East,,,Undefined,Units,"Number per 100,000 adults",E12000008,22.11738355571852
2016,Commerical bank branches and building societies,England,South East,,,Undefined,Units,"Number per 100,000 adults",E12000008,21.259958265689544
2017,Commerical bank branches and building societies,England,South East,,,Undefined,Units,"Number per 100,000 adults",E12000008,20.156091459743113
2010,Commerical bank branches and building societies,England,South West,,,Undefined,Units,"Number per 100,000 adults",E12000009,39.10512913786832
2011,Commerical bank branches and building societies,England,South West,,,Undefined,Units,"Number per 100,000 adults",E12000009,38.90438924957831
2012,Commerical bank branches and building societies,England,South West,,,Undefined,Units,"Number per 100,000 adults",E12000009,26.6483278398216
2013,Commerical bank branches and building societies,England,South West,,,Undefined,Units,"Number per 100,000 adults",E12000009,26.017026698583848
2014,Commerical bank branches and building societies,England,South West,,,Undefined,Units,"Number per 100,000 adults",E12000009,25.029257768938272
2015,Commerical bank branches and building societies,England,South West,,,Undefined,Units,"Number per 100,000 adults",E12000009,24.815230385910723
2016,Commerical bank branches and building societies,England,South West,,,Undefined,Units,"Number per 100,000 adults",E12000009,23.661636000245732
2017,Commerical bank branches and building societies,England,South West,,,Undefined,Units,"Number per 100,000 adults",E12000009,21.237597835791753
1998,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,52.13646214556928
1999,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,58.439209393024846
2000,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,66.06206940376151
2001,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,75.61495738847184
2002,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,87.110335399207
2003,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,97.61555410760292
2004,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,112.01347817988666
2005,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,116.95350540661512
2006,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,121.90242729551078
2007,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,126.89804026002915
2008,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,125.57325468111154
2009,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,123.0541213867478
2010,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,122.42234009278066
2011,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,124.78688948685213
2012,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,125.73509786667546
2013,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,127.84468632027766
2014,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,129.7255150986587
2015,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,131.76744091858703
2016,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,129.6987494557748
2017,Automated teller machines (ATMs),,,,,Undefined,Units,"Number per 100,000 adults",,126.49205305379105
2010,Commerical bank branches and building societies,,,,Darlington,Undefined,Units,"Number per 100,000 adults",E06000005,23.8
2011,Commerical bank branches and building societies,,,,Darlington,Undefined,Units,"Number per 100,000 adults",E06000005,18.9
2012,Commerical bank branches and building societies,,,,Darlington,Undefined,Units,"Number per 100,000 adults",E06000005,19.0
2013,Commerical bank branches and building societies,,,,Darlington,Undefined,Units,"Number per 100,000 adults",E06000005,18.9
2014,Commerical bank branches and building societies,,,,Darlington,Undefined,Units,"Number per 100,000 adults",E06000005,14.2
2015,Commerical bank branches and building societies,,,,Darlington,Undefined,Units,"Number per 100,000 adults",E06000005,14.2
2016,Commerical bank branches and building societies,,,,Darlington,Undefined,Units,"Number per 100,000 adults",E06000005,18.8
2017,Commerical bank branches and building societies,,,,Darlington,Undefined,Units,"Number per 100,000 adults",E06000005,18.8
2010,Commerical bank branches and building societies,,,,County Durham,Undefined,Units,"Number per 100,000 adults",E06000047,17.6
2011,Commerical bank branches and building societies,,,,County Durham,Undefined,Units,"Number per 100,000 adults",E06000047,16.6
2012,Commerical bank branches and building societies,,,,County Durham,Undefined,Units,"Number per 100,000 adults",E06000047,14.6
2013,Commerical bank branches and building societies,,,,County Durham,Undefined,Units,"Number per 100,000 adults",E06000047,15.5
2014,Commerical bank branches and building societies,,,,County Durham,Undefined,Units,"Number per 100,000 adults",E06000047,15.5
2015,Commerical bank branches and building societies,,,,County Durham,Undefined,Units,"Number per 100,000 adults",E06000047,15.4
2016,Commerical bank branches and building societies,,,,County Durham,Undefined,Units,"Number per 100,000 adults",E06000047,15.3
2017,Commerical bank branches and building societies,,,,County Durham,Undefined,Units,"Number per 100,000 adults",E06000047,14.3
2010,Commerical bank branches and building societies,,,,Hartlepool,Undefined,Units,"Number per 100,000 adults",E06000001,16.3
2011,Commerical bank branches and building societies,,,,Hartlepool,Undefined,Units,"Number per 100,000 adults",E06000001,16.3
2012,Commerical bank branches and building societies,,,,Hartlepool,Undefined,Units,"Number per 100,000 adults",E06000001,16.3
2013,Commerical bank branches and building societies,,,,Hartlepool,Undefined,Units,"Number per 100,000 adults",E06000001,16.2
2014,Commerical bank branches and building societies,,,,Hartlepool,Undefined,Units,"Number per 100,000 adults",E06000001,16.2
2015,Commerical bank branches and building societies,,,,Hartlepool,Undefined,Units,"Number per 100,000 adults",E06000001,16.2
2016,Commerical bank branches and building societies,,,,Hartlepool,Undefined,Units,"Number per 100,000 adults",E06000001,16.2
2017,Commerical bank branches and building societies,,,,Hartlepool,Undefined,Units,"Number per 100,000 adults",E06000001,16.1
2010,Commerical bank branches and building societies,,,,Middlesbrough,Undefined,Units,"Number per 100,000 adults",E06000002,21.8
2011,Commerical bank branches and building societies,,,,Middlesbrough,Undefined,Units,"Number per 100,000 adults",E06000002,18.1
2012,Commerical bank branches and building societies,,,,Middlesbrough,Undefined,Units,"Number per 100,000 adults",E06000002,18.0
2013,Commerical bank branches and building societies,,,,Middlesbrough,Undefined,Units,"Number per 100,000 adults",E06000002,14.4
2014,Commerical bank branches and building societies,,,,Middlesbrough,Undefined,Units,"Number per 100,000 adults",E06000002,14.4
2015,Commerical bank branches and building societies,,,,Middlesbrough,Undefined,Units,"Number per 100,000 adults",E06000002,14.4
2016,Commerical bank branches and building societies,,,,Middlesbrough,Undefined,Units,"Number per 100,000 adults",E06000002,14.3
2017,Commerical bank branches and building societies,,,,Middlesbrough,Undefined,Units,"Number per 100,000 adults",E06000002,14.2
2010,Commerical bank branches and building societies,,,,Northumberland,Undefined,Units,"Number per 100,000 adults",E06000057,22.2
2011,Commerical bank branches and building societies,,,,Northumberland,Undefined,Units,"Number per 100,000 adults",E06000057,22.1
2012,Commerical bank branches and building societies,,,,Northumberland,Undefined,Units,"Number per 100,000 adults",E06000057,22.1
2013,Commerical bank branches and building societies,,,,Northumberland,Undefined,Units,"Number per 100,000 adults",E06000057,20.5
2014,Commerical bank branches and building societies,,,,Northumberland,Undefined,Units,"Number per 100,000 adults",E06000057,20.5
2015,Commerical bank branches and building societies,,,,Northumberland,Undefined,Units,"Number per 100,000 adults",E06000057,20.5
2016,Commerical bank branches and building societies,,,,Northumberland,Undefined,Units,"Number per 100,000 adults",E06000057,20.5
2017,Commerical bank branches and building societies,,,,Northumberland,Undefined,Units,"Number per 100,000 adults",E06000057,18.8
2010,Commerical bank branches and building societies,,,,Redcar and Cleveland,Undefined,Units,"Number per 100,000 adults",E06000003,18.5
2011,Commerical bank branches and building societies,,,,Redcar and Cleveland,Undefined,Units,"Number per 100,000 adults",E06000003,18.5
2012,Commerical bank branches and building societies,,,,Redcar and Cleveland,Undefined,Units,"Number per 100,000 adults",E06000003,14.8
2013,Commerical bank branches and building societies,,,,Redcar and Cleveland,Undefined,Units,"Number per 100,000 adults",E06000003,14.8
2014,Commerical bank branches and building societies,,,,Redcar and Cleveland,Undefined,Units,"Number per 100,000 adults",E06000003,14.8
2015,Commerical bank branches and building societies,,,,Redcar and Cleveland,Undefined,Units,"Number per 100,000 adults",E06000003,14.8
2016,Commerical bank branches and building societies,,,,Redcar and Cleveland,Undefined,Units,"Number per 100,000 adults",E06000003,14.8
2017,Commerical bank branches and building societies,,,,Redcar and Cleveland,Undefined,Units,"Number per 100,000 adults",E06000003,14.7
2010,Commerical bank branches and building societies,,,,Stockton-on-Tees,Undefined,Units,"Number per 100,000 adults",E06000004,21.0
2011,Commerical bank branches and building societies,,,,Stockton-on-Tees,Undefined,Units,"Number per 100,000 adults",E06000004,20.9
2012,Commerical bank branches and building societies,,,,Stockton-on-Tees,Undefined,Units,"Number per 100,000 adults",E06000004,18.2
2013,Commerical bank branches and building societies,,,,Stockton-on-Tees,Undefined,Units,"Number per 100,000 adults",E06000004,18.1
2014,Commerical bank branches and building societies,,,,Stockton-on-Tees,Undefined,Units,"Number per 100,000 adults",E06000004,18.0
2015,Commerical bank branches and building societies,,,,Stockton-on-Tees,Undefined,Units,"Number per 100,000 adults",E06000004,15.4
2016,Commerical bank branches and building societies,,,,Stockton-on-Tees,Undefined,Units,"Number per 100,000 adults",E06000004,15.3
2017,Commerical bank branches and building societies,,,,Stockton-on-Tees,Undefined,Units,"Number per 100,000 adults",E06000004,15.3
2010,Commerical bank branches and building societies,,,,Gateshead,Undefined,Units,"Number per 100,000 adults",E08000037,20.1
2011,Commerical bank branches and building societies,,,,Gateshead,Undefined,Units,"Number per 100,000 adults",E08000037,20.0
2012,Commerical bank branches and building societies,,,,Gateshead,Undefined,Units,"Number per 100,000 adults",E08000037,20.0
2013,Commerical bank branches and building societies,,,,Gateshead,Undefined,Units,"Number per 100,000 adults",E08000037,17.5
2014,Commerical bank branches and building societies,,,,Gateshead,Undefined,Units,"Number per 100,000 adults",E08000037,17.4
2015,Commerical bank branches and building societies,,,,Gateshead,Undefined,Units,"Number per 100,000 adults",E08000037,17.4
2016,Commerical bank branches and building societies,,,,Gateshead,Undefined,Units,"Number per 100,000 adults",E08000037,17.3
2017,Commerical bank branches and building societies,,,,Gateshead,Undefined,Units,"Number per 100,000 adults",E08000037,17.3
2010,Commerical bank branches and building societies,,,,Newcastle upon Tyne,Undefined,Units,"Number per 100,000 adults",E08000021,34.3
2011,Commerical bank branches and building societies,,,,Newcastle upon Tyne,Undefined,Units,"Number per 100,000 adults",E08000021,32.2
2012,Commerical bank branches and building societies,,,,Newcastle upon Tyne,Undefined,Units,"Number per 100,000 adults",E08000021,24.8
2013,Commerical bank branches and building societies,,,,Newcastle upon Tyne,Undefined,Units,"Number per 100,000 adults",E08000021,24.5
2014,Commerical bank branches and building societies,,,,Newcastle upon Tyne,Undefined,Units,"Number per 100,000 adults",E08000021,22.5
2015,Commerical bank branches and building societies,,,,Newcastle upon Tyne,Undefined,Units,"Number per 100,000 adults",E08000021,22.4
2016,Commerical bank branches and building societies,,,,Newcastle upon Tyne,Undefined,Units,"Number per 100,000 adults",E08000021,22.1
2017,Commerical bank branches and building societies,,,,Newcastle upon Tyne,Undefined,Units,"Number per 100,000 adults",E08000021,23.7
2010,Commerical bank branches and building societies,,,,North Tyneside,Undefined,Units,"Number per 100,000 adults",E08000022,17.5
2011,Commerical bank branches and building societies,,,,North Tyneside,Undefined,Units,"Number per 100,000 adults",E08000022,14.9
2012,Commerical bank branches and building societies,,,,North Tyneside,Undefined,Units,"Number per 100,000 adults",E08000022,14.9
2013,Commerical bank branches and building societies,,,,North Tyneside,Undefined,Units,"Number per 100,000 adults",E08000022,14.8
2014,Commerical bank branches and building societies,,,,North Tyneside,Undefined,Units,"Number per 100,000 adults",E08000022,14.8
2015,Commerical bank branches and building societies,,,,North Tyneside,Undefined,Units,"Number per 100,000 adults",E08000022,14.8
2016,Commerical bank branches and building societies,,,,North Tyneside,Undefined,Units,"Number per 100,000 adults",E08000022,14.7
2017,Commerical bank branches and building societies,,,,North Tyneside,Undefined,Units,"Number per 100,000 adults",E08000022,14.7
2010,Commerical bank branches and building societies,,,,South Tyneside,Undefined,Units,"Number per 100,000 adults",E08000023,13.5
2011,Commerical bank branches and building societies,,,,South Tyneside,Undefined,Units,"Number per 100,000 adults",E08000023,16.9
2012,Commerical bank branches and building societies,,,,South Tyneside,Undefined,Units,"Number per 100,000 adults",E08000023,13.5
2013,Commerical bank branches and building societies,,,,South Tyneside,Undefined,Units,"Number per 100,000 adults",E08000023,13.5
2014,Commerical bank branches and building societies,,,,South Tyneside,Undefined,Units,"Number per 100,000 adults",E08000023,13.5
2015,Commerical bank branches and building societies,,,,South Tyneside,Undefined,Units,"Number per 100,000 adults",E08000023,13.5
2016,Commerical bank branches and building societies,,,,South Tyneside,Undefined,Units,"Number per 100,000 adults",E08000023,13.4
2017,Commerical bank branches and building societies,,,,South Tyneside,Undefined,Units,"Number per 100,000 adults",E08000023,13.4
2010,Commerical bank branches and building societies,,,,Sunderland,Undefined,Units,"Number per 100,000 adults",E08000024,19.9
2011,Commerical bank branches and building societies,,,,Sunderland,Undefined,Units,"Number per 100,000 adults",E08000024,20.0
2012,Commerical bank branches and building societies,,,,Sunderland,Undefined,Units,"Number per 100,000 adults",E08000024,16.3
2013,Commerical bank branches and building societies,,,,Sunderland,Undefined,Units,"Number per 100,000 adults",E08000024,16.3
2014,Commerical bank branches and building societies,,,,Sunderland,Undefined,Units,"Number per 100,000 adults",E08000024,16.3
2015,Commerical bank branches and building societies,,,,Sunderland,Undefined,Units,"Number per 100,000 adults",E08000024,16.3
2016,Commerical bank branches and building societies,,,,Sunderland,Undefined,Units,"Number per 100,000 adults",E08000024,14.4
2017,Commerical bank branches and building societies,,,,Sunderland,Undefined,Units,"Number per 100,000 adults",E08000024,12.6
2010,Commerical bank branches and building societies,,,,Blackburn with Darwen,Undefined,Units,"Number per 100,000 adults",E06000008,23.8
2011,Commerical bank branches and building societies,,,,Blackburn with Darwen,Undefined,Units,"Number per 100,000 adults",E06000008,20.3
2012,Commerical bank branches and building societies,,,,Blackburn with Darwen,Undefined,Units,"Number per 100,000 adults",E06000008,20.3
2013,Commerical bank branches and building societies,,,,Blackburn with Darwen,Undefined,Units,"Number per 100,000 adults",E06000008,20.3
2014,Commerical bank branches and building societies,,,,Blackburn with Darwen,Undefined,Units,"Number per 100,000 adults",E06000008,20.4
2015,Commerical bank branches and building societies,,,,Blackburn with Darwen,Undefined,Units,"Number per 100,000 adults",E06000008,20.3
2016,Commerical bank branches and building societies,,,,Blackburn with Darwen,Undefined,Units,"Number per 100,000 adults",E06000008,16.8
2017,Commerical bank branches and building societies,,,,Blackburn with Darwen,Undefined,Units,"Number per 100,000 adults",E06000008,13.4
2010,Commerical bank branches and building societies,,,,Blackpool,Undefined,Units,"Number per 100,000 adults",E06000009,24.5
2011,Commerical bank branches and building societies,,,,Blackpool,Undefined,Units,"Number per 100,000 adults",E06000009,24.6
2012,Commerical bank branches and building societies,,,,Blackpool,Undefined,Units,"Number per 100,000 adults",E06000009,21.1
2013,Commerical bank branches and building societies,,,,Blackpool,Undefined,Units,"Number per 100,000 adults",E06000009,24.7
2014,Commerical bank branches and building societies,,,,Blackpool,Undefined,Units,"Number per 100,000 adults",E06000009,21.3
2015,Commerical bank branches and building societies,,,,Blackpool,Undefined,Units,"Number per 100,000 adults",E06000009,21.4
2016,Commerical bank branches and building societies,,,,Blackpool,Undefined,Units,"Number per 100,000 adults",E06000009,21.4
2017,Commerical bank branches and building societies,,,,Blackpool,Undefined,Units,"Number per 100,000 adults",E06000009,17.9
2010,Commerical bank branches and building societies,,,,Cheshire East,Undefined,Units,"Number per 100,000 adults",E06000049,29.8
2011,Commerical bank branches and building societies,,,,Cheshire East,Undefined,Units,"Number per 100,000 adults",E06000049,28.3
2012,Commerical bank branches and building societies,,,,Cheshire East,Undefined,Units,"Number per 100,000 adults",E06000049,26.9
2013,Commerical bank branches and building societies,,,,Cheshire East,Undefined,Units,"Number per 100,000 adults",E06000049,25.5
2014,Commerical bank branches and building societies,,,,Cheshire East,Undefined,Units,"Number per 100,000 adults",E06000049,25.4
2015,Commerical bank branches and building societies,,,,Cheshire East,Undefined,Units,"Number per 100,000 adults",E06000049,25.3
