Year,Units,Urbanisation,Urbanisation sub-category,Household composition,Age of oldest person,Age of youngest person,Income group,Living in poverty,Economic activity,Disability status,Ethnicity of household reference person (HRP),Length of residence,Sub-national area,Decent homes criteria,Unit measure,Observation status,Unit multiplier,Value
2010,Dwelling (%),Suburban,,,,,,,,,,,,,Percentage (%),Undefined,Units,23.094
2010,Dwelling (%),Rural,Rural residential,,,,,,,,,,,,Percentage (%),Undefined,Units,25.67
2010,Dwelling (%),Rural,Village centre,,,,,,,,,,,,Percentage (%),Undefined,Units,34.623000000000005
2010,Dwelling (%),Rural,Other rural area,,,,,,,,,,,,Percentage (%),Undefined,Units,55.763999999999996
2010,Dwelling (%),Urban,,,,,,,,,,,,,Percentage (%),Undefined,Units,31.233
2010,Dwelling (%),Rural,,,,,,,,,,,,,Percentage (%),Undefined,Units,32.782
2010,Dwelling (%),,,,,,,,,,,,North,,Percentage (%),Undefined,Units,24.575
2010,Dwelling (%),,,,,,,,,,,,South East,,Percentage (%),Undefined,Units,25.441999999999997
2010,Dwelling (%),,,,,,,,,,,,Rest of England,,Percentage (%),Undefined,Units,28.715999999999998
2011,Dwelling (%),,,,,,,,,,,,,,Percentage (%),Undefined,Units,23.574
2011,Dwelling (%),Urban,City centre,,,,,,,,,,,,Percentage (%),Undefined,Units,32.34
2011,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,,Percentage (%),Undefined,Units,29.003
2011,Dwelling (%),Suburban,,,,,,,,,,,,,Percentage (%),Undefined,Units,19.957
2011,Dwelling (%),Rural,Rural residential,,,,,,,,,,,,Percentage (%),Undefined,Units,22.074
2011,Dwelling (%),Rural,Village centre,,,,,,,,,,,,Percentage (%),Undefined,Units,32.641
2011,Dwelling (%),Rural,Other rural area,,,,,,,,,,,,Percentage (%),Undefined,Units,51.574
2011,Dwelling (%),Urban,,,,,,,,,,,,,Percentage (%),Undefined,Units,29.55
2011,Dwelling (%),Rural,,,,,,,,,,,,,Percentage (%),Undefined,Units,29.588
2011,Dwelling (%),,,,,,,,,,,,North,,Percentage (%),Undefined,Units,23.066
2011,Dwelling (%),,,,,,,,,,,,South East,,Percentage (%),Undefined,Units,20.892
2011,Dwelling (%),,,,,,,,,,,,Rest of England,,Percentage (%),Undefined,Units,25.918000000000003
2012,Dwelling (%),,,,,,,,,,,,,,Percentage (%),Undefined,Units,21.776999999999997
2012,Dwelling (%),Urban,City centre,,,,,,,,,,,,Percentage (%),Undefined,Units,30.393
2012,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,,Percentage (%),Undefined,Units,28.388
2012,Dwelling (%),Suburban,,,,,,,,,,,,,Percentage (%),Undefined,Units,17.653
2012,Dwelling (%),Rural,Rural residential,,,,,,,,,,,,Percentage (%),Undefined,Units,21.381999999999998
2012,Dwelling (%),Rural,Village centre,,,,,,,,,,,,Percentage (%),Undefined,Units,33.172
2012,Dwelling (%),Rural,Other rural area,,,,,,,,,,,,Percentage (%),Undefined,Units,45.368
2012,Dwelling (%),Urban,,,,,,,,,,,,,Percentage (%),Undefined,Units,28.693
2012,Dwelling (%),Rural,,,,,,,,,,,,,Percentage (%),Undefined,Units,28.44
2012,Dwelling (%),,,,,,,,,,,,North,,Percentage (%),Undefined,Units,21.046
2012,Dwelling (%),,,,,,,,,,,,South East,,Percentage (%),Undefined,Units,18.927
2012,Dwelling (%),,,,,,,,,,,,Rest of England,,Percentage (%),Undefined,Units,24.413
2013,Dwelling (%),,,,,,,,,,,,,,Percentage (%),Undefined,Units,20.579246876024
2013,Dwelling (%),Urban,City centre,,,,,,,,,,,,Percentage (%),Undefined,Units,35.8871191828478
2013,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,,Percentage (%),Undefined,Units,26.2813952928083
2013,Dwelling (%),Suburban,,,,,,,,,,,,,Percentage (%),Undefined,Units,16.770472494514802
2013,Dwelling (%),Rural,Rural residential,,,,,,,,,,,,Percentage (%),Undefined,Units,18.202630982436602
2013,Dwelling (%),Rural,Village centre,,,,,,,,,,,,Percentage (%),Undefined,Units,31.058047891133103
2013,Dwelling (%),Rural,Other rural area,,,,,,,,,,,,Percentage (%),Undefined,Units,42.480865500891106
2013,Dwelling (%),Urban,,,,,,,,,,,,,Percentage (%),Undefined,Units,27.6655660263092
2013,Dwelling (%),Rural,,,,,,,,,,,,,Percentage (%),Undefined,Units,25.0024709691261
2013,Dwelling (%),,,,,,,,,,,,North,,Percentage (%),Undefined,Units,19.5406048525
2013,Dwelling (%),,,,,,,,,,,,South East,,Percentage (%),Undefined,Units,19.284276864200002
2013,Dwelling (%),,,,,,,,,,,,Rest of England,,Percentage (%),Undefined,Units,22.2959163378
2014,Dwelling (%),,,,,,,,,,,,,,Percentage (%),Undefined,Units,19.8414390582565
2014,Dwelling (%),Urban,City centre,,,,,,,,,,,,Percentage (%),Undefined,Units,33.4774668877647
2014,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,,Percentage (%),Undefined,Units,24.047386362690702
2014,Dwelling (%),Suburban,,,,,,,,,,,,,Percentage (%),Undefined,Units,16.3756209513379
2014,Dwelling (%),Rural,Rural residential,,,,,,,,,,,,Percentage (%),Undefined,Units,17.941760963355
2014,Dwelling (%),Rural,Village centre,,,,,,,,,,,,Percentage (%),Undefined,Units,32.6544278627384
2014,Dwelling (%),Rural,Other rural area,,,,,,,,,,,,Percentage (%),Undefined,Units,42.242144461578796
2014,Dwelling (%),Urban,,,,,,,,,,,,,Percentage (%),Undefined,Units,25.4599922492868
2014,Dwelling (%),Rural,,,,,,,,,,,,,Percentage (%),Undefined,Units,24.8201298207721
2014,Dwelling (%),,,,,,,,,,,,North,,Percentage (%),Undefined,Units,19.0908305425
2014,Dwelling (%),,,,,,,,,,,,South East,,Percentage (%),Undefined,Units,18.5798674554
2014,Dwelling (%),,,,,,,,,,,,Rest of England,,Percentage (%),Undefined,Units,21.321250289600002
2015,Dwelling (%),,,,,,,,,,,,,,Percentage (%),Undefined,Units,19.4088030850508
2015,Dwelling (%),Urban,City centre,,,,,,,,,,,,Percentage (%),Undefined,Units,26.4843361859644
2015,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,,Percentage (%),Undefined,Units,22.2769933249039
2015,Dwelling (%),Suburban,,,,,,,,,,,,,Percentage (%),Undefined,Units,16.2809527353166
2015,Dwelling (%),Rural,Rural residential,,,,,,,,,,,,Percentage (%),Undefined,Units,20.1990316310637
2015,Dwelling (%),Rural,Village centre,,,,,,,,,,,,Percentage (%),Undefined,Units,31.0314586607088
2015,Dwelling (%),Rural,Other rural area,,,,,,,,,,,,Percentage (%),Undefined,Units,42.624444843786
2015,Dwelling (%),Urban,,,,,,,,,,,,,Percentage (%),Undefined,Units,23.004483997476964
2014,Dwelling (%),Rural,,,,,,,,,,,,,Percentage (%),Undefined,Units,26.1144305255438
2015,Dwelling (%),,,,,,,,,,,,North,,Percentage (%),Undefined,Units,20.037137683399997
2015,Dwelling (%),,,,,,,,,,,,South East,,Percentage (%),Undefined,Units,16.7934079568
2015,Dwelling (%),,,,,,,,,,,,Rest of England,,Percentage (%),Undefined,Units,20.9416922656
2008,Dwelling (%),,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,21.771587522287998
2008,Dwelling (%),Urban,City centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,28.492784318846997
2008,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,22.8728518661875
2008,Dwelling (%),Suburban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.5761688081418
2008,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,25.5853779389023
2008,Dwelling (%),Rural,Village centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,38.4556706879175
2008,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,54.1194067238737
2008,Dwelling (%),Urban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,23.6756889394519
2008,Dwelling (%),Rural,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,32.9350417409394
2008,Dwelling (%),,,,,,,,,,,,North,Minimum standard,Percentage (%),Undefined,Units,22.6241817117
2008,Dwelling (%),,,,,,,,,,,,South East,Minimum standard,Percentage (%),Undefined,Units,18.6688232886
2008,Dwelling (%),,,,,,,,,,,,Rest of England,Minimum standard,Percentage (%),Undefined,Units,23.4486689546
2009,Dwelling (%),,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,20.1986881577713
2009,Dwelling (%),Urban,City centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,25.7693439655618
2009,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,20.932750847044197
2009,Dwelling (%),Suburban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,16.3998014098161
2009,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,23.9471727851635
2009,Dwelling (%),Rural,Village centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,31.256389135426602
2009,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,55.66526552203239
2009,Dwelling (%),Urban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,21.7090304793604
2009,Dwelling (%),Rural,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,30.769055526677104
2009,Dwelling (%),,,,,,,,,,,,North,Minimum standard,Percentage (%),Undefined,Units,20.1152288421
2009,Dwelling (%),,,,,,,,,,,,South East,Minimum standard,Percentage (%),Undefined,Units,16.9389475085
2009,Dwelling (%),,,,,,,,,,,,Rest of England,Minimum standard,Percentage (%),Undefined,Units,22.643345684
2010,Dwelling (%),,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.048
2010,Dwelling (%),Urban,City centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,20.73
2010,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.652
2010,Dwelling (%),Suburban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,14.274000000000001
2010,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,18.63
2010,Dwelling (%),Rural,Village centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,25.197
2010,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,49.472
2010,Dwelling (%),Urban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,18.160999999999998
2010,Dwelling (%),Rural,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,25.34
2010,Dwelling (%),,,,,,,,,,,,North,Minimum standard,Percentage (%),Undefined,Units,16.422
2010,Dwelling (%),,,,,,,,,,,,South East,Minimum standard,Percentage (%),Undefined,Units,14.0
2010,Dwelling (%),,,,,,,,,,,,Rest of England,Minimum standard,Percentage (%),Undefined,Units,19.733
2011,Dwelling (%),,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,14.718
2011,Dwelling (%),Urban,City centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.862000000000002
2011,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.471
2011,Dwelling (%),Suburban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,11.745
2011,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,15.905
2011,Dwelling (%),Rural,Village centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,22.764
2011,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,43.298
2011,Dwelling (%),Urban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.535
2011,Dwelling (%),Rural,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,22.171999999999997
2011,Dwelling (%),,,,,,,,,,,,North,Minimum standard,Percentage (%),Undefined,Units,14.374
2011,Dwelling (%),,,,,,,,,,,,South East,Minimum standard,Percentage (%),Undefined,Units,11.341
2011,Dwelling (%),,,,,,,,,,,,Rest of England,Minimum standard,Percentage (%),Undefined,Units,17.454
2012,Dwelling (%),,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,13.377
2012,Dwelling (%),Urban,City centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.574
2012,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.656
2012,Dwelling (%),Suburban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,9.943
2012,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,14.315
2012,Dwelling (%),Rural,Village centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,23.888
2012,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,37.569
2012,Dwelling (%),Urban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.643
2012,Dwelling (%),Rural,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,20.719
2012,Dwelling (%),,,,,,,,,,,,North,Minimum standard,Percentage (%),Undefined,Units,12.866
2012,Dwelling (%),,,,,,,,,,,,South East,Minimum standard,Percentage (%),Undefined,Units,10.017000000000001
2012,Dwelling (%),,,,,,,,,,,,Rest of England,Minimum standard,Percentage (%),Undefined,Units,16.234
2013,Dwelling (%),,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,11.900817333748698
2013,Dwelling (%),Urban,City centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.5310655655711
2013,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,15.9235713485418
2013,Dwelling (%),Suburban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,8.871695401484288
2013,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,10.9668821373019
2013,Dwelling (%),Rural,Village centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,22.742621744110398
2013,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,32.5132938668218
2013,Dwelling (%),Urban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,16.1552089091208
2013,Dwelling (%),Rural,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.081966264642
2013,Dwelling (%),,,,,,,,,,,,North,Minimum standard,Percentage (%),Undefined,Units,11.1919042254
2013,Dwelling (%),,,,,,,,,,,,South East,Minimum standard,Percentage (%),Undefined,Units,10.0132972792
2013,Dwelling (%),,,,,,,,,,,,Rest of England,Minimum standard,Percentage (%),Undefined,Units,13.829216327000001
2014,Dwelling (%),,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,11.4420290385273
2014,Dwelling (%),Urban,City centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,16.3456896370773
2014,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,14.4415515492655
2014,Dwelling (%),Suburban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,8.61417046888018
2014,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,11.649701444823801
2014,Dwelling (%),Rural,Village centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,22.3206059709262
2014,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,32.485095509397205
2014,Dwelling (%),Urban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,14.726787360834999
2014,Dwelling (%),Rural,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,17.1102213762536
2014,Dwelling (%),,,,,,,,,,,,North,Minimum standard,Percentage (%),Undefined,Units,11.9099944311
2014,Dwelling (%),,,,,,,,,,,,South East,Minimum standard,Percentage (%),Undefined,Units,8.41624456355
2014,Dwelling (%),,,,,,,,,,,,Rest of England,Minimum standard,Percentage (%),Undefined,Units,13.376666596500002
2015,Dwelling (%),,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,12.1957608457835
2015,Dwelling (%),Urban,City centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,16.360411170745
2015,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,13.757578299135401
2015,Dwelling (%),Suburban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,9.322134872212802
2015,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,15.110346257581698
2015,Dwelling (%),Rural,Village centre,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,22.3229955644016
2015,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,35.764093908043
2015,Dwelling (%),Urban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,14.207633523749301
2015,Dwelling (%),Rural,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,19.919301015508896
2015,Dwelling (%),,,,,,,,,,,,North,Minimum standard,Percentage (%),Undefined,Units,14.523213481500001
2015,Dwelling (%),,,,,,,,,,,,South East,Minimum standard,Percentage (%),Undefined,Units,7.249604565510001
2015,Dwelling (%),,,,,,,,,,,,Rest of England,Minimum standard,Percentage (%),Undefined,Units,14.283027177300001
2008,Dwelling (%),,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,6.3716517866175595
2008,Dwelling (%),Urban,City centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,11.8813862965938
2008,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.50946792432474
2008,Dwelling (%),Suburban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.31599220903229
2008,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.57700526516286
2008,Dwelling (%),Rural,Village centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,9.148174746383589
2008,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,11.289956133452101
2008,Dwelling (%),Urban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.99116429702724
2008,Dwelling (%),Rural,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,6.61670288603506
2008,Dwelling (%),,,,,,,,,,,,North,Repair,Percentage (%),Undefined,Units,6.607437450549999
2008,Dwelling (%),,,,,,,,,,,,South East,Repair,Percentage (%),Undefined,Units,6.83909954041
2008,Dwelling (%),,,,,,,,,,,,Rest of England,Repair,Percentage (%),Undefined,Units,5.85492191228
2009,Dwelling (%),,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,6.069081390758011
2009,Dwelling (%),Urban,City centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,9.69948754612022
2009,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.65793903213576
2009,Dwelling (%),Suburban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.844190565194481
2009,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.62297744134724
2009,Dwelling (%),Rural,Village centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,6.76465409146937
2009,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,10.858944119658
2009,Dwelling (%),Urban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.82510895477815
2009,Dwelling (%),Rural,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,6.735666129545081
2009,Dwelling (%),,,,,,,,,,,,North,Repair,Percentage (%),Undefined,Units,6.16385545629
2009,Dwelling (%),,,,,,,,,,,,South East,Repair,Percentage (%),Undefined,Units,6.465107186880001
2009,Dwelling (%),,,,,,,,,,,,Rest of England,Repair,Percentage (%),Undefined,Units,5.71132305469
2010,Dwelling (%),,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.585
2010,Dwelling (%),Urban,City centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,9.682
2010,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.496
2010,Dwelling (%),Suburban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.627
2010,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.593
2010,Dwelling (%),Rural,Village centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,
2010,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.948
2010,Dwelling (%),Urban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.693
2010,Dwelling (%),Rural,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.192
2010,Dwelling (%),,,,,,,,,,,,North,Repair,Percentage (%),Undefined,Units,6.1739999999999995
2010,Dwelling (%),,,,,,,,,,,,South East,Repair,Percentage (%),Undefined,Units,5.294
2011,Dwelling (%),,,,,,,,,,,,Rest of England,,Percentage (%),Undefined,Units,5.374
2011,Dwelling (%),,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.233
2011,Dwelling (%),Urban,City centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.641
2011,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.033999999999999
2011,Dwelling (%),Suburban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.453
2011,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,3.3489999999999998
2011,Dwelling (%),Rural,Village centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,9.77
2011,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.133
2011,Dwelling (%),Urban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.595
2011,Dwelling (%),Rural,,,,,,,,,,,North,Repair,Percentage (%),Undefined,Units,6.72
2011,Dwelling (%),,,,,,,,,,,,South East,Repair,Percentage (%),Undefined,Units,4.465
2011,Dwelling (%),,,,,,,,,,,,Rest of England,Repair,Percentage (%),Undefined,Units,4.727
2012,Dwelling (%),,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.751
2012,Dwelling (%),Urban,City centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.8020000000000005
2012,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,6.985
2012,Dwelling (%),Suburban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.065
2012,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,3.4930000000000003
2012,Dwelling (%),Rural,Village centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.456
2012,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,8.088
2012,Dwelling (%),Urban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,6.805
2012,Dwelling (%),Rural,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.775
2012,Dwelling (%),,,,,,,,,,,,North,Repair,Percentage (%),Undefined,Units,6.46
2012,Dwelling (%),,,,,,,,,,,,South East,Repair,Percentage (%),Undefined,Units,4.126
2012,Dwelling (%),,,,,,,,,,,,Rest of England,Repair,Percentage (%),Undefined,Units,3.9939999999999998
2013,Dwelling (%),,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.62496830085392
2013,Dwelling (%),Urban,City centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.1623578708695
2013,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,6.172759515746981
2013,Dwelling (%),Suburban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.1482172318194
2013,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,3.5860228081008603
2013,Dwelling (%),Rural,Village centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.83950649885075
2013,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,7.83805506210171
