Year,series,Type of expenditure,Observation status,Unit multiplier,Unit measure,Value
2009,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,89.01309819227279
2010,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,91.01410941769771
2011,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,86.10241589252446
2012,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,84.45176987677577
2013,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,83.17513107258793
2014,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,82.35702078121517
2015,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,82.69083090155122
2016,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,80.489762841575
2017,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,81.84408890342549
2018,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,75.98335831993691
2019,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,75.9317811631695
2020,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,84.19671740135061
2000,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,47.889060406445665
2001,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,40.02503679393703
2002,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,41.80865381861917
2003,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,44.18420200983622
2004,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,44.736982572259734
2005,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,48.30062254503561
2006,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,49.97772374484399
2007,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,50.96291367616289
2008,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,51.43650180027757
2009,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,52.69793850033327
2010,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,52.13553326588006
2011,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,49.63253593657907
2012,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,47.10776234204537
2013,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,43.31908083056577
2014,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,41.50360389369133
2015,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,39.74811856857625
2016,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,36.93937829122245
2017,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,38.703698656273
2018,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,38.78944421364449
2019,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,40.06179936763438
2020,Cultural heritage,Local government expenditure,Normal value,Units,GBP (£) per capita,39.19142529181139
