Year,Series,Source of revenue,Units,Unit multiplier,Observation status,Value
2000,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.37731545
2001,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.96009663
2002,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.30492788
2003,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,25.98599891
2004,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.67164595
2005,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.01950701
2006,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.20750871
2007,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.38471688
2008,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.97851074
2009,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,25.7143466
2010,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.84157863
2011,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.3493637
2012,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.56344018
2013,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.58161156
2014,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.3485181
2015,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.47427305
2016,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.89491014
2017,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.22857252
2018,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.22832096
2019,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.94650117
2020,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.49226648
1999,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.207737999
2000,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.363171822
2001,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.530185572
2002,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.438890905
2003,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.386824265
2004,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.671430382
2005,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.384258003
2006,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.076182466
2007,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.235656513
2008,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.3177097
2009,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.438266259
2010,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,9.258623921
2011,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.008720344
2012,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.983928916
2013,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,4.036709924
2014,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.520167385
2015,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.445487984
2016,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.376226744
2017,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.475710294
2018,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.488387294
2019,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.360061178
2020,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.607319751
