Year,Series,Sex,Age,Observation status,Unit multiplier,Units,Value
2011,Proportion of people living below 50 percent of median income,Female,16 to 24,Normal Value,Units,Percentage (%),13.2
2011,Proportion of people living below 50 percent of median income,Female,25 to 49,Normal Value,Units,Percentage (%),7.5
2011,Proportion of people living below 50 percent of median income,Female,50 to 64,Normal Value,Units,Percentage (%),9.0
2011,Proportion of people living below 50 percent of median income,Female,65 and over,Normal Value,Units,Percentage (%),14.6
2012,Proportion of people living below 50 percent of median income,,,Normal Value,Units,Percentage (%),9.2
2012,Proportion of people living below 50 percent of median income,,15 and under,Normal Value,Units,Percentage (%),8.2
2012,Proportion of people living below 50 percent of median income,,16 to 24,Normal Value,Units,Percentage (%),15.1
2012,Proportion of people living below 50 percent of median income,,25 to 49,Normal Value,Units,Percentage (%),7.2
2012,Proportion of people living below 50 percent of median income,,50 to 64,Normal Value,Units,Percentage (%),9.8
2012,Proportion of people living below 50 percent of median income,,65 and over,Normal Value,Units,Percentage (%),9.3
2012,Proportion of people living below 50 percent of median income,Male,,Normal Value,Units,Percentage (%),9.4
2012,Proportion of people living below 50 percent of median income,Male,15 and under,Normal Value,Units,Percentage (%),8.0
2012,Proportion of people living below 50 percent of median income,Male,16 to 24,Normal Value,Units,Percentage (%),17.7
2012,Proportion of people living below 50 percent of median income,Male,25 to 49,Normal Value,Units,Percentage (%),7.4
2012,Proportion of people living below 50 percent of median income,Male,50 to 64,Normal Value,Units,Percentage (%),9.8
2012,Proportion of people living below 50 percent of median income,Male,65 and over,Normal Value,Units,Percentage (%),8.4
2012,Proportion of people living below 50 percent of median income,Female,,Normal Value,Units,Percentage (%),9.0
2012,Proportion of people living below 50 percent of median income,Female,15 and under,Normal Value,Units,Percentage (%),8.5
2012,Proportion of people living below 50 percent of median income,Female,16 to 24,Normal Value,Units,Percentage (%),12.4
2012,Proportion of people living below 50 percent of median income,Female,25 to 49,Normal Value,Units,Percentage (%),7.0
2012,Proportion of people living below 50 percent of median income,Female,50 to 64,Normal Value,Units,Percentage (%),9.9
2012,Proportion of people living below 50 percent of median income,Female,65 and over,Normal Value,Units,Percentage (%),10.0
2013,Proportion of people living below 50 percent of median income,,,Normal Value,Units,Percentage (%),9.0
2013,Proportion of people living below 50 percent of median income,,15 and under,Normal Value,Units,Percentage (%),8.8
2013,Proportion of people living below 50 percent of median income,,16 to 24,Normal Value,Units,Percentage (%),13.3
2013,Proportion of people living below 50 percent of median income,,25 to 49,Normal Value,Units,Percentage (%),7.3
2013,Proportion of people living below 50 percent of median income,,50 to 64,Normal Value,Units,Percentage (%),9.8
2013,Proportion of people living below 50 percent of median income,,65 and over,Normal Value,Units,Percentage (%),9.0
2013,Proportion of people living below 50 percent of median income,Male,,Normal Value,Units,Percentage (%),8.8
2013,Proportion of people living below 50 percent of median income,Male,15 and under,Normal Value,Units,Percentage (%),8.7
2013,Proportion of people living below 50 percent of median income,Male,16 to 24,Normal Value,Units,Percentage (%),13.1
2013,Proportion of people living below 50 percent of median income,Male,25 to 49,Normal Value,Units,Percentage (%),7.1
2013,Proportion of people living below 50 percent of median income,Male,50 to 64,Normal Value,Units,Percentage (%),10.7
2013,Proportion of people living below 50 percent of median income,Male,65 and over,Normal Value,Units,Percentage (%),7.3
2013,Proportion of people living below 50 percent of median income,Female,,Normal Value,Units,Percentage (%),9.2
2013,Proportion of people living below 50 percent of median income,Female,15 and under,Normal Value,Units,Percentage (%),8.8
2013,Proportion of people living below 50 percent of median income,Female,16 to 24,Normal Value,Units,Percentage (%),13.6
2013,Proportion of people living below 50 percent of median income,Female,25 to 49,Normal Value,Units,Percentage (%),7.5
2013,Proportion of people living below 50 percent of median income,Female,50 to 64,Normal Value,Units,Percentage (%),9.0
2013,Proportion of people living below 50 percent of median income,Female,65 and over,Normal Value,Units,Percentage (%),10.5
2014,Proportion of people living below 50 percent of median income,,,Normal Value,Units,Percentage (%),9.5
2014,Proportion of people living below 50 percent of median income,,15 and under,Normal Value,Units,Percentage (%),9.7
2014,Proportion of people living below 50 percent of median income,,16 to 24,Normal Value,Units,Percentage (%),14.1
2014,Proportion of people living below 50 percent of median income,,25 to 49,Normal Value,Units,Percentage (%),7.7
2014,Proportion of people living below 50 percent of median income,,50 to 64,Normal Value,Units,Percentage (%),9.6
2014,Proportion of people living below 50 percent of median income,,65 and over,Normal Value,Units,Percentage (%),9.8
2014,Proportion of people living below 50 percent of median income,Male,,Normal Value,Units,Percentage (%),9.0
2014,Proportion of people living below 50 percent of median income,Male,15 and under,Normal Value,Units,Percentage (%),9.6
2014,Proportion of people living below 50 percent of median income,Male,16 to 24,Normal Value,Units,Percentage (%),12.2
2014,Proportion of people living below 50 percent of median income,Male,25 to 49,Normal Value,Units,Percentage (%),7.9
2014,Proportion of people living below 50 percent of median income,Male,50 to 64,Normal Value,Units,Percentage (%),9.7
2014,Proportion of people living below 50 percent of median income,Male,65 and over,Normal Value,Units,Percentage (%),7.6
2014,Proportion of people living below 50 percent of median income,Female,,Normal Value,Units,Percentage (%),10.0
2014,Proportion of people living below 50 percent of median income,Female,15 and under,Normal Value,Units,Percentage (%),9.8
2014,Proportion of people living below 50 percent of median income,Female,16 to 24,Normal Value,Units,Percentage (%),16.2
2014,Proportion of people living below 50 percent of median income,Female,25 to 49,Normal Value,Units,Percentage (%),7.5
2014,Proportion of people living below 50 percent of median income,Female,50 to 64,Normal Value,Units,Percentage (%),9.5
2014,Proportion of people living below 50 percent of median income,Female,65 and over,Normal Value,Units,Percentage (%),11.6
2015,Proportion of people living below 50 percent of median income,,,Normal Value,Units,Percentage (%),9.7
2015,Proportion of people living below 50 percent of median income,,15 and under,Normal Value,Units,Percentage (%),9.2
2015,Proportion of people living below 50 percent of median income,,16 to 24,Normal Value,Units,Percentage (%),14.7
2015,Proportion of people living below 50 percent of median income,,25 to 49,Normal Value,Units,Percentage (%),8.2
2015,Proportion of people living below 50 percent of median income,,50 to 64,Normal Value,Units,Percentage (%),10.0
2015,Proportion of people living below 50 percent of median income,,65 and over,Normal Value,Units,Percentage (%),9.8
2015,Proportion of people living below 50 percent of median income,Male,,Normal Value,Units,Percentage (%),9.6
2015,Proportion of people living below 50 percent of median income,Male,15 and under,Normal Value,Units,Percentage (%),8.6
2015,Proportion of people living below 50 percent of median income,Male,16 to 24,Normal Value,Units,Percentage (%),15.3
2015,Proportion of people living below 50 percent of median income,Male,25 to 49,Normal Value,Units,Percentage (%),8.5
2015,Proportion of people living below 50 percent of median income,Male,50 to 64,Normal Value,Units,Percentage (%),9.9
2015,Proportion of people living below 50 percent of median income,Male,65 and over,Normal Value,Units,Percentage (%),8.6
2015,Proportion of people living below 50 percent of median income,Female,,Normal Value,Units,Percentage (%),9.8
2015,Proportion of people living below 50 percent of median income,Female,15 and under,Normal Value,Units,Percentage (%),9.8
2015,Proportion of people living below 50 percent of median income,Female,16 to 24,Normal Value,Units,Percentage (%),14.2
2015,Proportion of people living below 50 percent of median income,Female,25 to 49,Normal Value,Units,Percentage (%),7.8
2015,Proportion of people living below 50 percent of median income,Female,50 to 64,Normal Value,Units,Percentage (%),10.1
2015,Proportion of people living below 50 percent of median income,Female,65 and over,Normal Value,Units,Percentage (%),10.8
2016,Proportion of people living below 50 percent of median income,,,Normal Value,Units,Percentage (%),9.9
2016,Proportion of people living below 50 percent of median income,,15 and under,Normal Value,Units,Percentage (%),9.9
2016,Proportion of people living below 50 percent of median income,,16 to 24,Normal Value,Units,Percentage (%),13.6
2016,Proportion of people living below 50 percent of median income,,25 to 49,Normal Value,Units,Percentage (%),8.3
2016,Proportion of people living below 50 percent of median income,,50 to 64,Normal Value,Units,Percentage (%),10.2
2016,Proportion of people living below 50 percent of median income,,65 and over,Normal Value,Units,Percentage (%),10.0
2016,Proportion of people living below 50 percent of median income,Male,,Normal Value,Units,Percentage (%),9.6
2016,Proportion of people living below 50 percent of median income,Male,15 and under,Normal Value,Units,Percentage (%),9.9
2016,Proportion of people living below 50 percent of median income,Male,16 to 24,Normal Value,Units,Percentage (%),12.5
2016,Proportion of people living below 50 percent of median income,Male,25 to 49,Normal Value,Units,Percentage (%),8.6
2016,Proportion of people living below 50 percent of median income,Male,50 to 64,Normal Value,Units,Percentage (%),10.6
2016,Proportion of people living below 50 percent of median income,Male,65 and over,Normal Value,Units,Percentage (%),8.3
2016,Proportion of people living below 50 percent of median income,Female,,Normal Value,Units,Percentage (%),10.1
2016,Proportion of people living below 50 percent of median income,Female,15 and under,Normal Value,Units,Percentage (%),9.8
2016,Proportion of people living below 50 percent of median income,Female,16 to 24,Normal Value,Units,Percentage (%),14.6
2016,Proportion of people living below 50 percent of median income,Female,25 to 49,Normal Value,Units,Percentage (%),8.1
2016,Proportion of people living below 50 percent of median income,Female,50 to 64,Normal Value,Units,Percentage (%),9.9
2016,Proportion of people living below 50 percent of median income,Female,65 and over,Normal Value,Units,Percentage (%),11.5
2017,Proportion of people living below 50 percent of median income,,,Normal Value,Units,Percentage (%),9.7
2017,Proportion of people living below 50 percent of median income,,15 and under,Normal Value,Units,Percentage (%),10.9
2017,Proportion of people living below 50 percent of median income,,16 to 24,Normal Value,Units,Percentage (%),13.8
2017,Proportion of people living below 50 percent of median income,,25 to 49,Normal Value,Units,Percentage (%),7.8
2017,Proportion of people living below 50 percent of median income,,50 to 64,Normal Value,Units,Percentage (%),10.9
2017,Proportion of people living below 50 percent of median income,,65 and over,Normal Value,Units,Percentage (%),8.4
2017,Proportion of people living below 50 percent of median income,Male,,Normal Value,Units,Percentage (%),9.4
2017,Proportion of people living below 50 percent of median income,Male,15 and under,Normal Value,Units,Percentage (%),11.1
2017,Proportion of people living below 50 percent of median income,Male,16 to 24,Normal Value,Units,Percentage (%),13.7
2017,Proportion of people living below 50 percent of median income,Male,25 to 49,Normal Value,Units,Percentage (%),7.2
2017,Proportion of people living below 50 percent of median income,Male,50 to 64,Normal Value,Units,Percentage (%),11.1
2017,Proportion of people living below 50 percent of median income,Male,65 and over,Normal Value,Units,Percentage (%),6.8
2017,Proportion of people living below 50 percent of median income,Female,,Normal Value,Units,Percentage (%),10.1
2017,Proportion of people living below 50 percent of median income,Female,15 and under,Normal Value,Units,Percentage (%),10.8
2017,Proportion of people living below 50 percent of median income,Female,16 to 24,Normal Value,Units,Percentage (%),13.8
2017,Proportion of people living below 50 percent of median income,Female,25 to 49,Normal Value,Units,Percentage (%),8.4
2017,Proportion of people living below 50 percent of median income,Female,50 to 64,Normal Value,Units,Percentage (%),10.7
2017,Proportion of people living below 50 percent of median income,Female,65 and over,Normal Value,Units,Percentage (%),9.7
2018,Proportion of people living below 50 percent of median income,,,Normal Value,Units,Percentage (%),11.3
2018,Proportion of people living below 50 percent of median income,,15 and under,Normal Value,Units,Percentage (%),13.2
2018,Proportion of people living below 50 percent of median income,,16 to 24,Normal Value,Units,Percentage (%),15.3
2018,Proportion of people living below 50 percent of median income,,25 to 49,Normal Value,Units,Percentage (%),8.6
2018,Proportion of people living below 50 percent of median income,,50 to 64,Normal Value,Units,Percentage (%),11.3
2018,Proportion of people living below 50 percent of median income,,65 and over,Normal Value,Units,Percentage (%),11.9
2018,Proportion of people living below 50 percent of median income,Male,,Normal Value,Units,Percentage (%),10.7
2018,Proportion of people living below 50 percent of median income,Male,15 and under,Normal Value,Units,Percentage (%),12.7
2018,Proportion of people living below 50 percent of median income,Male,16 to 24,Normal Value,Units,Percentage (%),14.2
2018,Proportion of people living below 50 percent of median income,Male,25 to 49,Normal Value,Units,Percentage (%),7.9
2018,Proportion of people living below 50 percent of median income,Male,50 to 64,Normal Value,Units,Percentage (%),11.8
2018,Proportion of people living below 50 percent of median income,Male,65 and over,Normal Value,Units,Percentage (%),10.4
2018,Proportion of people living below 50 percent of median income,Female,,Normal Value,Units,Percentage (%),11.9
2018,Proportion of people living below 50 percent of median income,Female,15 and under,Normal Value,Units,Percentage (%),13.6
2018,Proportion of people living below 50 percent of median income,Female,16 to 24,Normal Value,Units,Percentage (%),16.3
2018,Proportion of people living below 50 percent of median income,Female,25 to 49,Normal Value,Units,Percentage (%),9.2
2018,Proportion of people living below 50 percent of median income,Female,50 to 64,Normal Value,Units,Percentage (%),10.9
2018,Proportion of people living below 50 percent of median income,Female,65 and over,Normal Value,Units,Percentage (%),13.2
