Year,Series,Sex,Units,Unit multiplier,Observation status,Value
2016,Average weekly gross earnings of food producers by sex,Male,GBP (£),Units,Normal value,448.0
2017,Average weekly gross earnings of food producers by sex,Male,GBP (£),Units,Normal value,462.0
2018,Average weekly gross earnings of food producers by sex,Male,GBP (£),Units,Normal value,467.2
2019,Average weekly gross earnings of food producers by sex,Male,GBP (£),Units,Normal value,490.5
2020,Average weekly gross earnings of food producers by sex,Male,GBP (£),Units,Normal value,511.2
2021,Average weekly gross earnings of food producers by sex,Male,GBP (£),Units,Normal value,526.0028367913609
2022,Average weekly gross earnings of food producers by sex,Male,GBP (£),Units,Provisional value,552.2141509577904
2000,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,259.6
2001,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,269.6
2002,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,297.7
2003,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,306.2
2004,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,316.4
2005,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,318.5
2006,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,325.6
2007,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,362.1
2008,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,373.5
2009,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,406.8
2010,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,361.8
2011,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,359.9
2012,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,355.5
2013,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,384.8
2014,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,373.2
2015,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,380.2
2016,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,393.3
2017,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,408.0
2018,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,414.6
2019,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,431.5
2020,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,451.6
2021,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Normal value,468.0642243244224
2022,Average weekly gross earnings of food producers by sex,,GBP (£),Units,Provisional value,491.5294410340893
