Year,Sex,Age,Ethnicity,Disability status,Region,Urban or rural,Citizenship,Household income,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015/16,,,Other,,,,,,Undefined,Units,Percentage (%),,28.0
2015/16,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,23.0
2015/16,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,30.0
2015/16,,,,,North East,,,,Undefined,Units,Percentage (%),E12000001,23.0
2015/16,,,,,North West,,,,Undefined,Units,Percentage (%),E12000002,24.0
2015/16,,,,,Yorkshire and The Humber,,,,Undefined,Units,Percentage (%),E12000003,27.0
2015/16,,,,,East Midlands,,,,Undefined,Units,Percentage (%),E12000004,32.0
2015/16,,,,,West Midlands,,,,Undefined,Units,Percentage (%),E12000005,25.0
2015/16,,,,,East of England,,,,Undefined,Units,Percentage (%),E12000006,24.0
2015/16,,,,,London,,,,Undefined,Units,Percentage (%),E12000007,36.0
2015/16,,,,,South East,,,,Undefined,Units,Percentage (%),E12000008,28.0
2015/16,,,,,South West,,,,Undefined,Units,Percentage (%),E12000009,27.0
2015/16,,,,,,Urban,,,Undefined,Units,Percentage (%),,28.0
2015/16,,,,,,Rural,,,Undefined,Units,Percentage (%),,29.0
2016/17,,,,,,,,,Undefined,Units,Percentage (%),,27.0
2016/17,Male,,,,,,,,Undefined,Units,Percentage (%),,27.0
2016/17,Female,,,,,,,,Undefined,Units,Percentage (%),,26.0
2016/17,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,22.0
2016/17,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,25.0
2016/17,,35 to 49,,,,,,,Undefined,Units,Percentage (%),,32.0
2016/17,,50 to 64,,,,,,,Undefined,Units,Percentage (%),,25.0
2016/17,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,26.0
2016/17,,75 and over,,,,,,,Undefined,Units,Percentage (%),,27.0
2016/17,,,White,,,,,,Undefined,Units,Percentage (%),,25.0
2016/17,,,Asian,,,,,,Undefined,Units,Percentage (%),,37.0
2016/17,,,Black,,,,,,Undefined,Units,Percentage (%),,44.0
2016/17,,,Mixed,,,,,,Undefined,Units,Percentage (%),,37.0
2016/17,,,Other,,,,,,Undefined,Units,Percentage (%),,34.0
2016/17,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,26.0
2016/17,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,27.0
2016/17,,,,,North East,,,,Undefined,Units,Percentage (%),E12000001,19.0
2016/17,,,,,North West,,,,Undefined,Units,Percentage (%),E12000002,26.0
2016/17,,,,,Yorkshire and The Humber,,,,Undefined,Units,Percentage (%),E12000003,26.0
2016/17,,,,,East Midlands,,,,Undefined,Units,Percentage (%),E12000004,23.0
2016/17,,,,,West Midlands,,,,Undefined,Units,Percentage (%),E12000005,27.0
2016/17,,,,,East of England,,,,Undefined,Units,Percentage (%),E12000006,25.0
2016/17,,,,,London,,,,Undefined,Units,Percentage (%),E12000007,32.0
2016/17,,,,,South East,,,,Undefined,Units,Percentage (%),E12000008,26.0
2016/17,,,,,South West,,,,Undefined,Units,Percentage (%),E12000009,27.0
2016/17,,,,,,Urban,,,Undefined,Units,Percentage (%),,25.0
2016/17,,,,,,Rural,,,Undefined,Units,Percentage (%),,32.0
2017/18,,,,,,,,,Undefined,Units,Percentage (%),,26.0
2017/18,Male,,,,,,,,Undefined,Units,Percentage (%),,26.0
2017/18,Female,,,,,,,,Undefined,Units,Percentage (%),,26.0
2017/18,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,25.0
2017/18,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,25.0
2017/18,,35 to 49,,,,,,,Undefined,Units,Percentage (%),,29.0
2017/18,,50 to 64,,,,,,,Undefined,Units,Percentage (%),,25.0
2017/18,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,25.0
2017/18,,75 and over,,,,,,,Undefined,Units,Percentage (%),,27.0
2017/18,,,White,,,,,,Undefined,Units,Percentage (%),,24.0
2017/18,,,Asian,,,,,,Undefined,Units,Percentage (%),,34.0
2017/18,,,Black,,,,,,Undefined,Units,Percentage (%),,43.0
2017/18,,,Mixed,,,,,,Undefined,Units,Percentage (%),,34.0
2017/18,,,Other,,,,,,Undefined,Units,Percentage (%),,40.0
2017/18,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,22.0
2017/18,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,27.0
2017/18,,,,,North East,,,,Undefined,Units,Percentage (%),E12000001,27.0
2017/18,,,,,North West,,,,Undefined,Units,Percentage (%),E12000002,25.0
2017/18,,,,,Yorkshire and The Humber,,,,Undefined,Units,Percentage (%),E12000003,23.0
2017/18,,,,,East Midlands,,,,Undefined,Units,Percentage (%),E12000004,21.0
2017/18,,,,,West Midlands,,,,Undefined,Units,Percentage (%),E12000005,24.0
2017/18,,,,,East of England,,,,Undefined,Units,Percentage (%),E12000006,22.0
2017/18,,,,,London,,,,Undefined,Units,Percentage (%),E12000007,33.0
2017/18,,,,,South East,,,,Undefined,Units,Percentage (%),E12000008,28.0
2017/18,,,,,South West,,,,Undefined,Units,Percentage (%),E12000009,27.0
2017/18,,,,,,Urban,,,Undefined,Units,Percentage (%),,26.0
2017/18,,,,,,Rural,,,Undefined,Units,Percentage (%),,27.0
2017/18,,,,,,,United Kingdom,,Undefined,Units,Percentage (%),,25.0
2017/18,,,,,,,Republic of Ireland,,Undefined,Units,Percentage (%),,32.0
2017/18,,,,,,,EU Member State,,Undefined,Units,Percentage (%),,33.0
2017/18,,,,,,,Elsewhere in the world,,Undefined,Units,Percentage (%),,35.0
2013/14,,,,,,,,Band A1,Undefined,Units,Percentage (%),,24.0
2013/14,,,,,,,,Band A2,Undefined,Units,Percentage (%),,23.0
2013/14,,,,,,,,Band A3,Undefined,Units,Percentage (%),,25.0
2013/14,,,,,,,,Band A4,Undefined,Units,Percentage (%),,26.0
2013/14,,,,,,,,Band A5,Undefined,Units,Percentage (%),,25.0
2013/14,,,,,,,,Band A6,Undefined,Units,Percentage (%),,27.0
2013/14,,,,,,,,Band A7,Undefined,Units,Percentage (%),,32.0
2013/14,,,,,,,,Band A8,Undefined,Units,Percentage (%),,27.0
2013/14,,,,,,,,No income,Undefined,Units,Percentage (%),,26.0
2014/15,,,,,,,,Band A1,Undefined,Units,Percentage (%),,25.0
2014/15,,,,,,,,Band A2,Undefined,Units,Percentage (%),,26.0
2014/15,,,,,,,,Band A3,Undefined,Units,Percentage (%),,21.0
2014/15,,,,,,,,Band A4,Undefined,Units,Percentage (%),,24.0
2014/15,,,,,,,,Band A5,Undefined,Units,Percentage (%),,26.0
2014/15,,,,,,,,Band A6,Undefined,Units,Percentage (%),,23.0
2014/15,,,,,,,,Band A7,Undefined,Units,Percentage (%),,32.0
2014/15,,,,,,,,Band A8,Undefined,Units,Percentage (%),,39.0
2014/15,,,,,,,,No income,Undefined,Units,Percentage (%),,25.0
2015/16,,,,,,,,Band A1,Undefined,Units,Percentage (%),,38.0
2015/16,,,,,,,,Band A2,Undefined,Units,Percentage (%),,26.0
2015/16,,,,,,,,Band A3,Undefined,Units,Percentage (%),,22.0
2015/16,,,,,,,,Band A4,Undefined,Units,Percentage (%),,31.0
2015/16,,,,,,,,Band A5,Undefined,Units,Percentage (%),,24.0
2015/16,,,,,,,,Band A6,Undefined,Units,Percentage (%),,31.0
2015/16,,,,,,,,Band A7,Undefined,Units,Percentage (%),,28.0
2015/16,,,,,,,,Band A8,Undefined,Units,Percentage (%),,35.0
2015/16,,,,,,,,No income,Undefined,Units,Percentage (%),,32.0
2016/17,,,,,,,,Band B1,Undefined,Units,Percentage (%),,26.0
2016/17,,,,,,,,Band B2,Undefined,Units,Percentage (%),,26.0
2016/17,,,,,,,,Band B3,Undefined,Units,Percentage (%),,24.0
2016/17,,,,,,,,Band B4,Undefined,Units,Percentage (%),,26.0
2016/17,,,,,,,,Band B5,Undefined,Units,Percentage (%),,27.0
2016/17,,,,,,,,Band B6,Undefined,Units,Percentage (%),,27.0
2016/17,,,,,,,,Band B7,Undefined,Units,Percentage (%),,27.0
2016/17,,,,,,,,Band B8,Undefined,Units,Percentage (%),,33.0
2017/18,,,,,,,,Band B1,Undefined,Units,Percentage (%),,27.0
2017/18,,,,,,,,Band B2,Undefined,Units,Percentage (%),,26.0
2017/18,,,,,,,,Band B3,Undefined,Units,Percentage (%),,23.0
2017/18,,,,,,,,Band B4,Undefined,Units,Percentage (%),,22.0
2017/18,,,,,,,,Band B5,Undefined,Units,Percentage (%),,25.0
2017/18,,,,,,,,Band B6,Undefined,Units,Percentage (%),,25.0
2017/18,,,,,,,,Band B7,Undefined,Units,Percentage (%),,26.0
2017/18,,,,,,,,Band B8,Undefined,Units,Percentage (%),,34.0
2018/19,,,,,,,,,Undefined,Units,Percentage (%),,25.0
2018/19,Male,,,,,,,,Undefined,Units,Percentage (%),,25.0
2018/19,Female,,,,,,,,Undefined,Units,Percentage (%),,25.0
2018/19,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,21.0
2018/19,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,24.0
2018/19,,35 to 49,,,,,,,Undefined,Units,Percentage (%),,29.0
2018/19,,50 to 64,,,,,,,Undefined,Units,Percentage (%),,26.0
2018/19,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,25.0
2018/19,,75 and over,,,,,,,Undefined,Units,Percentage (%),,22.0
2018/19,,,White,,,,,,Undefined,Units,Percentage (%),,24.0
2018/19,,,Asian,,,,,,Undefined,Units,Percentage (%),,32.0
2018/19,,,Black,,,,,,Undefined,Units,Percentage (%),,48.0
2018/19,,,Mixed,,,,,,Undefined,Units,Percentage (%),,35.0
2018/19,,,Other,,,,,,Undefined,Units,Percentage (%),,30.0
2018/19,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,22.0
2018/19,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,26.0
2018/19,,,,,North East,,,,Undefined,Units,Percentage (%),E12000001,20.0
2018/19,,,,,North West,,,,Undefined,Units,Percentage (%),E12000002,24.0
2018/19,,,,,Yorkshire and The Humber,,,,Undefined,Units,Percentage (%),E12000003,23.0
2018/19,,,,,East Midlands,,,,Undefined,Units,Percentage (%),E12000004,25.0
2018/19,,,,,West Midlands,,,,Undefined,Units,Percentage (%),E12000005,22.0
2018/19,,,,,East of England,,,,Undefined,Units,Percentage (%),E12000006,24.0
2018/19,,,,,London,,,,Undefined,Units,Percentage (%),E12000007,31.0
2018/19,,,,,South East,,,,Undefined,Units,Percentage (%),E12000008,26.0
2018/19,,,,,South West,,,,Undefined,Units,Percentage (%),E12000009,28.0
2018/19,,,,,,Urban,,,Undefined,Units,Percentage (%),,25.0
2018/19,,,,,,Rural,,,Undefined,Units,Percentage (%),,28.0
2018/19,,,,,,,United Kingdom,,Undefined,Units,Percentage (%),,24.0
2018/19,,,,,,,Republic of Ireland,,Undefined,Units,Percentage (%),,22.0
2018/19,,,,,,,EU Member State,,Undefined,Units,Percentage (%),,36.0
2018/19,,,,,,,Elsewhere in the world,,Undefined,Units,Percentage (%),,36.0
2018/19,,,,,,,,Band B1,Undefined,Units,Percentage (%),,27.0
2018/19,,,,,,,,Band B2,Undefined,Units,Percentage (%),,23.0
2018/19,,,,,,,,Band B3,Undefined,Units,Percentage (%),,24.0
2018/19,,,,,,,,Band B4,Undefined,Units,Percentage (%),,25.0
2018/19,,,,,,,,Band B5,Undefined,Units,Percentage (%),,24.0
2018/19,,,,,,,,Band B6,Undefined,Units,Percentage (%),,26.0
2018/19,,,,,,,,Band B7,Undefined,Units,Percentage (%),,25.0
2018/19,,,,,,,,Band B8,Undefined,Units,Percentage (%),,31.0
