Year,Country Group,Product Sector,Value
2011,Least developed countries,FISH,60.0
2012,Least developed countries,FISH,72.1311475409836
2013,Least developed countries,FISH,72.36842105263158
2014,Least developed countries,FISH,93.93939393939394
2015,Least developed countries,FISH,91.8032786885246
2016,Least developed countries,FISH,85.9375
2017,Least developed countries,FISH,85.71428571428571
2018,Least developed countries,FISH,96.15384615384616
2019,Least developed countries,FISH,85.91549295774648
2005,Least developed countries,NAMA,52.112103980503655
2006,Least developed countries,NAMA,52.28945216680294
2007,Least developed countries,NAMA,46.73170731707317
2008,Least developed countries,NAMA,53.57142857142857
2009,Least developed countries,NAMA,54.00918403391027
2010,Least developed countries,NAMA,56.69705469845723
2011,Least developed countries,NAMA,58.66519174041298
2012,Least developed countries,NAMA,60.57692307692307
2013,Least developed countries,NAMA,59.7103357472021
2014,Least developed countries,NAMA,60.99558916194077
2015,Least developed countries,NAMA,59.87186953989516
2016,Least developed countries,NAMA,59.85623444843793
2017,Least developed countries,NAMA,59.067652075042645
2018,Least developed countries,NAMA,58.95172413793104
2019,Least developed countries,NAMA,59.73136686858046
2005,Least developed countries,PAPS,86.76470588235294
2006,Least developed countries,PAPS,79.3103448275862
2007,Least developed countries,PAPS,46.39175257731959
2008,Least developed countries,PAPS,84.88372093023256
2009,Least developed countries,PAPS,84.4155844155844
2010,Least developed countries,PAPS,77.63157894736842
2011,Least developed countries,PAPS,83.82352941176471
2012,Least developed countries,PAPS,88.73239436619718
2013,Least developed countries,PAPS,89.28571428571429
2014,Least developed countries,PAPS,92.70833333333334
2015,Least developed countries,PAPS,78.21782178217822
2016,Least developed countries,PAPS,85.84070796460178
2017,Least developed countries,PAPS,83.78378378378379
2018,Least developed countries,PAPS,88.59649122807018
2019,Least developed countries,PAPS,84.61538461538461
2005,Small island developing states,,51.51515151515152
2006,Small island developing states,,51.66898470097357
2007,Small island developing states,,51.14709851551957
2008,Small island developing states,,58.620689655172406
2009,Small island developing states,,60.15037593984962
2010,Small island developing states,,59.67617579028527
2011,Small island developing states,,63.41256366723261
2012,Small island developing states,,58.996815286624205
2013,Small island developing states,,58.99104963384866
2014,Small island developing states,,60.12913640032284
2015,Small island developing states,,59.131134352373294
2016,Small island developing states,,57.63358778625955
2017,Small island developing states,,56.0595322466336
2018,Small island developing states,,59.6958174904943
2019,Small island developing states,,59.86696230598669
2005,Small island developing states,AGRI,72.36842105263158
2006,Small island developing states,AGRI,71.03825136612022
2007,Small island developing states,AGRI,71.97802197802197
2008,Small island developing states,AGRI,83.14606741573034
2009,Small island developing states,AGRI,86.16352201257862
2010,Small island developing states,AGRI,84.93975903614458
2011,Small island developing states,AGRI,85.29411764705883
2012,Small island developing states,AGRI,84.18604651162791
2013,Small island developing states,AGRI,86.80203045685279
2014,Small island developing states,AGRI,88.73873873873875
2015,Small island developing states,AGRI,87.14285714285714
2016,Small island developing states,AGRI,84.23645320197043
2017,Small island developing states,AGRI,87.27272727272727
2018,Small island developing states,AGRI,90.19607843137256
2019,Small island developing states,AGRI,88.93805309734513
2005,Small island developing states,FISH,68.75
2006,Small island developing states,FISH,62.5
2007,Small island developing states,FISH,66.66666666666666
2008,Small island developing states,FISH,54.16666666666666
2009,Small island developing states,FISH,70.83333333333334
2010,Small island developing states,FISH,76.47058823529412
2011,Small island developing states,FISH,60.86956521739131
2012,Small island developing states,FISH,69.76744186046511
2013,Small island developing states,FISH,69.04761904761905
2014,Small island developing states,FISH,50.0
2015,Small island developing states,FISH,44.44444444444444
2016,Small island developing states,FISH,50.0
2017,Small island developing states,FISH,48.64864864864865
2018,Small island developing states,FISH,65.51724137931035
2019,Small island developing states,FISH,64.1025641025641
2005,Small island developing states,NAMA,47.22863741339492
2006,Small island developing states,NAMA,47.57709251101321
2007,Small island developing states,NAMA,46.73170731707317
2008,Small island developing states,NAMA,53.00101729399797
2009,Small island developing states,NAMA,53.125
2010,Small island developing states,NAMA,53.26688815060909
2011,Small island developing states,NAMA,56.20998719590269
2012,Small island developing states,NAMA,50.63731170336037
2013,Small island developing states,NAMA,49.81905910735826
2014,Small island developing states,NAMA,51.108374384236456
2015,Small island developing states,NAMA,50.42630937880633
2016,Small island developing states,NAMA,49.33774834437087
2017,Small island developing states,NAMA,47.67206477732793
2018,Small island developing states,NAMA,50.27085590465872
2019,Small island developing states,NAMA,50.52966101694916
2005,Small island developing states,PAPS,53.48837209302325
2006,Small island developing states,PAPS,46.875
2007,Small island developing states,PAPS,46.39175257731959
2008,Small island developing states,PAPS,69.23076923076923
2009,Small island developing states,PAPS,77.67857142857143
2010,Small island developing states,PAPS,75.89285714285714
2011,Small island developing states,PAPS,79.04761904761905
2012,Small island developing states,PAPS,77.57009345794393
2013,Small island developing states,PAPS,76.5625
2014,Small island developing states,PAPS,75.38461538461539
2015,Small island developing states,PAPS,77.44360902255639
2016,Small island developing states,PAPS,79.85611510791367
2017,Small island developing states,PAPS,74.82993197278913
2018,Small island developing states,PAPS,83.68794326241135
2019,Small island developing states,PAPS,84.25196850393701
