Year,Country group,Product Sector,Units,Value
2012,Developing countries,PAPS,Percentage (%),39.44903581
2013,Developing countries,PAPS,Percentage (%),39.39842209
2014,Developing countries,PAPS,Percentage (%),42.03406814
2015,Developing countries,PAPS,Percentage (%),44.73815461
2016,Developing countries,PAPS,Percentage (%),45.42405367
2017,Developing countries,PAPS,Percentage (%),44.81651376
2018,Developing countries,PAPS,Percentage (%),47.59309718
2019,Developing countries,PAPS,Percentage (%),46.90265487
2005,Least developed countries,,Percentage (%),56.51644336
2006,Least developed countries,,Percentage (%),56.48548487
2007,Least developed countries,,Percentage (%),51.14709852
2008,Least developed countries,,Percentage (%),56.94643369
2009,Least developed countries,,Percentage (%),58.13953488
2010,Least developed countries,,Percentage (%),60.77818801
2011,Least developed countries,,Percentage (%),62.55966587
2012,Least developed countries,,Percentage (%),64.71647165
2013,Least developed countries,,Percentage (%),63.94975949
2014,Least developed countries,,Percentage (%),65.23821528
2015,Least developed countries,,Percentage (%),63.47262248
2016,Least developed countries,,Percentage (%),63.73271889
2017,Least developed countries,,Percentage (%),63.15913928
2018,Least developed countries,,Percentage (%),63.46153846
2019,Least developed countries,,Percentage (%),63.87981711
2005,Least developed countries,AGRI,Percentage (%),79.10958904
2006,Least developed countries,AGRI,Percentage (%),80.54607509
2007,Least developed countries,AGRI,Percentage (%),71.97802198
2008,Least developed countries,AGRI,Percentage (%),79.7260274
2009,Least developed countries,AGRI,Percentage (%),87.21311475
2010,Least developed countries,AGRI,Percentage (%),86.79245283
2011,Least developed countries,AGRI,Percentage (%),86.98060942
2012,Least developed countries,AGRI,Percentage (%),91.07981221
2013,Least developed countries,AGRI,Percentage (%),88.58921162
2014,Least developed countries,AGRI,Percentage (%),84.82142857
2015,Least developed countries,AGRI,Percentage (%),85.45816733
2016,Least developed countries,AGRI,Percentage (%),88.65979381
2017,Least developed countries,AGRI,Percentage (%),89.15187377
2018,Least developed countries,AGRI,Percentage (%),89.46395564
2019,Least developed countries,AGRI,Percentage (%),87.84722222
2005,Least developed countries,FISH,Percentage (%),90.47619048
2006,Least developed countries,FISH,Percentage (%),68.18181818
2007,Least developed countries,FISH,Percentage (%),66.66666667
2008,Least developed countries,FISH,Percentage (%),52.63157895
2009,Least developed countries,FISH,Percentage (%),68.75
2010,Least developed countries,FISH,Percentage (%),58.33333333
2011,Least developed countries,FISH,Percentage (%),60.0
2012,Least developed countries,FISH,Percentage (%),72.13114754
2013,Least developed countries,FISH,Percentage (%),72.36842105
2014,Least developed countries,FISH,Percentage (%),93.93939394
2015,Least developed countries,FISH,Percentage (%),91.80327869
2016,Least developed countries,FISH,Percentage (%),85.9375
2017,Least developed countries,FISH,Percentage (%),85.71428571
2018,Least developed countries,FISH,Percentage (%),96.15384615
2019,Least developed countries,FISH,Percentage (%),85.91549296
2005,Least developed countries,NAMA,Percentage (%),52.11210398
2006,Least developed countries,NAMA,Percentage (%),52.28945217
2007,Least developed countries,NAMA,Percentage (%),46.73170732
2008,Least developed countries,NAMA,Percentage (%),53.57142857
2009,Least developed countries,NAMA,Percentage (%),54.00918403
2010,Least developed countries,NAMA,Percentage (%),56.6970547
2011,Least developed countries,NAMA,Percentage (%),58.66519174
2012,Least developed countries,NAMA,Percentage (%),60.57692308
2013,Least developed countries,NAMA,Percentage (%),59.71033575
2014,Least developed countries,NAMA,Percentage (%),60.99558916
2015,Least developed countries,NAMA,Percentage (%),59.87186954
2016,Least developed countries,NAMA,Percentage (%),59.85623445
2017,Least developed countries,NAMA,Percentage (%),59.06765208
2018,Least developed countries,NAMA,Percentage (%),58.95172414
2019,Least developed countries,NAMA,Percentage (%),59.73136687
2005,Least developed countries,PAPS,Percentage (%),86.76470588
2006,Least developed countries,PAPS,Percentage (%),79.31034483
2007,Least developed countries,PAPS,Percentage (%),46.39175258
2008,Least developed countries,PAPS,Percentage (%),84.88372093
2009,Least developed countries,PAPS,Percentage (%),84.41558442
2010,Least developed countries,PAPS,Percentage (%),77.63157895
2011,Least developed countries,PAPS,Percentage (%),83.82352941
2012,Least developed countries,PAPS,Percentage (%),88.73239437
2013,Least developed countries,PAPS,Percentage (%),89.28571429
2014,Least developed countries,PAPS,Percentage (%),92.70833333
2015,Least developed countries,PAPS,Percentage (%),78.21782178
2016,Least developed countries,PAPS,Percentage (%),85.84070796
2017,Least developed countries,PAPS,Percentage (%),83.78378378
2018,Least developed countries,PAPS,Percentage (%),88.59649123
2019,Least developed countries,PAPS,Percentage (%),84.61538462
2005,Small island developing states,,Percentage (%),51.51515152
2006,Small island developing states,,Percentage (%),51.6689847
2007,Small island developing states,,Percentage (%),51.14709852
2008,Small island developing states,,Percentage (%),58.62068966
2009,Small island developing states,,Percentage (%),60.15037594
2010,Small island developing states,,Percentage (%),59.67617579
2011,Small island developing states,,Percentage (%),63.41256367
2012,Small island developing states,,Percentage (%),58.99681529
2013,Small island developing states,,Percentage (%),58.99104963
2014,Small island developing states,,Percentage (%),60.1291364
2015,Small island developing states,,Percentage (%),59.13113435
2016,Small island developing states,,Percentage (%),57.63358779
2017,Small island developing states,,Percentage (%),56.05953225
2018,Small island developing states,,Percentage (%),59.69581749
2019,Small island developing states,,Percentage (%),59.86696231
2005,Small island developing states,AGRI,Percentage (%),72.36842105
2006,Small island developing states,AGRI,Percentage (%),71.03825137
2007,Small island developing states,AGRI,Percentage (%),71.97802198
2008,Small island developing states,AGRI,Percentage (%),83.14606742
2009,Small island developing states,AGRI,Percentage (%),86.16352201
2010,Small island developing states,AGRI,Percentage (%),84.93975904
2011,Small island developing states,AGRI,Percentage (%),85.29411765
2012,Small island developing states,AGRI,Percentage (%),84.18604651
2013,Small island developing states,AGRI,Percentage (%),86.80203046
2014,Small island developing states,AGRI,Percentage (%),88.73873874
2015,Small island developing states,AGRI,Percentage (%),87.14285714
2016,Small island developing states,AGRI,Percentage (%),84.2364532
2017,Small island developing states,AGRI,Percentage (%),87.27272727
2018,Small island developing states,AGRI,Percentage (%),90.19607843
2019,Small island developing states,AGRI,Percentage (%),88.9380531
2005,Small island developing states,FISH,Percentage (%),68.75
2006,Small island developing states,FISH,Percentage (%),62.5
2007,Small island developing states,FISH,Percentage (%),66.66666667
2008,Small island developing states,FISH,Percentage (%),54.16666667
2009,Small island developing states,FISH,Percentage (%),70.83333333
2010,Small island developing states,FISH,Percentage (%),76.47058824
2011,Small island developing states,FISH,Percentage (%),60.86956522
2012,Small island developing states,FISH,Percentage (%),69.76744186
2013,Small island developing states,FISH,Percentage (%),69.04761905
2014,Small island developing states,FISH,Percentage (%),50.0
2015,Small island developing states,FISH,Percentage (%),44.44444444
2016,Small island developing states,FISH,Percentage (%),50.0
2017,Small island developing states,FISH,Percentage (%),48.64864865
2018,Small island developing states,FISH,Percentage (%),65.51724138
2019,Small island developing states,FISH,Percentage (%),64.1025641
2005,Small island developing states,NAMA,Percentage (%),47.22863741
2006,Small island developing states,NAMA,Percentage (%),47.57709251
2007,Small island developing states,NAMA,Percentage (%),46.73170732
2008,Small island developing states,NAMA,Percentage (%),53.00101729
2009,Small island developing states,NAMA,Percentage (%),53.125
2010,Small island developing states,NAMA,Percentage (%),53.26688815
2011,Small island developing states,NAMA,Percentage (%),56.2099872
2012,Small island developing states,NAMA,Percentage (%),50.6373117
2013,Small island developing states,NAMA,Percentage (%),49.81905911
2014,Small island developing states,NAMA,Percentage (%),51.10837438
2015,Small island developing states,NAMA,Percentage (%),50.42630938
2016,Small island developing states,NAMA,Percentage (%),49.33774834
2017,Small island developing states,NAMA,Percentage (%),47.67206478
2018,Small island developing states,NAMA,Percentage (%),50.2708559
2019,Small island developing states,NAMA,Percentage (%),50.52966102
2005,Small island developing states,PAPS,Percentage (%),53.48837209
2006,Small island developing states,PAPS,Percentage (%),46.875
2007,Small island developing states,PAPS,Percentage (%),46.39175258
2008,Small island developing states,PAPS,Percentage (%),69.23076923
2009,Small island developing states,PAPS,Percentage (%),77.67857143
2010,Small island developing states,PAPS,Percentage (%),75.89285714
2011,Small island developing states,PAPS,Percentage (%),79.04761905
2012,Small island developing states,PAPS,Percentage (%),77.57009346
2013,Small island developing states,PAPS,Percentage (%),76.5625
2014,Small island developing states,PAPS,Percentage (%),75.38461538
2015,Small island developing states,PAPS,Percentage (%),77.44360902
2016,Small island developing states,PAPS,Percentage (%),79.85611511
2017,Small island developing states,PAPS,Percentage (%),74.82993197
2018,Small island developing states,PAPS,Percentage (%),83.68794326
2019,Small island developing states,PAPS,Percentage (%),84.2519685
