Year,Sex,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Household income,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016/17,,,,,,,,,Undefined,Units,Percentage (%),,
2017/18,,,,,,,,,Undefined,Units,Percentage (%),,75.2219777184439
2017/18,Male,,,,,,,,Undefined,Units,Percentage (%),,87.16786062260739
2017/18,Female,,,,,,,,Undefined,Units,Percentage (%),,63.74953488284568
2017/18,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,76.97541886
2017/18,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,77.01368031
2017/18,,35 to 44,,,,,,,Undefined,Units,Percentage (%),,77.95679948
2017/18,,45 to 54,,,,,,,Undefined,Units,Percentage (%),,78.12526752
2017/18,,55 to 64,,,,,,,Undefined,Units,Percentage (%),,74.81302419
2017/18,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,70.45375257
2017/18,,75 and over,,,,,,,Undefined,Units,Percentage (%),,66.46329694
2017/18,,,White,,,,,,Undefined,Units,Percentage (%),,76.03719811
2017/18,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Undefined,Units,Percentage (%),,76.19900083
2017/18,,,White,Irish,,,,,Undefined,Units,Percentage (%),,73.07632794
2017/18,,,White,Any other White background,,,,,Undefined,Units,Percentage (%),,74.64943342
2017/18,,,Mixed/Multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,79.20927779
2017/18,,,Asian/Asian British,,,,,,Undefined,Units,Percentage (%),,65.10010961
2017/18,,,Asian/Asian British,Indian,,,,,Undefined,Units,Percentage (%),,61.39216943
2017/18,,,Asian/Asian British,Pakistani,,,,,Undefined,Units,Percentage (%),,62.53960311
2017/18,,,Asian/Asian British,Any other Asian background,,,,,Undefined,Units,Percentage (%),,70.12885334
2017/18,,,Black/African/Caribbean/Black British,,,,,,Undefined,Units,Percentage (%),,76.49473249
2017/18,,,Black/African/Caribbean/Black British,African,,,,,Undefined,Units,Percentage (%),,74.92607511
2017/18,,,Black/African/Caribbean/Black British,Caribbean,,,,,Undefined,Units,Percentage (%),,85.23406325
2017/18,,,Other ethnic group,,,,,,Undefined,Units,Percentage (%),,77.59134016
2017/18,,,Other ethnic group,Any other ethnic group,,,,,Undefined,Units,Percentage (%),,76.27382714
2017/18,,,,,,UK,,,Undefined,Units,Percentage (%),,76.15675162
2017/18,,,,,,Non-UK,,,Undefined,Units,Percentage (%),,70.84039142
2017/18,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,72.13568101
2017/18,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,76.47150371
2017/18,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,77.00300553
2017/18,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,73.37057158
2017/18,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,68.48863783
2017/18,,,,,,,East of England,,Undefined,Units,Percentage (%),E12000006,73.21421362
2017/18,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,72.2907938
2017/18,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,77.7169555
2017/18,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,80.77707118
2017/18,,,,,,,Wales,,Undefined,Units,Percentage (%),W92000004,81.43447067
2018/19,,,,,,,,,Undefined,Units,Percentage (%),,78.41676293133546
2018/19,Male,,,,,,,,Undefined,Units,Percentage (%),,88.35775144994396
2018/19,Female,,,,,,,,Undefined,Units,Percentage (%),,68.81072249215667
2018/19,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,80.26767232704465
2018/19,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,82.40233909730615
2018/19,,35 to 44,,,,,,,Undefined,Units,Percentage (%),,79.4084263958582
2018/19,,45 to 54,,,,,,,Undefined,Units,Percentage (%),,78.86493418980255
2018/19,,55 to 64,,,,,,,Undefined,Units,Percentage (%),,78.97175330972198
2018/19,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,73.96338701112634
2018/19,,75 and over,,,,,,,Undefined,Units,Percentage (%),,71.37582048947397
2018/19,,,White,,,,,,Undefined,Units,Percentage (%),,78.81217145729046
2018/19,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Undefined,Units,Percentage (%),,78.7523797930001
2018/19,,,White,Irish,,,,,Undefined,Units,Percentage (%),,74.9862028800316
2018/19,,,White,Any other White background,,,,,Undefined,Units,Percentage (%),,79.84218147531351
2018/19,,,Mixed/Multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,84.75593746705765
2018/19,,,Asian/Asian British,,,,,,Undefined,Units,Percentage (%),,75.27839954474747
2018/19,,,Asian/Asian British,Indian,,,,,Undefined,Units,Percentage (%),,73.46391719535835
2018/19,,,Asian/Asian British,Pakistani,,,,,Undefined,Units,Percentage (%),,74.43152249321248
2018/19,,,Asian/Asian British,Bangladeshi,,,,,Undefined,Units,Percentage (%),,69.517298812181
2018/19,,,Asian/Asian British,Any other Asian background,,,,,Undefined,Units,Percentage (%),,77.96376902459552
2018/19,,,Black/African/Caribbean/Black British,,,,,,Undefined,Units,Percentage (%),,77.05079735468706
2018/19,,,Black/African/Caribbean/Black British,African,,,,,Undefined,Units,Percentage (%),,74.05557140374054
2018/19,,,Black/African/Caribbean/Black British,Caribbean,,,,,Undefined,Units,Percentage (%),,81.39877737252117
2018/19,,,Other ethnic group,,,,,,Undefined,Units,Percentage (%),,65.92666573022196
2018/19,,,,,Limiting long-term illness or disability,,,,Undefined,Units,Percentage (%),,63.64163116961257
2018/19,,,,,No limiting long-term illness or disability,,,,Undefined,Units,Percentage (%),,81.32498048789061
2018/19,,,,,,UK,,,Undefined,Units,Percentage (%),,78.54333145981356
2018/19,,,,,,Non-UK,,,Undefined,Units,Percentage (%),,77.72011442294882
2018/19,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,74.55468688376641
2018/19,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,77.24722342281228
2018/19,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,79.4401074628456
2018/19,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,79.30637433402521
2018/19,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,73.39975941331028
2018/19,,,,,,,East of England,,Undefined,Units,Percentage (%),E12000006,78.28681079754766
2018/19,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,74.51738341580496
2018/19,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,81.4457544935554
2018/19,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,85.0036375152492
2018/19,,,,,,,Wales,,Undefined,Units,Percentage (%),W92000004,82.50008598214113
2019/20,,,,,,,,,Undefined,Units,Percentage (%),,77.84645681302179
2019/20,Male,,,,,,,,Undefined,Units,Percentage (%),,86.83011684809004
2019/20,Female,,,,,,,,Undefined,Units,Percentage (%),,68.99553805118843
2019/20,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,80.12869771552586
2019/20,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,79.508350295058
2019/20,,35 to 44,,,,,,,Undefined,Units,Percentage (%),,80.13446165880262
2019/20,,45 to 54,,,,,,,Undefined,Units,Percentage (%),,79.86600818259623
2019/20,,55 to 64,,,,,,,Undefined,Units,Percentage (%),,78.17376536292647
2019/20,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,74.98005118970329
2019/20,,75 and over,,,,,,,Undefined,Units,Percentage (%),,67.58099568980793
2019/20,,,White,,,,,,Undefined,Units,Percentage (%),,78.41391707570313
2019/20,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Undefined,Units,Percentage (%),,78.32918086678458
2019/20,,,White,Irish,,,,,Undefined,Units,Percentage (%),,77.65466398264351
2019/20,,,White,Any other White background,,,,,Undefined,Units,Percentage (%),,79.5579980630285
2019/20,,,Mixed/Multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,77.95501634727785
2019/20,,,Asian/Asian British,,,,,,Undefined,Units,Percentage (%),,72.29803961720162
2019/20,,,Asian/Asian British,Indian,,,,,Undefined,Units,Percentage (%),,76.24178897412816
2019/20,,,Asian/Asian British,Pakistani,,,,,Undefined,Units,Percentage (%),,66.37979335376163
2019/20,,,Asian/Asian British,Any other Asian background,,,,,Undefined,Units,Percentage (%),,74.1820633355827
2019/20,,,Black/African/Caribbean/Black British,,,,,,Undefined,Units,Percentage (%),,77.63093544500984
2019/20,,,Black/African/Caribbean/Black British,African,,,,,Undefined,Units,Percentage (%),,73.43684872862536
2019/20,,,Black/African/Caribbean/Black British,Caribbean,,,,,Undefined,Units,Percentage (%),,84.01022168172877
2019/20,,,Other ethnic group,,,,,,Undefined,Units,Percentage (%),,80.24983930056128
2019/20,,,,,Limiting long-term illness or disability,,,,Undefined,Units,Percentage (%),,63.482369325346404
2019/20,,,,,No limiting long-term illness or disability,,,,Undefined,Units,Percentage (%),,80.61527371096132
2019/20,,,,,,UK,,,Undefined,Units,Percentage (%),,78.35186259741008
2019/20,,,,,,Non-UK,,,Undefined,Units,Percentage (%),,75.5539694244559
2019/20,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,76.98902630026375
2019/20,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,77.45575886844394
2019/20,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,75.58187511158661
2019/20,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,75.89910596609465
2019/20,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,70.70317133346681
2019/20,,,,,,,East of England,,Undefined,Units,Percentage (%),E12000006,77.70847618897513
2019/20,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,75.95050746283611
2019/20,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,81.60204285317506
2019/20,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,82.7700556171558
2019/20,,,,,,,Wales,,Undefined,Units,Percentage (%),W92000004,85.35156907374639
2019/20,,,,,,,,"Less than £10,400",Undefined,Units,Percentage (%),,66.49974624848282
2019/20,,,,,,,,"£10,400 to less than £20,800",Undefined,Units,Percentage (%),,71.94108956812019
2019/20,,,,,,,,"£20,800 to less than £31,200",Undefined,Units,Percentage (%),,73.76682240006
2019/20,,,,,,,,"£31,200 to less than £41,600",Undefined,Units,Percentage (%),,80.77645895295193
2019/20,,,,,,,,"£41,600 to less than £52,000",Undefined,Units,Percentage (%),,81.09606586782111
2019/20,,,,,,,,"£52,000 or more",Undefined,Units,Percentage (%),,85.8228497980259
