Indicator,Reporting status,UN designated tier,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type,Source
#11-7-2,complete,Tier II,United Nations Office on Drugs and Crime (UNODC),,,England and Wales,Percentage (%),line,Office for National Statistics (ONS)
#11-a-1,notstarted,Tier I,United Nations Human Settlements Programme (UN-Habitat)  The United Nations Population Fund - UNFPA,,,,,,
#11-b-1,complete,Tier II,United Nations International Strategy for Disaster Reduction (UNISDR),True,,,,line,
#11-b-2,complete,Tier II,United Nations International Strategy for Disaster Reduction (UNISDR),True,,,,line,
#12-1-1,complete,Tier II,UN Environment (UNEP),True,,,,line,
#12-2-1,complete,Tier II,United Nations Environment Programme (UNEP),,,United Kingdom,"Million metric tons, Tons per capita, Tons per GDP (£m), Kilograms per constant USD ($) expressed in 2021 prices",line,Office for National Statistics (ONS)
#12-2-2,complete,Tier I,United Nations Environment Programme (UNEP),,,United Kingdom,"Million tonnes, Tonnes per capita, Tonnes per GDP ($m)",line,Office for National Statistics (ONS)
#12-3-1,complete,Tier II,"Food and Agriculture Organization (FAO), UN Environment (UNEP)",,,United Kingdom,"Kilogrammes per person, kilotonnes",line,Waste and Resource Action Programme
#12-4-1,complete,Tier I,UN Environment (UNEP),,,United Kingdom,Compliance with meeting commitments of agreement (%),line,UNEP
#12-4-2,complete,Tier II,"United Nations Statistics Division (UNSD), UN Environment (UNEP)",,,United Kingdom,,line,"Department for Environment, Food and Rural Affairs"
#12-5-1,complete,Tier II,"United Nations Statistics Division (UNSD), UN Environment (UNEP)",,,United Kingdom,Percentage (%),line,"Department for Environment, Food & Rural Affairs (DEFRA)"
#12-6-1,complete,Tier II,"UN Environment Programme (UNEP), United Nations Conference on Trade and Development (UNCTAD)",,,United Kingdom,Number,line,United Nations SDG Global database (UNSDG)
#12-7-1,complete,Tier II,UN Environment (UNEP),True,,,,line,
#12-8-1,complete,Tier II,"United Nations Educational, Scientific and Cultural Organization - Institute for Statistics (UNESCO-UIS)",,,England,Index (between 0.000 and 1.000),bar,UNESCO’s Sections for Education for Sustainable Development and Global Citizenship and Peace Education.
#12-a-1,complete,Tier I,International Renewable Energy Agency (IRENA),,True,United Kingdom,Watts per capita,line,"Department for Business, Energy & Industrial Strategey"
#12-b-1,complete,Tier I,UNWTO,,,United Kingdom,Number of tables,line,World Tourism Organization (UNWTO)
#12-c-1,notstarted,Tier I,UN Environment (UNEP),,,,,line,
#13-1-1,complete,Tier I,United Nations Office for Disaster Reduction (UNISDR),,,England and Wales,"Number of deaths and age-standardised mortality rates per 100,000 population",line,Nomis
#13-1-2,complete,Tier II,United Nations International Strategy for Disaster Reduction (UNISDR),True,,United Kingdom,,line,
#13-1-3,complete,Tier II,United Nations International Strategy for Disaster Reduction (UNISDR),True,,,,line,
#13-2-1,complete,Tier II,UN Climate Change (UNFCCC Secretariat),True,,,,line,
#13-2-2,complete,Tier I,UN Climate Change (UNFCCC Secretariat),,,United Kingdom,Million tonnes carbon dioxide equivalent (MtCO2e),line,Department for Energy Security and Net Zero
#13-3-1,complete,Tier II,"United Nations Educational, Scientific and Cultural Organization - Institute for Statistics (UNESCO-UIS)",,,England,Index (between 0.000 and 1.000),bar,UNESCO’s Sections for Education for Sustainable Development and Global Citizenship and Peace Education.
#13-a-1,complete,Tier II,UN Climate Change (UNFCCC Secretariat),,,United Kingdom,USD ($ millions),line,United Nations Framework Convention on Climate Change (UNFCCC)
#13-b-1,complete,Tier II,UN Climate Change (UNFCCC Secretariat),True,,,,line,
#14-1-1,complete,Tier II,UN Environment (UNEP),,,United Kingdom,Median count,line,Marine Conservation Society (MCS) and Office for National Statistics (ONS)
#14-2-1,complete,Tier II,United Nations Environment Agency (UNEP),,,United Kingdom,Percentage (%) / Million hectares,line,Joint Nature Conservation Committee (JNCC)
#14-3-1,notstarted,Tier II,"Intergovernmental Oceanographic Commission of United Nations Educational, Scientific and Cultural Organization",,,,,line,
#14-4-1,complete,Tier I,Food and Agriculture Organization (FAO),,,United Kingdom,Percentage (%),line,"Department for Environment, Food and Rural Affairs (DEFRA)"
#14-5-1,complete,Tier I,"BirdLife International (BLI), International Union for Conservation of Nature (IUCN), UN Environment World Conservation Monitoring Centre (UNEP-WCMC)",,,United Kingdom,square kilometres / Percentage (%),line,Joint Nature Conservation Committee (JNCC)
#14-6-1,complete,Tier I,Food and Agriculture Organization (FAO),True,,,,line,
#14-7-1,notstarted,Tier I,"Food and Agriculture Organization (FAO), UN Environment (UNEP)-World Conservation Monitoring Centre (WCMC)",,,,,line,
#14-a-1,notstarted,Tier II,"Intergovernmental Oceanographic Commission of United Nations Educational, Scientific and Cultural Organization",,,,,line,
#14-b-1,complete,Tier I,Food and Agriculture Organization (FAO),True,,,,line,
#14-c-1,complete,Tier II,"Division for Ocean Affairs and the Law of the Sea (UN-DOALOS), Food and Agriculture Organization (FAO), UN Environment (UNEP), International Labour Organization (ILO), other UN-Oceans agencies",True,,,,line,
#15-1-1,complete,Tier I,Food and Agriculture Organization (FAO),,,United Kingdom,Percentage (%),line,Forest Research
#15-1-2,complete,Tier I,"Birdlife International, International Union for Conservation of Nature (ICUN), UN Environment World Conservation Monitoring Centre (UNEP-WCMC), UN Environment (UNEP)",,,United Kingdom,Percentage (%),line,United Nations (UN)
#15-2-1,complete,Tier I,Food and Agriculture Organization of the United Nations (FAO),,,United Kingdom,"Hectares, Percentage (%), Growth rate (%), Tonnes per hectare",line,Forest Research
#15-3-1,notstarted,Tier I,United Nations Convention to Combat Desertification (UNCCD),,,,,line,
#15-4-1,complete,Tier I,"BirdLife International (BLI), Internation Union for Conservation of Nature (IUCN), UN Environment World Conservation Monitoring Centre (UNEP-WCMC), UN Environment",,,United Kingdom,Percentage (%),line,"BirdLife International, International Union for Conservation of Nature (IUCN), and UN Environment World Conservation Monitoring Centre (UNEP-WCMC)"
#15-4-2,complete,Tier I,Food and Agriculture Organization (FAO),,,United Kingdom,"Square Km, Index",line,Food & Agriculture Organisation (FAO)
#15-5-1,complete,Tier I,"International Union for Conservation of Nature (IUCN), BirdLife International (BLI)",,,United Kingdom,Red List Index,line,United Nations (UN)
#15-6-1,complete,Tier I,Secretariat of the Convention on Biological Diversity (CBD),,,United Kingdom,Number,line,United Nations (UN)
#15-7-1,complete,Tier II,United Nations Office on Drugs and Crime (UNODC),,,United Kingdom,Number of seizures,line,Home Office (HO)
#15-8-1,complete,Tier I,International Union for Conservation of Nature (IUCN),True,,,,line,
#15-9-1,complete,Tier I (a)/Tier II (b),"United Nations Environment Programme (UN Environment), Convention on Biological Diversity (CBD), United Nations Statistics Division (UNSD) and UNEP-WCMC",True,,,,line,
#15-a-1,complete,Tier I,Organisation for Economic Cooperation and Development (OECD),,,United Kingdom,"GPB (£ Millions), USD ($ Millions)",line,"Foreign, Commonwealth & Development Office (FCDO)"
#15-b-1,complete,Tier I,Organisation for Economic Cooperation and Development (OECD),,,United Kingdom,"GPB (£ Millions), USD ($ Millions)",line,"Foreign, Commonwealth & Development Office (FCDO)"
#15-c-1,complete,Tier II,United Nations Office on Drugs and Crime (UNODC),,,United Kingdom,Number of seizures,line,Home Office (HO)
#16-1-1,complete,Tier II,"United Nations Office on Drugs and Crime (UNODC), World Health Organization (WHO)",,,England and Wales,"Rate per 100,000 population",line,Home Office - Homicide Index
#16-1-2,complete,Tier II,Office of the United Nations High Commissioner for Human Rights (OHCHR),,,United Kingdom,"Rate per 100,000 population",line,Ministry of Defence
#16-1-3,complete,Tier II,UNODC,,,England and Wales,Percentage (%),line,Office for National Statistics (ONS)
#16-1-4,complete,Tier II,United Nations Office on Drugs and Crime (UNODC),,,England and Wales,Percentage (%),line,Office for National Statistics (ONS)
#16-10-1,notstarted,Tier II,Office of the United Nations High Commissioner for Human Rights (OHCHR),,,,,line,
#16-10-2,complete,Tier I,"United Nations Educational, Scientific and Cultural Organization - Institute for Statistics (UNESCO-UIS)",True,,,,line,
#16-2-1,complete,Tier II,United Nations Children's Fund (UNICEFF),True,,,,line,
#16-2-2,complete,Tier II,United Nations Office on Drugs and Crime (United Nations Office for Disarmament Affairs (UNODC)),,,United Kingdom,Number,line,Home Office - National Referral Mechanism
#16-2-3,complete,Tier II,United Nations Children's Fund (UNICEF),,,England and Wales,Percentage (%),bar,Office for National Statistics (ONS)
#16-3-1,complete,Tier II,United Nations Office on Drugs and Crime (United Nations Office for Disarmament Affairs (UNODC)),,,England and Wales,Percentage (%),line,Office for National Statistics (ONS)
#16-3-2,complete,Tier I,United Nations Office on Drugs and Crime (UNODC),,,England and Wales,Percentage (%),line,Ministry of Justice (MOJ)
#16-3-3,notstarted,Tier II,United Nations Development Programme (UNDP)  United Nations on Drugs and Crime (UNODC)  Organization for Economic Cooperation and Development (OECD),,,,,,
#16-4-1,notstarted,Tier II,"United Nations Office on Drugs and Crime (UNODC), United Nations Conference on Trade and Development (UNCTAD)",,,,,line,
#16-4-2,notstarted,Tier II,"United Nations Office on Drugs and Crime (UNODC), United Nations Conference on Trade and Development (UNCTAD)",,,,,line,
#16-5-1,complete,Tier II,United Nations Office on Drugs and Crime (UNODC),,,England and Wales,Number of offences,line,Office for National Statistics (ONS)
#16-5-2,complete,Tier I,United Nations Office on Drugs and Crime (UNODC),,,England and Wales,Number of offences,line,Office for National Statistics (ONS)
#16-6-1,notstarted,Tier II,World Bank (WB),,,,,line,
#16-6-2,complete,Tier II,United Nations Development Programme (UNDP),,True,Great Britain,Percentage (%),bar,Office for National Statistics (ONS)
#16-7-1,notstarted,"Tier I (a)/Tier II (b, c)",United Nations Development Programme (UNDP),,,,,line,
#16-7-2,complete,Tier II,United Nations Development Programme (UNDP),,True,England,Percentage (%),line,"Department for Digital, Culture, Media & Sport"
#16-8-1,complete,Tier I,United Nations Department of Economic and Social Affairs (DESA)/Financing for Development Office (FFDO),,,United Kingdom,Percentage (%),line,United Nations Statistics Division (UNSD)
#16-9-1,complete,Tier I,"United Nations Statistics Division (UNSD), United Nations Children's Fund (UNICEFF)",,,United Kingdom,Percentage (%),line,UNICEF
#16-a-1,complete,Tier I,Office of the United Nations High Commissioner for Human Rights (OHCHR),True,,,,line,
#16-b-1,complete,Tier II,Office of the United Nations High Commissioner for Human Rights (OHCHR),,,England and Wales,Percentage (%),line,Office for National Statistics (ONS)
#17-1-1,complete,Tier I,International Monetary Fund (IMF) Statistics Department (Government Finance Division),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#17-1-2,complete,Tier I,International Monetary Fund (IMF) Statistics Department (Government Finance Division),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#17-10-1,complete,Tier I,"World Trade Organization (WTO), The International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD)",,,United Kingdom,Percentage (%),bar,United Nations (UN)
#17-11-1,complete,Tier I,"World Trade Organization (WTO), The International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD)",,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#17-12-1,complete,Tier I,"World Trade Organization (WTO), The International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD)",,,,Percentage (%),line,Eurostat
#17-13-1,complete,Tier II,World Bank (WB),True,,United Kingdom,N/A,line,Office for National Statistics
#17-14-1,complete,Tier II,UN Environment (UNEP),,,United Kingdom,Percentage (%),bar,"Foreign, Commonwealth & Development Office (FCDO)"
#17-15-1,notstarted,Tier II,"Organisation for Economic Co-operation and Development (OECD), United Nations Development Programme (UNDP)",,,,,line,
#17-16-1,complete,Tier II,"Organisation for Economic Co-operation and Development (OECD), United Nations Development Programme (UNDP)",True,,United Kingdom,,line,
#17-17-1,notstarted,Tier II,World Bank,,,,,,
#17-18-1,complete,Tier II,United Nations Statistics Division (UNSD),,,United Kingdom,Percentage,bar,Office for National Statistics
#17-18-2,complete,Tier I,Partnership in Statistics for Development in the 21st Century (PARIS21),True,,United Kingdom,,line,United Nations (UN)
#17-18-3,complete,Tier I,PARIS21,True,,United Kingdom,,line,UK Statistics Authority (UKSA)
#17-19-1,complete,Tier I,Partnership in Statistics for Development in the 21st Century (PARIS21),,,United Kingdom,"GBP (thousands), USD (thousands)",line,"Foreign, Commonwealth & Development Office (FCDO)"
#17-19-2,complete,Tier I,"United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations",True,,United Kingdom,,line,UK Government
#17-2-1,complete,Tier I,Organisation for Economic Co-operation and Development (OECD),,,United Kingdom,Percentage (%),line,"Foreign, Commonwealth and Development Office (FCDO) (formerly Department for International Development)"
#17-3-1,complete,"Tier I (FDI)/Tier II (ODA, SSC)","Organisation for Economic Co-operation and Development (OECD), United Nations Conference on Trade and Development (UNCTAD)",,,United Kingdom,Percentage (%),line,"Foreign, Commonwealth & Development Office (formerly Department for International Development)"
#17-3-2,complete,Tier I,World Bank (WB),,,United Kingdom,Percentage (%),line,World Bank (WB)
#17-4-1,complete,Tier I,World Bank (WB),,,United Kingdom,Percentage (%),line,Office for National Statistics
#17-5-1,complete,Tier II,United Nations Conference on Trade and Development (UNCTAD),,,United Kingdom,GBP (£ Millions),line,"Foreign, Commonwealth & Development Office (FCDO)"
#17-6-1,complete,Tier I,International Telecommunication Union (ITU),,,United Kingdom,"Rate per 100 population, number",line,United Nations (UN) and Ofcom
#17-7-1,notstarted,Tier II,UN Environment (UNEP)-Climate Technology Centre and Network (CTCN),,,,,line,
#17-8-1,complete,Tier I,International Telecommunication Union (ITU),,True,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#17-9-1,complete,Tier I,"Organisation for Economic Co-operation and Development (OECD), United Nations Environment (UNEP), World Bank (WB)",,,United Kingdom,"GBP, constant USD at 2020 prices",line,"Foreign, Commonwealth & Development Office (FCDO)"
#2-1-1,complete,Tier I,Food and Agriculture Organization (FAO),,,United Kingdom,Percentage (%),line,Food and Agriculture Organization (FAO)
#2-1-2,complete,Tier I,Food and Agriculture Organization (FAO),,,United Kingdom,Percentage (%),line,Department for Work and Pensions (DWP)
#2-2-1,complete,Tier I,"United Nations Children's Fund (UNICEF), World Health Organisation (WHO), World Bank (WB)",,,England,Percentage (%),line,Office for Health Improvement and Disparities (OHID)
#2-2-2,complete,Tier I,"United Nations Children's Fund (UNICEF), World Health Organisation (WHO), World Bank (WB)",,,"England, Scotland, Wales, Northern Ireland",Percentage (%),line,NHS Digital
#2-2-3,complete,Tier I,World Health Organisation (WHO),,,United Kingdom,Percentage (%),line,World Health Organisation
#2-3-1,complete,Tier II,Food and Agriculture Organization (FAO),,,United Kingdom,Index,line,"Department for Environment, Food and Rural Affairs (Defra)"
#2-3-2,complete,Tier II,Food and Agriculture Organization (FAO),,,United Kingdom,GBP (£),line,Office for National Statistics (ONS)
#2-4-1,notstarted,Tier II,Food and Agriculture Organization (FAO),,,,,,
#2-5-1,complete,Tier I,Food and Agriculture Organization (FAO),,,United Kingdom,Cumulative Enrichment Index (CEI),line,"Joint Nature Conservation Committee (JNCC)/Department for Environment, Food & Rural Affairs (Defra)"
#2-5-2,complete,Tier II,Food and Agriculture Organization (FAO),,,United Kingdom,Percentage (%),line,Food and Agriculture Organization (FAO)
#2-a-1,complete,Tier I,Food and Agriculture Organization (FAO),,,United Kingdom,Agriculture Orientation Index (AOI),line,Office for National Statistics (ONS)
#2-a-2,complete,Tier I,Organisation for Economic Co-operation and Development (OECD),,,United Kingdom,"GBP, constant USD at 2020 prices",line,"Foreign, Commonwealth & Development Office (FCDO)"
#2-b-1,notstarted,Tier I,World Trade Organization (WTO),,,,,line,
#2-c-1,complete,Tier I,Food and Agriculture Organization (FAO),,,United Kingdom,Index,bar,Office for National Statistics (ONS)
#3-1-1,complete,Tier I,World Health Organisation (WHO),,,United Kingdom,"Rate per 100,000 maternities, Rate per 100,000 live births",line,National Perinatal Epidemiology Unit (NPEU)
#3-1-2,complete,Tier I,United Nations Children's Fund (UNICEF),,True,England and Wales,Percentage (%),line,Office for National Statistics (ONS)
#3-2-1,complete,Tier I,United Nations Children's Fund (UNICEFF),,,United Kingdom,"Rate per 1,000 live births",line,Office for National Statistics (ONS)
#3-2-2,complete,Tier I,United Nations Children's Fund (UNICEF),,True,United Kingdom,"Rate per 1,000 live births",line,Office for National Statistics (ONS)
#3-3-1,complete,Tier I,The Joint United Nations Programme on HIV/AIDS (UNAIDS),,,United Kingdom,"Rate per 100,000 population",line,Public Health England (PHE)
#3-3-2,complete,Tier I,World Health Organisation (WHO),,True,United Kingdom,"Rate per 100,000 population",line,United Kingdom Health Security Agency (UKHSA)
#3-3-3,complete,Tier I,World Health Organisation (WHO),,True,United Kingdom,"Rate per 100,000 population, Number of cases, Percentage of total cases",line,United Kingdom Health Security Agency (UKHSA)
#3-3-4,complete,Tier I,World Health Organisation (WHO),,True,England,"Rate per 100,000 population",line,United Kingdom Health Security Agency (UKHSA)
#3-3-5,complete,Tier I,World Health Organisation (WHO),,,United Kingdom,Number of cases,line,UK Health Security Agency (UKHSA)
#3-4-1,complete,Tier I,World Health Organisation (WHO),,,England and Wales,"Age-standardised mortality rates per 100,000 population",line,Office for National Statistics
#3-4-2,complete,Tier I,World Health Organisation (WHO),,,United Kingdom,"Rate per 100,000 population",line,Office for National Statistics (ONS)
#3-5-1,complete,Tier II,"World Health Organisation (WHO), United Nations Office on Drugs and Crime (UNODC)",,,England,"Number, Percentage (%)",line,Office for Health Improvement and Disparities (OHID); The University of Manchester
#3-5-2,complete,Tier I,World Health Organisation (WHO),,,United Kingdom,Litres pure alcohol,line,World Health Organisation (WHO)
#3-6-1,complete,Tier I,World Health Organisation (WHO),,True,United Kingdom,"Rate per 100,000 population",line,Department for Transport (DfT)
#3-7-1,complete,Tier I,United Nations Population Fund UNFPA,,,England,Thousands of women,line,NHS Digital
#3-7-2,complete,Tier I,"Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA)",,True,United Kingdom,"Birth rate per 1,000 women in age group",line,Office for National Statistics (ONS)
#3-8-1,notstarted,Tier I,World Health Organisation (WHO),,,,,line,
#3-8-2,complete,Tier I,World Health Organisation (WHO),,,United Kingdom,"GBP (£), Percentage of total expenditure (%)",line,Office for National Statistics (ONS)
#3-9-1,complete,Tier I,World Health Organisation (WHO),,True,England,Percentage (%),line,"Department for Environment, Food & Rural Affairs (DEFRA) & Air Quality and Public Health - UK Health Security Agency"
#3-9-2,complete,Tier I,World Health Organisation (WHO),,True,United Kingdom,"Rate per 100,000 population",line,Office for National Statistics (ONS)
#3-9-3,complete,Tier I,World Health Organisation (WHO),,True,England and Wales,"Rate per 100,000 population",line,Office for National Statistics (ONS)
#3-a-1,complete,Tier I,"World Health Organization (WHO), Framework Convention on Tobacco Control (FCTC)",,True,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#3-b-1,complete,Tier I,"World Health Organization (WHO),  United Nations International Children's Emergency Fund (UNICEF)",,True,United Kingdom,Percentage (%),line,National Health Service (NHS) Digital
#3-b-2,complete,Tier I,Organisation for Economic Co-operation and Development (OECD),,,United Kingdom,GBP (£ thousands) and Constant USD ($ thousands),line,"Foreign, Commonwealth & Development Office (FCDO)"
#3-b-3,notstarted,Tier II,World Health Organisation (WHO),,,,,line,
#3-c-1,complete,Tier I,World Health Organisation (WHO),,,United Kingdom,"Rate per 10,000 population",line,Office for National Statistics (ONS)
#3-d-1,complete,Tier I,World Health Organisation (WHO),,,United Kingdom,Percentage (%),line,World Health Organisation (WHO)
#3-d-2,notstarted,Tier II,World Health Organisation (WHO),,,,,,
#4-1-1,complete,Tier I,UNESCO Institute for Statistics,,,England,Percentage (%),line,Department for Education (DfE)
#4-1-2,complete,Tier I,UNESCO Institute for Statistics,,,"United Kingdom for completion rate, England for KS4 Achievement",Percentage (%),line,UNESCO Institute for Statistics and The World Bank
#4-2-1,complete,Tier II,United Nations Children's Fund (UNICEF),,,England,Percentage (%),line,Department for Education (DfE)
#4-2-2,complete,Tier I,United Nations Education and Scientific Cultural Organisation - Institute of Statistics (UNESCO-UIS),,,England,Percentage (%),line,Department for Education (DfE)
#4-3-1,complete,Tier II,United Nations Education and Scientific Cultural Organisation - Institute of Statistics (UNESCO-UIS),,True,England,Percentage (%),bar,Department for Education
#4-4-1,complete,Tier II,United Nations Education and Scientific Cultural Organisation - Institute of Statistics (UNESCO-UIS),,,Great Britain,Percentage (%),line,Office for National Statistics (ONS)
#4-5-1,complete,Tier I/II depending on indice,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,,United Kingdom,,line,UNESCO Institute for Statistics (UIS)
#4-6-1,complete,Tier II,United Nations Education and Scientific Cultural Organisation - Institute of Statistics (UNESCO-UIS),,,England,Percentage (%),line,Department for Education (DfE)
#4-7-1,complete,Tier II,"United Nations Educational, Scientific and Cultural Organization - Institute for Statistics (UNESCO-UIS)",,,England,Index (between 0.000 and 1.000),bar,UNESCO’s Sections for Education for Sustainable Development and Global Citizenship and Peace Education.
#4-a-1,complete,Tier I,"United Nations Educational, Scientific and Cultural Organization - Institute for Statistics (UNESCO-UIS)",True,,,,line,
#4-b-1,complete,Tier I,Organisation for Economic Co-operation and Development (OECD),,,United Kingdom,"GBP (£ thousands), constant USD ($ thousands) at 2020 prices",line,"Foreign, Commonwealth & Development Office (FCDO)"
#4-c-1,complete,Tier II,United Nations Education and Scientific Cultural Organisation - Institute for Statistics (UNESCO-UIS),,,England,Percentage (%),line,Department for Education (DfE)
#5-1-1,complete,Tier II,"UN Women, World Bank (WB), Organisation for Economic Co-operation and Development (OECD)",,,UK,Percentage (%),bar,UN Women
#5-2-1,complete,Tier II,"United Nations Childrens Fund (UNICEF), The United Nations Entity for Gender Equality and the Empowerment of Women (UN Women), United Nations Population Fund (UNFPA), World Health Organization (WHO), United Nations Office on Drugs and Crime (UNODC)",,,England and Wales,Percentage (%),line,Office for National Statistics (ONS)
#5-2-2,complete,Tier II,"United Nations Children’s Fund (UNICEF), The United Nations Entity for Gender Equality and the Empowerment of Women (UN Women), United Nations Population Fund (UNFPA), World Health Organization (WHO), United Nations Office on Drugs and Crime (UNODC)",,,England and Wales,Percentage (%),line,Office for National Statistics (ONS)
#5-3-1,complete,Tier I,United Nations Children's Fund (UNICEFF),,,England and Wales,"Rate per 1,000 women",line,Office for National Statistics (ONS)
#5-3-2,complete,Tier I,United Nations Children's Fund (UNICEF),,,England,,line,NHS Digital
#5-4-1,complete,Tier II,UN Statistics Division (UNSD),,,United Kingdom,Percentage (%),line,Department for Work and Pensions (DWP)
#5-5-1,complete,Tier I,"Inter-Parliamentary Union (IPU), UN Women",,,United Kingdom,Percentage (%),line,House of Commons Library
#5-5-2,complete,Tier I,International Labour Organization (ILO),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#5-6-1,complete,Tier II,United Nations Population Fund UNFPA,,,England,Thousands of women,line,NHS Digital
#5-6-2,complete,Tier II,United Nations Population Fund UNFPA,True,,,,line,
