Year,Series,Units,Type of partner abuse,Abuse sub-category,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Urban or Rural,Sexual orientation,Gender identity,Highest qualification,Household income,Unit multiplier,Observation status,GeoCode,Value
2008/09,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.3639448924789258
2008/09,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.0378400441767994
2008/09,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,6.987348134078495
2009/10,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,2.9104661152586537
2009/10,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.612131289790768
2009/10,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,4.078203205535926
2009/10,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,4.868333313041686
2009/10,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,7.178076724968522
2009/10,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.4400372725020354
2009/10,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2073288133734691
2009/10,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.3980199634390751
2009/10,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.069310384322547
2009/10,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,7.364374097201099
2010/11,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,2.7919877315825
2010/11,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.361206718179775
2010/11,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,3.2815491310360336
2010/11,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,4.172799708627895
2010/11,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,6.44062097668439
2010/11,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.4457061667101186
2010/11,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.3959779162364004
2010/11,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.5624311617348018
2010/11,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.2691460193565305
2010/11,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,7.408327936314041
2011/12,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,2.980770449063458
2011/12,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.65336561024513
2011/12,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,3.3998839071292077
2011/12,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,4.520087844773491
2011/12,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,7.023852624214969
2011/12,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.402680877040676
2011/12,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.3442672798097526
2011/12,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.5303549414807953
2011/12,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.0941469207189731
2011/12,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,6.883648949880264
2012/13,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,2.064218169750693
2012/13,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.48934388028741
2012/13,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,3.0077485940514297
2012/13,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,3.7442693015367614
2012/13,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,6.078256537639273
2012/13,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.2414814727478358
2012/13,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.3204584650171746
2012/13,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.4338800523292938
2012/13,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.144135191856587
2012/13,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,6.658768427674999
2013/14,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,2.031989783834395
2013/14,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.2144843328988895
2013/14,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,2.8144319142497727
2013/14,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,3.6065785075636585
2013/14,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,5.9320273739687845
2013/14,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.2133264935196214
2013/14,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2413177029973642
2013/14,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.3582775434737343
2013/14,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.5857925160993764
2013/14,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,6.793446766110581
2014/15,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.8551133023785875
2014/15,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,3.9985415271805698
2014/15,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,2.865624602127769
2014/15,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,3.586691851130932
2014/15,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,5.829772255247379
2014/15,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.3339368703317226
2014/15,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2663205459845867
2014/15,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.4719631680398239
2014/15,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.5551206345972843
2014/15,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,6.475845062340719
2015/16,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.709937407239519
2015/16,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,3.938480542527144
2015/16,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,2.310985947733376
2015/16,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,3.047741361147224
2015/16,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,5.399304169547049
2015/16,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.3781658131002129
2015/16,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2974140031947678
2015/16,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.4994100733694562
2015/16,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.2848466556626308
2015/16,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,6.230880299786246
2016/17,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.5447026462363065
2016/17,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.0040690398472885
2016/17,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,2.171177475195244
2016/17,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,2.792484731353305
2016/17,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,5.205224590337796
2016/17,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.2566273183447821
2016/17,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2957512443525279
2016/17,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.4231242755473736
2016/17,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.32279797910538
2016/17,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,5.9466231116544055
2017/18,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.6806842213750994
2017/18,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.50316037620542
2017/18,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,2.3265602815472985
2017/18,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,3.01373143062272
2017/18,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,5.634464493511014
2017/18,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.2594601655545305
2017/18,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2244226331171566
2017/18,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.3623950509756584
2017/18,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.4007702136740203
2017/18,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,6.256980807506083
2017/18,Women aged 16 to 74,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.4636299725156157
2017/18,Women aged 16 to 74,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,3.946979077304605
2017/18,Women aged 16 to 74,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,2.058231727488938
2017/18,Women aged 16 to 74,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,2.6565232178013463
2017/18,Women aged 16 to 74,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,4.974860099024248
2017/18,Women aged 16 to 74,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.2070023011334816
2017/18,Women aged 16 to 74,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.179309502461844
2017/18,Women aged 16 to 74,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.2894603764013572
2017/18,Women aged 16 to 74,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.133734536301356
2017/18,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,5.500759874714803
2018/19,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.554991113947459
2018/19,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.312473389560704
2018/19,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,2.201236226812955
2018/19,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,2.7198523606895333
2018/19,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,5.386574496652863
2018/19,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.518446833404983
2018/19,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.3071479617474434
2018/19,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.7156394256004414
2018/19,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.5868831784630997
2018/19,Women aged 16 to 59,Percentage (%),,,16 to 19,,,,,,,,,,,Units,Normal value,,6.398095313844578
2018/19,Women aged 16 to 59,Percentage (%),,,20 to 24,,,,,,,,,,,Units,Normal value,,9.930108160995674
2018/19,Women aged 16 to 59,Percentage (%),,,25 to 34,,,,,,,,,,,Units,Normal value,,6.332597458337927
2018/19,Women aged 16 to 59,Percentage (%),,,35 to 44,,,,,,,,,,,Units,Normal value,,5.70113500747042
2018/19,Women aged 16 to 59,Percentage (%),,,45 to 54,,,,,,,,,,,Units,Normal value,,6.61801180212792
2018/19,Women aged 16 to 59,Percentage (%),,,55 to 59,,,,,,,,,,,Units,Normal value,,3.9507204967890144
2018/19,Women aged 16 to 59,Percentage (%),,,,Asian/Asian British,Any other Asian background,,,,,,,,,Units,Normal value,,3.6705545399037742
2018/19,Women aged 16 to 59,Percentage (%),,,,Asian/Asian British,Indian,,,,,,,,,Units,Normal value,,4.92868674589676
2018/19,Women aged 16 to 59,Percentage (%),,,,Asian/Asian British,,,,,,,,,,Units,Normal value,,3.96103477512768
2018/19,Women aged 16 to 59,Percentage (%),,,,Black/African/Caribbean/Black British,African,,,,,,,,,Units,Normal value,,3.6705545399037742
2018/19,Women aged 16 to 59,Percentage (%),,,,Black/African/Caribbean/Black British,,,,,,,,,,Units,Normal value,,5.984063581150903
2018/19,Women aged 16 to 59,Percentage (%),,,,Other ethnic group,,,,,,,,,,Units,Normal value,,6.080243545033024
2018/19,Women aged 16 to 59,Percentage (%),,,,White,Any other White background,,,,,,,,,Units,Normal value,,3.68867968607566
2018/19,Women aged 16 to 59,Percentage (%),,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,,,,Units,Normal value,,6.673899900744563
2018/19,Women aged 16 to 59,Percentage (%),,,,White,,,,,,,,,,Units,Normal value,,6.353924225017511
2018/19,Women aged 16 to 59,Percentage (%),,,,,,Disabled (GSS harmonised),,,,,,,,Units,Normal value,,12.874502258303108
2018/19,Women aged 16 to 59,Percentage (%),,,,,,Non-disabled (GSS harmonised),,,,,,,,Units,Normal value,,5.408475819471454
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,Born in UK,,,,,,,Units,Normal value,,6.994836460742056
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,Not born in UK,,,,,,,Units,Normal value,,3.751814790000308
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,East Midlands,,,,,,Units,Normal value,E12000004,6.502998473294327
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,East of England,,,,,,Units,Normal value,E12000006,9.07384781836761
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,London,,,,,,Units,Normal value,E12000007,4.296935465500357
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,North East,,,,,,Units,Normal value,E12000001,5.561740809721062
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,North West,,,,,,Units,Normal value,E12000002,5.371183451154077
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,South East,,,,,,Units,Normal value,E12000008,7.390511338227942
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,South West,,,,,,Units,Normal value,E12000009,5.728663959123086
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,Wales,,,,,,Units,Normal value,W92000004,5.624540167097664
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,West Midlands,,,,,,Units,Normal value,E12000005,7.622626516801965
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,Yorkshire and The Humber,,,,,,Units,Normal value,E12000003,6.698017196980207
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,Apprenticeship or A/AS level,,Units,Normal value,,7.377468349205325
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,Degree or diploma,,Units,Normal value,,5.862546261571944
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,No qualification,,Units,Normal value,,4.30894024024491
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,O level/GCSE,,Units,Normal value,,7.809696845786148
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,Other qualification,,Units,Normal value,,4.092801401139943
2018/19,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,6.375420398669647
2018/19,Women aged 16 to 74,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.34901882843463
2018/19,Women aged 16 to 74,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,3.801577354843076
2018/19,Women aged 16 to 74,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,1.8822259573279263
2018/19,Women aged 16 to 74,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,2.3808746450023484
2018/19,Women aged 16 to 74,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,4.790548606029917
2018/19,Women aged 16 to 74,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.4117322296420006
2018/19,Women aged 16 to 74,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.268476393653924
2018/19,Women aged 16 to 74,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.5930736137767034
2018/19,Women aged 16 to 74,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.3109732698574317
2018/19,Women aged 16 to 74,Percentage (%),,,16 to 19,,,,,,,,,,,Units,Normal value,,6.398095313844578
2018/19,Women aged 16 to 74,Percentage (%),,,20 to 24,,,,,,,,,,,Units,Normal value,,9.930108160995674
2018/19,Women aged 16 to 74,Percentage (%),,,25 to 34,,,,,,,,,,,Units,Normal value,,6.332597458337927
2018/19,Women aged 16 to 74,Percentage (%),,,35 to 44,,,,,,,,,,,Units,Normal value,,5.70113500747042
2018/19,Women aged 16 to 74,Percentage (%),,,45 to 54,,,,,,,,,,,Units,Normal value,,6.61801180212792
2018/19,Women aged 16 to 74,Percentage (%),,,55 to 59,,,,,,,,,,,Units,Normal value,,3.9507204967890144
2018/19,Women aged 16 to 74,Percentage (%),,,60 to 74,,,,,,,,,,,Units,Normal value,,2.7015209986958064
